strategy,CAGR,daily_sharpe,max_drawdown,win_ratio
ROE_qb0of5__FCF_P_qb1of5__C16_FCF_P_DYN_riseq2__v1,-0.19450269490180816,9.26,-0.9900686349594735,0.29523809523809524
EPS_qb0of5__CROIC_qb1of5__C2_ROE_DYN_riseq2__v1,-0.15983399077230742,9.65,-0.9877774723245693,0.30434782608695654
ROE_qb0of5__EPS_qb0of5__C7_ROE_DYN_ytdavg_gt_lyavg__v1,-0.09054690128805887,11.91,-0.9877391930762216,0.43555555555555553
ROE_qb0of5__CROIC_qb1of5__C16_FCF_P_DYN_riseq2__v1,-0.18163111974825796,10.99,-0.9859275081235257,0.29357798165137616
EPS_qb0of5__FCF_P_qb1of5__C5_ROE_DYN_yoy__v1,-0.1952894533531302,13.58,-0.9857298023046184,0.2698412698412698
ROE_qb0of5__CROIC_qb0of5__C7_ROE_DYN_ytdavg_gt_lyavg__v1,-0.17693538069221149,8.15,-0.9854897433595732,0.4264705882352941
ROE_qb0of5__EPS_qb0of5__C17_FCF_P_DYN_qmax4__v1,-0.12703998236460923,12.99,-0.9848701871704749,0.37116564417177916
EPS_qb0of5__FCF_P_qb1of5__C16_FCF_P_DYN_riseq2__v1,-0.18011061806736872,11.0,-0.984236956092325,0.344
EPS_qb0of5__CROIC_qb0of5__C16_FCF_P_DYN_riseq2__v1,-0.12521323150225738,12.58,-0.9833589925584152,0.5769230769230769
FCF_P_qb1of5__None__C17_FCF_P_DYN_qmax4__v1,-0.08529844136077491,13.03,-0.9825637748059631,0.334841628959276
