strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,EPS_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v0,0.3392709352681387,16.48,-0.40907987819348246,0.4773218142548596
FCF_P_qb0of5__CROIC_qb1of5__C4_ROE_DYN_qmax8__v0,FCF_P_qb0of5,CROIC_qb1of5,C4_ROE_DYN_qmax8,v0,0.32943712543127046,9.58,-0.6131929286397981,0.490280777537797
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v1,EPS_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v1,0.29875290652587694,13.78,-0.39476769398085043,0.5739644970414202
EPS_qb3of5__FCF_P_qb4of5__C18_FCF_P_DYN_qmax8__v1,EPS_qb3of5,FCF_P_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.28768444097464463,8.83,-0.47244723857669624,0.5279187817258884
FCF_P_qb3of5__CROIC_qb2of5__C11_EPS_DYN_qmax8__v0,FCF_P_qb3of5,CROIC_qb2of5,C11_EPS_DYN_qmax8,v0,0.28767892376678517,10.61,-0.4521338900585604,0.4873096446700508
ROE_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,ROE_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v0,0.28565287944210316,19.45,-0.40554538846309074,0.4492525570416995
EPS_qb3of5__CROIC_qb4of5__C18_FCF_P_DYN_qmax8__v1,EPS_qb3of5,CROIC_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.28166189750010884,9.06,-0.5248638440746314,0.4963325183374083
CROIC_qb2of5__None__C4_ROE_DYN_qmax8__v1,CROIC_qb2of5,None,C4_ROE_DYN_qmax8,v1,0.27009100094012806,10.28,-0.355366523260395,0.5089820359281437
EPS_qb3of5__None__C18_FCF_P_DYN_qmax8__v1,EPS_qb3of5,None,C18_FCF_P_DYN_qmax8,v1,0.26697734865732903,9.13,-0.5749239853574495,0.47953216374269003
EPS_qb3of5__None__C11_EPS_DYN_qmax8__v1,EPS_qb3of5,None,C11_EPS_DYN_qmax8,v1,0.26595761946439467,12.1,-0.34899820167778983,0.5336633663366337
FCF_P_qb3of5__CROIC_qb4of5__C11_EPS_DYN_qmax8__v0,FCF_P_qb3of5,CROIC_qb4of5,C11_EPS_DYN_qmax8,v0,0.2652712949382623,13.79,-0.41270983722380794,0.4695752009184845
FCF_P_qb0of5__CROIC_qb1of5__C11_EPS_DYN_qmax8__v0,FCF_P_qb0of5,CROIC_qb1of5,C11_EPS_DYN_qmax8,v0,0.26521930909146096,9.14,-0.5343999717830805,0.4886128364389234
EPS_qb3of5__FCF_P_qb4of5__C10_EPS_DYN_qmax4__v1,EPS_qb3of5,FCF_P_qb4of5,C10_EPS_DYN_qmax4,v1,0.26409751280152594,10.46,-0.3790637960279599,0.5706666666666667
ROE_qb3of5__CROIC_qb2of5__C11_EPS_DYN_qmax8__v1,ROE_qb3of5,CROIC_qb2of5,C11_EPS_DYN_qmax8,v1,0.26033137289646535,11.79,-0.5127556472520131,0.5783132530120482
EPS_qb3of5__FCF_P_qb4of5__C11_EPS_DYN_qmax8__v1,EPS_qb3of5,FCF_P_qb4of5,C11_EPS_DYN_qmax8,v1,0.2595612186376892,12.85,-0.4468142233513792,0.5815899581589958
FCF_P_qb3of5__CROIC_qb2of5__C4_ROE_DYN_qmax8__v0,FCF_P_qb3of5,CROIC_qb2of5,C4_ROE_DYN_qmax8,v0,0.2580430424892417,11.21,-0.591672236992059,0.5085066162570888
ROE_qb4of5__FCF_P_qb4of5__C10_EPS_DYN_qmax4__v1,ROE_qb4of5,FCF_P_qb4of5,C10_EPS_DYN_qmax4,v1,0.2492749131508245,12.22,-0.42775045144772916,0.532258064516129
FCF_P_qb0of5__CROIC_qb4of5__C5_ROE_DYN_yoy__v0,FCF_P_qb0of5,CROIC_qb4of5,C5_ROE_DYN_yoy,v0,0.24826026795640965,53.73,-0.3708961234589263,0.1111111111111111
FCF_P_qb0of5__CROIC_qb4of5__C9_EPS_DYN_riseq2__v0,FCF_P_qb0of5,CROIC_qb4of5,C9_EPS_DYN_riseq2,v0,0.24826026795640965,53.73,-0.3708961234589263,0.1111111111111111
FCF_P_qb0of5__CROIC_qb4of5__C12_EPS_DYN_yoy__v0,FCF_P_qb0of5,CROIC_qb4of5,C12_EPS_DYN_yoy,v0,0.24826026795640965,53.73,-0.3708961234589263,0.1111111111111111
