strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio
FCF_P_qb0of5__CROIC_qb2of5__C18_FCF_P_DYN_qmax8__v0,FCF_P_qb0of5,CROIC_qb2of5,C18_FCF_P_DYN_qmax8,v0,-0.0016122693909708108,3706.14,-0.01742883638809445,0.0
FCF_P_qb0of5__CROIC_qb3of5__C18_FCF_P_DYN_qmax8__v0,FCF_P_qb0of5,CROIC_qb3of5,C18_FCF_P_DYN_qmax8,v0,-0.0012876956036295129,3097.24,-0.01742883638809445,0.0
FCF_P_qb0of5__CROIC_qb3of5__C12_EPS_DYN_yoy__v0,FCF_P_qb0of5,CROIC_qb3of5,C12_EPS_DYN_yoy,v0,-0.0012896077888817636,2855.24,-0.017454506994607377,0.0
FCF_P_qb0of5__CROIC_qb3of5__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,FCF_P_qb0of5,CROIC_qb3of5,C6_ROE_DYN_ytdavg_gt_lyytdavg,v0,-0.001718470250143156,2066.97,-0.023196202565264668,0.0
FCF_P_qb0of5__CROIC_qb3of5__C17_FCF_P_DYN_qmax4__v0,FCF_P_qb0of5,CROIC_qb3of5,C17_FCF_P_DYN_qmax4,v0,-0.001718470250143156,2066.97,-0.023196202565264668,0.0
FCF_P_qb0of5__CROIC_qb3of5__C14_EPS_DYN_ytdavg_gt_lyavg__v0,FCF_P_qb0of5,CROIC_qb3of5,C14_EPS_DYN_ytdavg_gt_lyavg,v0,-0.001718470250143156,2066.97,-0.023196202565264668,0.0
FCF_P_qb0of5__CROIC_qb3of5__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,FCF_P_qb0of5,CROIC_qb3of5,C13_EPS_DYN_ytdavg_gt_lyytdavg,v0,-0.001718470250143156,2066.97,-0.023196202565264668,0.0
FCF_P_qb0of5__CROIC_qb3of5__None__v0,FCF_P_qb0of5,CROIC_qb3of5,None,v0,-0.001718470250143156,2066.97,-0.023196202565264668,0.0
FCF_P_qb0of5__CROIC_qb3of5__C7_ROE_DYN_ytdavg_gt_lyavg__v0,FCF_P_qb0of5,CROIC_qb3of5,C7_ROE_DYN_ytdavg_gt_lyavg,v0,-0.001718470250143156,2066.97,-0.023196202565264668,0.0
FCF_P_qb4of5__CROIC_qb0of5__C4_ROE_DYN_qmax8__v0,FCF_P_qb4of5,CROIC_qb0of5,C4_ROE_DYN_qmax8,v0,-0.0016603067747698042,2102.66,-0.028904345421812527,0.0
FCF_P_qb0of5__CROIC_qb4of5__C11_EPS_DYN_qmax8__v0,FCF_P_qb0of5,CROIC_qb4of5,C11_EPS_DYN_qmax8,v0,-0.002209752817687538,1253.42,-0.03455390843834616,0.0
FCF_P_qb0of5__CROIC_qb4of5__C4_ROE_DYN_qmax8__v0,FCF_P_qb0of5,CROIC_qb4of5,C4_ROE_DYN_qmax8,v0,-0.002209752817687538,1253.42,-0.03455390843834616,0.0
FCF_P_qb4of5__CROIC_qb0of5__C1_ROE_DYN_riseq1__v0,FCF_P_qb4of5,CROIC_qb0of5,C1_ROE_DYN_riseq1,v0,-0.0019722335191790785,1616.04,-0.03455390843834616,0.0
FCF_P_qb0of5__CROIC_qb4of5__C10_EPS_DYN_qmax4__v0,FCF_P_qb0of5,CROIC_qb4of5,C10_EPS_DYN_qmax4,v0,-0.0023942262744809373,1245.3,-0.03738733228618518,0.0
FCF_P_qb0of5__CROIC_qb4of5__C2_ROE_DYN_riseq2__v0,FCF_P_qb0of5,CROIC_qb4of5,C2_ROE_DYN_riseq2,v0,-0.0023942262744809373,1245.3,-0.03738733228618518,0.0
FCF_P_qb0of5__CROIC_qb4of5__C3_ROE_DYN_qmax4__v0,FCF_P_qb0of5,CROIC_qb4of5,C3_ROE_DYN_qmax4,v0,-0.0023942262744809373,1245.3,-0.03738733228618518,0.0
FCF_P_qb4of5__CROIC_qb0of5__C11_EPS_DYN_qmax8__v0,FCF_P_qb4of5,CROIC_qb0of5,C11_EPS_DYN_qmax8,v0,-0.002138363358562545,1479.82,-0.03741248145800791,0.0
FCF_P_qb4of5__CROIC_qb0of5__C8_EPS_DYN_riseq1__v0,FCF_P_qb4of5,CROIC_qb0of5,C8_EPS_DYN_riseq1,v0,-0.002300560732577006,1287.97,-0.04019568033297072,0.0
FCF_P_qb0of5__CROIC_qb4of5__C1_ROE_DYN_riseq1__v0,FCF_P_qb0of5,CROIC_qb4of5,C1_ROE_DYN_riseq1,v0,-0.0025792092681442558,1231.91,-0.040220756134024094,0.0
FCF_P_qb0of5__CROIC_qb4of5__C8_EPS_DYN_riseq1__v0,FCF_P_qb0of5,CROIC_qb4of5,C8_EPS_DYN_riseq1,v0,-0.0025792092681442558,1231.91,-0.040220756134024094,0.0
