strategy,CAGR,daily_sharpe,max_drawdown,win_ratio
ROE_qb0of5__FCF_P_qb1of5__C16_FCF_P_DYN_riseq2__v1,-0.19450269490180816,9.26,-0.9900686349594735,0.29523809523809524
ROE_qb0of5__EPS_qb0of5__C7_ROE_DYN_ytdavg_gt_lyavg__v1,-0.09054690128805887,11.91,-0.9877391930762216,0.43555555555555553
EPS_qb0of5__FCF_P_qb1of5__C5_ROE_DYN_yoy__v1,-0.1952894533531302,13.58,-0.9857298023046184,0.2698412698412698
EPS_qb0of5__EV_EBITDA_qb4of5__C17_FCF_P_DYN_qmax4__v1,-0.15010020545240843,13.43,-0.9853274054802407,0.2846715328467153
EPS_qb4of5__EV_EBITDA_qb4of5__C16_FCF_P_DYN_riseq2__v1,-0.10977370932104014,14.17,-0.9850086105930744,0.3924050632911392
ROE_qb0of5__EPS_qb0of5__C17_FCF_P_DYN_qmax4__v1,-0.12703998236460923,12.99,-0.9848701871704749,0.37116564417177916
EPS_qb0of5__FCF_P_qb1of5__C16_FCF_P_DYN_riseq2__v1,-0.18011061806736872,11.0,-0.984236956092325,0.344
FCF_P_qb1of5__EV_EBITDA_qb4of5__C16_FCF_P_DYN_riseq2__v1,-0.16726811221699356,10.95,-0.9825892756316827,0.3553113553113553
FCF_P_qb1of5__None__C17_FCF_P_DYN_qmax4__v1,-0.08529844136077491,13.03,-0.9825637748059631,0.334841628959276
EPS_qb0of5__EV_EBITDA_qb4of5__C18_FCF_P_DYN_qmax8__v1,-0.15612261934064708,14.49,-0.9824690675159244,0.2876712328767123
