strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,EPS_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v0,0.3392709352681387,16.48,-0.40907987819348246,0.4773218142548596
EPS_qb2of5__EV_EBITDA_qb0of5__C2_ROE_DYN_riseq2__v0,EPS_qb2of5,EV_EBITDA_qb0of5,C2_ROE_DYN_riseq2,v0,0.3279571959294745,9.73,-0.28791698533507115,0.5007256894049347
FCF_P_qb1of5__EV_EBITDA_qb2of5__C4_ROE_DYN_qmax8__v0,FCF_P_qb1of5,EV_EBITDA_qb2of5,C4_ROE_DYN_qmax8,v0,0.3110321558515532,14.43,-0.3437422954625745,0.5066864784546805
FCF_P_qb4of5__EV_EBITDA_qb1of5__C10_EPS_DYN_qmax4__v1,FCF_P_qb4of5,EV_EBITDA_qb1of5,C10_EPS_DYN_qmax4,v1,0.3106813771421355,12.75,-0.44397156916543445,0.5378787878787878
EPS_qb2of5__EV_EBITDA_qb0of5__C16_FCF_P_DYN_riseq2__v0,EPS_qb2of5,EV_EBITDA_qb0of5,C16_FCF_P_DYN_riseq2,v0,0.30885909263379374,11.18,-0.4978128292698121,0.5079051383399209
EPS_qb2of5__EV_EBITDA_qb0of5__C1_ROE_DYN_riseq1__v0,EPS_qb2of5,EV_EBITDA_qb0of5,C1_ROE_DYN_riseq1,v0,0.3068378823059741,11.97,-0.322184276247622,0.4827586206896552
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v1,EPS_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v1,0.29875290652587694,13.78,-0.39476769398085043,0.5739644970414202
EPS_qb3of5__FCF_P_qb4of5__C18_FCF_P_DYN_qmax8__v1,EPS_qb3of5,FCF_P_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.28768444097464463,8.83,-0.47244723857669624,0.5279187817258884
ROE_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,ROE_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v0,0.28565287944210316,19.45,-0.40554538846309074,0.4492525570416995
EPS_qb2of5__EV_EBITDA_qb0of5__C19_FCF_P_DYN_yoy__v0,EPS_qb2of5,EV_EBITDA_qb0of5,C19_FCF_P_DYN_yoy,v0,0.2851004858825681,12.24,-0.37059317586919394,0.5130784708249497
EPS_qb2of5__EV_EBITDA_qb0of5__C15_FCF_P_DYN_riseq1__v0,EPS_qb2of5,EV_EBITDA_qb0of5,C15_FCF_P_DYN_riseq1,v0,0.28311704784774694,13.56,-0.39819596859841744,0.5028790786948176
ROE_qb1of5__EV_EBITDA_qb3of5__C11_EPS_DYN_qmax8__v0,ROE_qb1of5,EV_EBITDA_qb3of5,C11_EPS_DYN_qmax8,v0,0.28075927396507594,7.12,-0.4631949246539707,0.4952076677316294
EPS_qb2of5__EV_EBITDA_qb0of5__C8_EPS_DYN_riseq1__v0,EPS_qb2of5,EV_EBITDA_qb0of5,C8_EPS_DYN_riseq1,v0,0.2796499083571371,11.99,-0.31905990706886866,0.48667601683029454
EPS_qb2of5__EV_EBITDA_qb0of5__C20_FCF_P_DYN_ytdavg_gt_lyytdavg__v0,EPS_qb2of5,EV_EBITDA_qb0of5,C20_FCF_P_DYN_ytdavg_gt_lyytdavg,v0,0.27800929019186205,12.26,-0.3559321850820244,0.5119305856832972
EPS_qb2of5__EV_EBITDA_qb0of5__C9_EPS_DYN_riseq2__v0,EPS_qb2of5,EV_EBITDA_qb0of5,C9_EPS_DYN_riseq2,v0,0.27742371861938975,11.76,-0.29453376602506764,0.5075862068965518
EPS_qb2of5__EV_EBITDA_qb0of5__C5_ROE_DYN_yoy__v0,EPS_qb2of5,EV_EBITDA_qb0of5,C5_ROE_DYN_yoy,v0,0.27521059337301534,9.19,-0.2600329579202644,0.4729299363057325
EPS_qb2of5__EV_EBITDA_qb0of5__C7_ROE_DYN_ytdavg_gt_lyavg__v0,EPS_qb2of5,EV_EBITDA_qb0of5,C7_ROE_DYN_ytdavg_gt_lyavg,v0,0.2709110530162506,10.14,-0.29988866756895916,0.4548802946593002
ROE_qb4of5__EV_EBITDA_qb0of5__C4_ROE_DYN_qmax8__v1,ROE_qb4of5,EV_EBITDA_qb0of5,C4_ROE_DYN_qmax8,v1,0.2690704569349318,10.87,-0.3762219516872578,0.5714285714285714
EPS_qb3of5__None__C18_FCF_P_DYN_qmax8__v1,EPS_qb3of5,None,C18_FCF_P_DYN_qmax8,v1,0.26697734865732903,9.13,-0.5749239853574495,0.47953216374269003
EPS_qb3of5__None__C11_EPS_DYN_qmax8__v1,EPS_qb3of5,None,C11_EPS_DYN_qmax8,v1,0.26595761946439467,12.1,-0.34899820167778983,0.5336633663366337
