strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio
FCF_P_qb0of5__EV_EBITDA_qb4of5__C18_FCF_P_DYN_qmax8__v1,FCF_P_qb0of5,EV_EBITDA_qb4of5,C18_FCF_P_DYN_qmax8,v1,-0.006950066193676996,646.48,-0.35495197777966736,0.3333333333333333
EPS_qb2of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v1,EPS_qb2of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v1,-0.011125985841000663,522.47,-0.30812646105956465,0.25
EPS_qb4of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v1,EPS_qb4of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v1,0.0048268635287462835,417.83,-0.29178418372953385,0.375
ROE_qb0of5__EPS_qb4of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb0of5,EPS_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.0006470955894446462,410.09,-0.11834240731133117,0.3333333333333333
FCF_P_qb0of5__EV_EBITDA_qb3of5__C18_FCF_P_DYN_qmax8__v1,FCF_P_qb0of5,EV_EBITDA_qb3of5,C18_FCF_P_DYN_qmax8,v1,-0.01980361752961146,393.59,-0.4001752301759761,0.16666666666666666
ROE_qb0of5__EPS_qb1of5__C3_ROE_DYN_qmax4__v1,ROE_qb0of5,EPS_qb1of5,C3_ROE_DYN_qmax4,v1,-0.0032407537278572596,393.18,-0.29317401982129476,0.3333333333333333
ROE_qb2of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb2of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v1,-0.01602149165649802,388.7,-0.35202931244940183,0.0
EPS_qb0of5__EV_EBITDA_qb0of5__C10_EPS_DYN_qmax4__v1,EPS_qb0of5,EV_EBITDA_qb0of5,C10_EPS_DYN_qmax4,v1,-0.00973604238788639,371.42,-0.2941489111366383,0.0
EPS_qb0of5__EV_EBITDA_qb2of5__C14_EPS_DYN_ytdavg_gt_lyavg__v1,EPS_qb0of5,EV_EBITDA_qb2of5,C14_EPS_DYN_ytdavg_gt_lyavg,v1,-0.022296424438701723,355.73,-0.3264111904987179,0.16666666666666666
EPS_qb0of5__EV_EBITDA_qb2of5__C18_FCF_P_DYN_qmax8__v1,EPS_qb0of5,EV_EBITDA_qb2of5,C18_FCF_P_DYN_qmax8,v1,-0.014000776732727371,351.03,-0.22984233082758065,0.5
ROE_qb0of5__EPS_qb3of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,EPS_qb3of5,C11_EPS_DYN_qmax8,v1,-0.002144378311492834,340.74,-0.24872226369711548,0.6
ROE_qb0of5__EPS_qb3of5__C17_FCF_P_DYN_qmax4__v1,ROE_qb0of5,EPS_qb3of5,C17_FCF_P_DYN_qmax4,v1,0.007076522808606933,339.15,-0.46347885339278494,0.5714285714285714
ROE_qb1of5__EPS_qb3of5__C4_ROE_DYN_qmax8__v1,ROE_qb1of5,EPS_qb3of5,C4_ROE_DYN_qmax8,v1,0.01546611817797583,333.5,-0.2928084737634039,0.75
ROE_qb0of5__EV_EBITDA_qb2of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,EV_EBITDA_qb2of5,C11_EPS_DYN_qmax8,v1,-0.007178297368410691,328.68,-0.26156450752475935,0.5
ROE_qb4of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb4of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v1,0.0022012844414029953,322.81,-0.29178418372953385,0.375
FCF_P_qb0of5__EV_EBITDA_qb1of5__C18_FCF_P_DYN_qmax8__v0,FCF_P_qb0of5,EV_EBITDA_qb1of5,C18_FCF_P_DYN_qmax8,v0,0.004299872163742835,319.94,-0.07954844418932794,0.0625
ROE_qb3of5__EPS_qb0of5__C7_ROE_DYN_ytdavg_gt_lyavg__v1,ROE_qb3of5,EPS_qb0of5,C7_ROE_DYN_ytdavg_gt_lyavg,v1,0.01317207966862477,312.52,-0.38885662121548425,0.4
FCF_P_qb1of5__EV_EBITDA_qb1of5__C18_FCF_P_DYN_qmax8__v0,FCF_P_qb1of5,EV_EBITDA_qb1of5,C18_FCF_P_DYN_qmax8,v0,-0.006262529410974715,304.7,-0.2668063067478095,0.06
ROE_qb3of5__EPS_qb0of5__C3_ROE_DYN_qmax4__v1,ROE_qb3of5,EPS_qb0of5,C3_ROE_DYN_qmax4,v1,0.012408072994003483,295.55,-0.38885662121548425,0.4
EPS_qb0of5__EV_EBITDA_qb2of5__C12_EPS_DYN_yoy__v1,EPS_qb0of5,EV_EBITDA_qb2of5,C12_EPS_DYN_yoy,v1,-0.032910256705353746,284.78,-0.5272909990183587,0.2
