strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio
FCF_P_qb0of5__EV_EBITDA_qb1of5__C18_FCF_P_DYN_qmax8__v0,FCF_P_qb0of5,EV_EBITDA_qb1of5,C18_FCF_P_DYN_qmax8,v0,0.004299872163742835,319.94,-0.07954844418932794,0.0625
ROE_qb0of5__EPS_qb4of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb0of5,EPS_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.0006470955894446462,410.09,-0.11834240731133117,0.3333333333333333
ROE_qb1of5__EPS_qb3of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb1of5,EPS_qb3of5,C18_FCF_P_DYN_qmax8,v1,0.025487505788574172,117.04,-0.21572205589642302,0.7777777777777778
FCF_P_qb1of5__EV_EBITDA_qb2of5__C18_FCF_P_DYN_qmax8__v1,FCF_P_qb1of5,EV_EBITDA_qb2of5,C18_FCF_P_DYN_qmax8,v1,0.02800460098878843,45.95,-0.2209707816324663,0.6666666666666666
ROE_qb1of5__EPS_qb4of5__C2_ROE_DYN_riseq2__v1,ROE_qb1of5,EPS_qb4of5,C2_ROE_DYN_riseq2,v1,0.0677319075520384,42.61,-0.2284408222472466,0.6666666666666666
ROE_qb1of5__EPS_qb4of5__C3_ROE_DYN_qmax4__v1,ROE_qb1of5,EPS_qb4of5,C3_ROE_DYN_qmax4,v1,0.020574748063814763,90.55,-0.2284408222472467,0.5
ROE_qb1of5__EPS_qb4of5__C7_ROE_DYN_ytdavg_gt_lyavg__v1,ROE_qb1of5,EPS_qb4of5,C7_ROE_DYN_ytdavg_gt_lyavg,v1,0.04520270145161143,46.8,-0.22844082231790985,0.6923076923076923
EPS_qb0of5__EV_EBITDA_qb2of5__C17_FCF_P_DYN_qmax4__v1,EPS_qb0of5,EV_EBITDA_qb2of5,C17_FCF_P_DYN_qmax4,v1,-0.004839158236944474,239.61,-0.22984233082757988,0.5
EPS_qb0of5__EV_EBITDA_qb2of5__C18_FCF_P_DYN_qmax8__v1,EPS_qb0of5,EV_EBITDA_qb2of5,C18_FCF_P_DYN_qmax8,v1,-0.014000776732727371,351.03,-0.22984233082758065,0.5
ROE_qb2of5__EPS_qb0of5__C11_EPS_DYN_qmax8__v0,ROE_qb2of5,EPS_qb0of5,C11_EPS_DYN_qmax8,v0,0.05208576464411263,40.28,-0.23387543555401957,0.6666666666666666
ROE_qb0of5__FCF_P_qb1of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,FCF_P_qb1of5,C11_EPS_DYN_qmax8,v1,-0.012996889485792251,187.69,-0.23647251182093132,0.25
ROE_qb2of5__EPS_qb0of5__C4_ROE_DYN_qmax8__v1,ROE_qb2of5,EPS_qb0of5,C4_ROE_DYN_qmax8,v1,0.01725677619095367,140.37,-0.24227477963582889,0.8
ROE_qb0of5__EPS_qb3of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,EPS_qb3of5,C11_EPS_DYN_qmax8,v1,-0.002144378311492834,340.74,-0.24872226369711548,0.6
EPS_qb0of5__EV_EBITDA_qb4of5__C4_ROE_DYN_qmax8__v1,EPS_qb0of5,EV_EBITDA_qb4of5,C4_ROE_DYN_qmax8,v1,0.037646235061278066,33.99,-0.2598957584547008,0.6
EPS_qb2of5__EV_EBITDA_qb0of5__C5_ROE_DYN_yoy__v0,EPS_qb2of5,EV_EBITDA_qb0of5,C5_ROE_DYN_yoy,v0,0.27521059337301534,9.19,-0.2600329579202644,0.4729299363057325
ROE_qb0of5__EV_EBITDA_qb2of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,EV_EBITDA_qb2of5,C11_EPS_DYN_qmax8,v1,-0.007178297368410691,328.68,-0.26156450752475935,0.5
ROE_qb1of5__EV_EBITDA_qb0of5__None__v0,ROE_qb1of5,EV_EBITDA_qb0of5,None,v0,0.11315422513386797,22.66,-0.2626047165285441,0.4667211106574112
EPS_qb0of5__EV_EBITDA_qb2of5__C2_ROE_DYN_riseq2__v1,EPS_qb0of5,EV_EBITDA_qb2of5,C2_ROE_DYN_riseq2,v1,-0.0018428178252931637,247.78,-0.2656731955033801,0.4
FCF_P_qb1of5__EV_EBITDA_qb1of5__C18_FCF_P_DYN_qmax8__v0,FCF_P_qb1of5,EV_EBITDA_qb1of5,C18_FCF_P_DYN_qmax8,v0,-0.006262529410974715,304.7,-0.2668063067478095,0.06
ROE_qb3of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb3of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v1,0.01061128300298364,196.65,-0.26787293145667335,0.5384615384615384
