strategy,CAGR,daily_sharpe,max_drawdown,win_ratio
EPS_qb0of5__EV_S_qb0of5__C8_EPS_DYN_riseq1__v1,-0.23452597733201386,14.75,-0.9932668132735694,0.2830188679245283
ROE_qb0of5__FCF_P_qb1of5__C16_FCF_P_DYN_riseq2__v1,-0.19450269490180816,9.26,-0.9900686349594735,0.29523809523809524
ROE_qb0of5__EPS_qb0of5__C7_ROE_DYN_ytdavg_gt_lyavg__v1,-0.09054690128805887,11.91,-0.9877391930762216,0.43555555555555553
EPS_qb0of5__FCF_P_qb1of5__C5_ROE_DYN_yoy__v1,-0.1952894533531302,13.58,-0.9857298023046184,0.2698412698412698
ROE_qb0of5__EPS_qb0of5__C17_FCF_P_DYN_qmax4__v1,-0.12703998236460923,12.99,-0.9848701871704749,0.37116564417177916
EPS_qb0of5__EV_S_qb0of5__C1_ROE_DYN_riseq1__v1,-0.1423577885340621,14.92,-0.9843799246753525,0.2916666666666667
EPS_qb0of5__FCF_P_qb1of5__C16_FCF_P_DYN_riseq2__v1,-0.18011061806736872,11.0,-0.984236956092325,0.344
FCF_P_qb1of5__None__C17_FCF_P_DYN_qmax4__v1,-0.08529844136077491,13.03,-0.9825637748059631,0.334841628959276
EPS_qb0of5__EV_S_qb0of5__C15_FCF_P_DYN_riseq1__v1,-0.14237028054477474,13.48,-0.9807239805129824,0.31875
ROE_qb0of5__FCF_P_qb1of5__C2_ROE_DYN_riseq2__v1,-0.17693788363846996,12.51,-0.9805248379670067,0.2413793103448276
