strategy,CAGR,daily_sharpe,max_drawdown,win_ratio
FCF_P_qb4of5__EV_S_qb0of5__C10_EPS_DYN_qmax4__v1,0.3668296640235882,10.68,-0.3775658679752343,0.5676855895196506
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,0.3392709352681387,16.48,-0.40907987819348246,0.4773218142548596
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v1,0.29875290652587694,13.78,-0.39476769398085043,0.5739644970414202
FCF_P_qb1of5__EV_S_qb0of5__C12_EPS_DYN_yoy__v0,0.29760422370615003,14.05,-0.3073390689087824,0.43257612373127113
FCF_P_qb1of5__EV_S_qb0of5__C15_FCF_P_DYN_riseq1__v0,0.29610741441173616,13.95,-0.7094073852486997,0.4580152671755725
EPS_qb3of5__EV_S_qb0of5__C10_EPS_DYN_qmax4__v1,0.29255923567159803,13.17,-0.41909869563819657,0.512396694214876
EPS_qb3of5__FCF_P_qb4of5__C18_FCF_P_DYN_qmax8__v1,0.28768444097464463,8.83,-0.47244723857669624,0.5279187817258884
ROE_qb3of5__EV_S_qb0of5__C12_EPS_DYN_yoy__v1,0.2865914498902731,14.29,-0.7240244462680847,0.5038167938931297
ROE_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,0.28565287944210316,19.45,-0.40554538846309074,0.4492525570416995
EV_S_qb0of5__None__C12_EPS_DYN_yoy__v1,0.2791114040946414,15.2,-0.7215991434610436,0.5120521172638437
