strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio
EPS_qb2of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v1,EPS_qb2of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v1,-0.011125985841000663,522.47,-0.30812646105956465,0.25
EPS_qb0of5__EV_S_qb4of5__C10_EPS_DYN_qmax4__v1,EPS_qb0of5,EV_S_qb4of5,C10_EPS_DYN_qmax4,v1,-0.0005413402679481649,419.71,-0.4203436758084279,0.25
EPS_qb4of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v1,EPS_qb4of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v1,0.0048268635287462835,417.83,-0.29178418372953385,0.375
ROE_qb0of5__EPS_qb4of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb0of5,EPS_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.0006470955894446462,410.09,-0.11834240731133117,0.3333333333333333
FCF_P_qb0of5__EV_S_qb4of5__C18_FCF_P_DYN_qmax8__v1,FCF_P_qb0of5,EV_S_qb4of5,C18_FCF_P_DYN_qmax8,v1,-0.01630246995248663,400.86,-0.3598598023320092,0.07142857142857142
ROE_qb0of5__EPS_qb1of5__C3_ROE_DYN_qmax4__v1,ROE_qb0of5,EPS_qb1of5,C3_ROE_DYN_qmax4,v1,-0.0032407537278572596,393.18,-0.29317401982129476,0.3333333333333333
ROE_qb2of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb2of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v1,-0.01602149165649802,388.7,-0.35202931244940183,0.0
FCF_P_qb1of5__EV_S_qb3of5__C18_FCF_P_DYN_qmax8__v1,FCF_P_qb1of5,EV_S_qb3of5,C18_FCF_P_DYN_qmax8,v1,-0.017924505458946638,387.18,-0.25899024745260324,0.16666666666666666
ROE_qb0of5__EPS_qb3of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,EPS_qb3of5,C11_EPS_DYN_qmax8,v1,-0.002144378311492834,340.74,-0.24872226369711548,0.6
ROE_qb0of5__EPS_qb3of5__C17_FCF_P_DYN_qmax4__v1,ROE_qb0of5,EPS_qb3of5,C17_FCF_P_DYN_qmax4,v1,0.007076522808606933,339.15,-0.46347885339278494,0.5714285714285714
ROE_qb1of5__EPS_qb3of5__C4_ROE_DYN_qmax8__v1,ROE_qb1of5,EPS_qb3of5,C4_ROE_DYN_qmax8,v1,0.01546611817797583,333.5,-0.2928084737634039,0.75
ROE_qb4of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb4of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v1,0.0022012844414029953,322.81,-0.29178418372953385,0.375
ROE_qb3of5__EPS_qb0of5__C7_ROE_DYN_ytdavg_gt_lyavg__v1,ROE_qb3of5,EPS_qb0of5,C7_ROE_DYN_ytdavg_gt_lyavg,v1,0.01317207966862477,312.52,-0.38885662121548425,0.4
FCF_P_qb0of5__EV_S_qb1of5__C18_FCF_P_DYN_qmax8__v0,FCF_P_qb0of5,EV_S_qb1of5,C18_FCF_P_DYN_qmax8,v0,0.005856027222481464,299.42,-0.07954844418932794,0.125
ROE_qb3of5__EPS_qb0of5__C3_ROE_DYN_qmax4__v1,ROE_qb3of5,EPS_qb0of5,C3_ROE_DYN_qmax4,v1,0.012408072994003483,295.55,-0.38885662121548425,0.4
ROE_qb3of5__EPS_qb0of5__C6_ROE_DYN_ytdavg_gt_lyytdavg__v1,ROE_qb3of5,EPS_qb0of5,C6_ROE_DYN_ytdavg_gt_lyytdavg,v1,0.01621582398831234,279.16,-0.32708487158753663,0.5
FCF_P_qb0of5__EV_S_qb1of5__C17_FCF_P_DYN_qmax4__v1,FCF_P_qb0of5,EV_S_qb1of5,C17_FCF_P_DYN_qmax4,v1,-0.0039882305185484634,278.96,-0.28134979758920675,0.3333333333333333
ROE_qb0of5__EPS_qb1of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,EPS_qb1of5,C11_EPS_DYN_qmax8,v1,-0.006543806532475105,257.04,-0.47082098066414624,0.6666666666666666
ROE_qb3of5__EPS_qb0of5__C1_ROE_DYN_riseq1__v1,ROE_qb3of5,EPS_qb0of5,C1_ROE_DYN_riseq1,v1,0.004856869777799533,250.06,-0.42710964603819235,0.2857142857142857
ROE_qb2of5__EPS_qb0of5__C12_EPS_DYN_yoy__v1,ROE_qb2of5,EPS_qb0of5,C12_EPS_DYN_yoy,v1,0.0180308325470373,242.84,-0.45849081976995154,0.6666666666666666
