strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio
FCF_P_qb0of5__EV_S_qb1of5__C18_FCF_P_DYN_qmax8__v0,FCF_P_qb0of5,EV_S_qb1of5,C18_FCF_P_DYN_qmax8,v0,0.005856027222481464,299.42,-0.07954844418932794,0.125
ROE_qb0of5__EPS_qb4of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb0of5,EPS_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.0006470955894446462,410.09,-0.11834240731133117,0.3333333333333333
FCF_P_qb1of5__EV_S_qb0of5__C18_FCF_P_DYN_qmax8__v1,FCF_P_qb1of5,EV_S_qb0of5,C18_FCF_P_DYN_qmax8,v1,0.07129842252104046,108.73,-0.16529201728926113,0.6666666666666666
FCF_P_qb0of5__EV_S_qb3of5__C18_FCF_P_DYN_qmax8__v0,FCF_P_qb0of5,EV_S_qb3of5,C18_FCF_P_DYN_qmax8,v0,0.009028502844623087,198.77,-0.17434277685644106,0.4782608695652174
FCF_P_qb1of5__EV_S_qb0of5__C18_FCF_P_DYN_qmax8__v0,FCF_P_qb1of5,EV_S_qb0of5,C18_FCF_P_DYN_qmax8,v0,0.016440019697550268,118.56,-0.2036466457422167,0.032362459546925564
ROE_qb1of5__EPS_qb3of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb1of5,EPS_qb3of5,C18_FCF_P_DYN_qmax8,v1,0.025487505788574172,117.04,-0.21572205589642302,0.7777777777777778
ROE_qb1of5__EPS_qb4of5__C2_ROE_DYN_riseq2__v1,ROE_qb1of5,EPS_qb4of5,C2_ROE_DYN_riseq2,v1,0.0677319075520384,42.61,-0.2284408222472466,0.6666666666666666
ROE_qb1of5__EPS_qb4of5__C3_ROE_DYN_qmax4__v1,ROE_qb1of5,EPS_qb4of5,C3_ROE_DYN_qmax4,v1,0.020574748063814763,90.55,-0.2284408222472467,0.5
ROE_qb1of5__EPS_qb4of5__C7_ROE_DYN_ytdavg_gt_lyavg__v1,ROE_qb1of5,EPS_qb4of5,C7_ROE_DYN_ytdavg_gt_lyavg,v1,0.04520270145161143,46.8,-0.22844082231790985,0.6923076923076923
ROE_qb2of5__EPS_qb0of5__C11_EPS_DYN_qmax8__v0,ROE_qb2of5,EPS_qb0of5,C11_EPS_DYN_qmax8,v0,0.05208576464411263,40.28,-0.23387543555401957,0.6666666666666666
ROE_qb0of5__FCF_P_qb1of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,FCF_P_qb1of5,C11_EPS_DYN_qmax8,v1,-0.012996889485792251,187.69,-0.23647251182093132,0.25
ROE_qb2of5__EPS_qb0of5__C4_ROE_DYN_qmax8__v1,ROE_qb2of5,EPS_qb0of5,C4_ROE_DYN_qmax8,v1,0.01725677619095367,140.37,-0.24227477963582889,0.8
ROE_qb0of5__EPS_qb3of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,EPS_qb3of5,C11_EPS_DYN_qmax8,v1,-0.002144378311492834,340.74,-0.24872226369711548,0.6
FCF_P_qb1of5__EV_S_qb3of5__C18_FCF_P_DYN_qmax8__v1,FCF_P_qb1of5,EV_S_qb3of5,C18_FCF_P_DYN_qmax8,v1,-0.017924505458946638,387.18,-0.25899024745260324,0.16666666666666666
EV_S_qb0of5__None__C17_FCF_P_DYN_qmax4__v0,EV_S_qb0of5,None,C17_FCF_P_DYN_qmax4,v0,0.08432199887415415,23.33,-0.26380667837000704,0.4382092015679802
ROE_qb3of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb3of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v1,0.01061128300298364,196.65,-0.26787293145667335,0.5384615384615384
ROE_qb2of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v0,ROE_qb2of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v0,0.015680320635962808,123.2,-0.27084684852503016,0.4166666666666667
ROE_qb4of5__EV_S_qb0of5__None__v0,ROE_qb4of5,EV_S_qb0of5,None,v0,0.1432542336968965,18.47,-0.27232797553413335,0.4188235294117647
ROE_qb1of5__EPS_qb4of5__C4_ROE_DYN_qmax8__v0,ROE_qb1of5,EPS_qb4of5,C4_ROE_DYN_qmax8,v0,0.018239217426405663,82.24,-0.27239381341168434,0.2727272727272727
FCF_P_qb2of5__EV_S_qb0of5__C3_ROE_DYN_qmax4__v0,FCF_P_qb2of5,EV_S_qb0of5,C3_ROE_DYN_qmax4,v0,0.14334587023691236,14.37,-0.2724619858673418,0.33763440860215055
