strategy,CAGR,daily_sharpe,max_drawdown,win_ratio
EPS_qb0of5__FCF_OI_qb0of5__C2_ROE_DYN_riseq2__v1,-0.15946916164239033,7.43,-0.9935757133438033,0.4153846153846154
ROE_qb0of5__FCF_OI_qb1of5__C19_FCF_P_DYN_yoy__v1,-0.20279973494200265,9.69,-0.9924050755299106,0.31521739130434784
ROE_qb0of5__FCF_P_qb1of5__C16_FCF_P_DYN_riseq2__v1,-0.19450269490180816,9.26,-0.9900686349594735,0.29523809523809524
ROE_qb0of5__FCF_OI_qb0of5__C2_ROE_DYN_riseq2__v1,-0.15276795391815268,7.61,-0.9898409693686819,0.37209302325581395
ROE_qb0of5__EPS_qb0of5__C7_ROE_DYN_ytdavg_gt_lyavg__v1,-0.09054690128805887,11.91,-0.9877391930762216,0.43555555555555553
EPS_qb0of5__FCF_OI_qb0of5__C16_FCF_P_DYN_riseq2__v1,-0.15877654730119828,12.56,-0.9875357746271718,0.515625
EPS_qb0of5__FCF_P_qb1of5__C5_ROE_DYN_yoy__v1,-0.1952894533531302,13.58,-0.9857298023046184,0.2698412698412698
ROE_qb0of5__EPS_qb0of5__C17_FCF_P_DYN_qmax4__v1,-0.12703998236460923,12.99,-0.9848701871704749,0.37116564417177916
EPS_qb0of5__FCF_P_qb1of5__C16_FCF_P_DYN_riseq2__v1,-0.18011061806736872,11.0,-0.984236956092325,0.344
FCF_P_qb1of5__None__C17_FCF_P_DYN_qmax4__v1,-0.08529844136077491,13.03,-0.9825637748059631,0.334841628959276
