strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio
FCF_P_qb3of5__FCF_OI_qb0of5__C10_EPS_DYN_qmax4__v1,FCF_P_qb3of5,FCF_OI_qb0of5,C10_EPS_DYN_qmax4,v1,0.006249732379713935,931.37,-0.16234394913925054,0.625
ROE_qb2of5__FCF_OI_qb0of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb2of5,FCF_OI_qb0of5,C18_FCF_P_DYN_qmax8,v1,0.001680259703523701,869.23,-0.23909980885730464,0.39285714285714285
FCF_P_qb0of5__FCF_OI_qb3of5__C16_FCF_P_DYN_riseq2__v0,FCF_P_qb0of5,FCF_OI_qb3of5,C16_FCF_P_DYN_riseq2,v0,-0.01025201721924196,697.05,-0.21810803305956872,0.16666666666666666
ROE_qb0of5__FCF_OI_qb1of5__C4_ROE_DYN_qmax8__v1,ROE_qb0of5,FCF_OI_qb1of5,C4_ROE_DYN_qmax8,v1,0.00828199203110258,637.2,-0.24395340692267975,0.4
FCF_P_qb0of5__FCF_OI_qb4of5__C18_FCF_P_DYN_qmax8__v1,FCF_P_qb0of5,FCF_OI_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.0034392349850786985,628.86,-0.2579926198021466,0.4444444444444444
EPS_qb0of5__FCF_OI_qb1of5__C11_EPS_DYN_qmax8__v1,EPS_qb0of5,FCF_OI_qb1of5,C11_EPS_DYN_qmax8,v1,0.007198740759783551,533.49,-0.2384898254684623,0.3333333333333333
EPS_qb2of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v1,EPS_qb2of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v1,-0.011125985841000663,522.47,-0.30812646105956465,0.25
FCF_P_qb2of5__FCF_OI_qb0of5__C18_FCF_P_DYN_qmax8__v1,FCF_P_qb2of5,FCF_OI_qb0of5,C18_FCF_P_DYN_qmax8,v1,0.0015048896733782513,473.94,-0.3412801145982307,0.4583333333333333
EPS_qb0of5__FCF_OI_qb1of5__C10_EPS_DYN_qmax4__v1,EPS_qb0of5,FCF_OI_qb1of5,C10_EPS_DYN_qmax4,v1,0.004890743874259806,439.81,-0.2384898254684623,0.2857142857142857
FCF_P_qb0of5__FCF_OI_qb2of5__C7_ROE_DYN_ytdavg_gt_lyavg__v1,FCF_P_qb0of5,FCF_OI_qb2of5,C7_ROE_DYN_ytdavg_gt_lyavg,v1,0.0029110111335384214,432.5,-0.37167768790206357,0.42857142857142855
FCF_P_qb0of5__FCF_OI_qb2of5__C6_ROE_DYN_ytdavg_gt_lyytdavg__v1,FCF_P_qb0of5,FCF_OI_qb2of5,C6_ROE_DYN_ytdavg_gt_lyytdavg,v1,0.0029110111335384214,432.5,-0.37167768790206357,0.42857142857142855
FCF_P_qb0of5__FCF_OI_qb4of5__C18_FCF_P_DYN_qmax8__v0,FCF_P_qb0of5,FCF_OI_qb4of5,C18_FCF_P_DYN_qmax8,v0,-0.004137832692997723,431.34,-0.3372789844619384,0.4666666666666667
FCF_P_qb4of5__FCF_OI_qb1of5__C4_ROE_DYN_qmax8__v1,FCF_P_qb4of5,FCF_OI_qb1of5,C4_ROE_DYN_qmax8,v1,-0.002645425990408845,420.28,-0.299346037510584,0.6
FCF_P_qb0of5__FCF_OI_qb4of5__C17_FCF_P_DYN_qmax4__v0,FCF_P_qb0of5,FCF_OI_qb4of5,C17_FCF_P_DYN_qmax4,v0,0.001130579748021887,419.26,-0.3605671769235749,0.3448275862068966
EPS_qb4of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v1,EPS_qb4of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v1,0.0048268635287462835,417.83,-0.29178418372953385,0.375
FCF_P_qb0of5__FCF_OI_qb4of5__C16_FCF_P_DYN_riseq2__v1,FCF_P_qb0of5,FCF_OI_qb4of5,C16_FCF_P_DYN_riseq2,v1,-0.020706587541158727,417.82,-0.47418641248022175,0.3333333333333333
FCF_P_qb0of5__FCF_OI_qb2of5__C13_EPS_DYN_ytdavg_gt_lyytdavg__v1,FCF_P_qb0of5,FCF_OI_qb2of5,C13_EPS_DYN_ytdavg_gt_lyytdavg,v1,-0.0001959258271562181,414.79,-0.37167768790206357,0.42857142857142855
FCF_P_qb0of5__FCF_OI_qb4of5__C10_EPS_DYN_qmax4__v1,FCF_P_qb0of5,FCF_OI_qb4of5,C10_EPS_DYN_qmax4,v1,-0.0018713947961310762,412.73,-0.39160957746115765,0.45454545454545453
ROE_qb0of5__EPS_qb4of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb0of5,EPS_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.0006470955894446462,410.09,-0.11834240731133117,0.3333333333333333
EPS_qb2of5__FCF_OI_qb0of5__C18_FCF_P_DYN_qmax8__v1,EPS_qb2of5,FCF_OI_qb0of5,C18_FCF_P_DYN_qmax8,v1,0.005653409262018183,406.01,-0.3373553955048312,0.5
