strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio
ROE_qb0of5__EPS_qb4of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb0of5,EPS_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.0006470955894446462,410.09,-0.11834240731133117,0.3333333333333333
FCF_P_qb0of5__FCF_OI_qb3of5__C20_FCF_P_DYN_ytdavg_gt_lyytdavg__v0,FCF_P_qb0of5,FCF_OI_qb3of5,C20_FCF_P_DYN_ytdavg_gt_lyytdavg,v0,0.03950519000217878,107.29,-0.12123613804519495,0.4444444444444444
FCF_P_qb0of5__FCF_OI_qb3of5__C19_FCF_P_DYN_yoy__v0,FCF_P_qb0of5,FCF_OI_qb3of5,C19_FCF_P_DYN_yoy,v0,0.009750147356932803,318.89,-0.144949603760418,0.4
FCF_P_qb3of5__FCF_OI_qb0of5__C3_ROE_DYN_qmax4__v1,FCF_P_qb3of5,FCF_OI_qb0of5,C3_ROE_DYN_qmax4,v1,0.015612219483279732,150.1,-0.16234394913925054,0.6666666666666666
FCF_P_qb3of5__FCF_OI_qb0of5__C10_EPS_DYN_qmax4__v1,FCF_P_qb3of5,FCF_OI_qb0of5,C10_EPS_DYN_qmax4,v1,0.006249732379713935,931.37,-0.16234394913925054,0.625
FCF_P_qb3of5__FCF_OI_qb0of5__C18_FCF_P_DYN_qmax8__v1,FCF_P_qb3of5,FCF_OI_qb0of5,C18_FCF_P_DYN_qmax8,v1,0.014628004238506076,151.95,-0.16779978073978175,0.625
FCF_P_qb3of5__FCF_OI_qb0of5__C20_FCF_P_DYN_ytdavg_gt_lyytdavg__v1,FCF_P_qb3of5,FCF_OI_qb0of5,C20_FCF_P_DYN_ytdavg_gt_lyytdavg,v1,0.03318064336984117,97.5,-0.16887732835389235,0.8
ROE_qb0of5__FCF_OI_qb3of5__C3_ROE_DYN_qmax4__v1,ROE_qb0of5,FCF_OI_qb3of5,C3_ROE_DYN_qmax4,v1,0.08263026833421638,25.48,-0.19492163438505228,1.0
ROE_qb1of5__EPS_qb3of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb1of5,EPS_qb3of5,C18_FCF_P_DYN_qmax8,v1,0.025487505788574172,117.04,-0.21572205589642302,0.7777777777777778
FCF_P_qb0of5__FCF_OI_qb3of5__C16_FCF_P_DYN_riseq2__v0,FCF_P_qb0of5,FCF_OI_qb3of5,C16_FCF_P_DYN_riseq2,v0,-0.01025201721924196,697.05,-0.21810803305956872,0.16666666666666666
FCF_P_qb3of5__FCF_OI_qb0of5__None__v1,FCF_P_qb3of5,FCF_OI_qb0of5,None,v1,0.01883911536251981,115.58,-0.2217205507440695,0.6428571428571429
FCF_P_qb3of5__FCF_OI_qb0of5__C19_FCF_P_DYN_yoy__v1,FCF_P_qb3of5,FCF_OI_qb0of5,C19_FCF_P_DYN_yoy,v1,0.026517650099171064,118.0,-0.2217205507440697,0.6
ROE_qb1of5__EPS_qb4of5__C2_ROE_DYN_riseq2__v1,ROE_qb1of5,EPS_qb4of5,C2_ROE_DYN_riseq2,v1,0.0677319075520384,42.61,-0.2284408222472466,0.6666666666666666
ROE_qb1of5__EPS_qb4of5__C3_ROE_DYN_qmax4__v1,ROE_qb1of5,EPS_qb4of5,C3_ROE_DYN_qmax4,v1,0.020574748063814763,90.55,-0.2284408222472467,0.5
ROE_qb1of5__EPS_qb4of5__C7_ROE_DYN_ytdavg_gt_lyavg__v1,ROE_qb1of5,EPS_qb4of5,C7_ROE_DYN_ytdavg_gt_lyavg,v1,0.04520270145161143,46.8,-0.22844082231790985,0.6923076923076923
FCF_P_qb4of5__FCF_OI_qb0of5__C1_ROE_DYN_riseq1__v1,FCF_P_qb4of5,FCF_OI_qb0of5,C1_ROE_DYN_riseq1,v1,-0.01059666969882711,338.24,-0.228631200396345,0.0
EPS_qb4of5__FCF_OI_qb1of5__C18_FCF_P_DYN_qmax8__v1,EPS_qb4of5,FCF_OI_qb1of5,C18_FCF_P_DYN_qmax8,v1,0.0005593113661663818,295.71,-0.22973383286187954,0.5714285714285714
ROE_qb2of5__EPS_qb0of5__C11_EPS_DYN_qmax8__v0,ROE_qb2of5,EPS_qb0of5,C11_EPS_DYN_qmax8,v0,0.05208576464411263,40.28,-0.23387543555401957,0.6666666666666666
ROE_qb0of5__FCF_P_qb1of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,FCF_P_qb1of5,C11_EPS_DYN_qmax8,v1,-0.012996889485792251,187.69,-0.23647251182093132,0.25
EPS_qb0of5__FCF_OI_qb1of5__C10_EPS_DYN_qmax4__v1,EPS_qb0of5,FCF_OI_qb1of5,C10_EPS_DYN_qmax4,v1,0.004890743874259806,439.81,-0.2384898254684623,0.2857142857142857
