,0
candidate,FCF_OI
label,TW_batch_FCF_OI_M
n_strategies,7057
nan_rate_CAGR,0.0
nan_rate_daily_sharpe,0.0
n_suspicious_flagged,2
CAGR_median,0.0827562498397767
CAGR_mean,0.07345580666507825
pct_CAGR_positive,0.8543290350007086
pct_CAGR_negative,0.1456709649992915
pct_CAGR_beat_bench,0.6178262717868783
verdict,偏賺（多數策略CAGR為正）
champion_CAGR,0.3392709352681387
champion_strategy,EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0
champion_strategy_daily_sharpe,16.48
highest_daily_sharpe_value,931.37
highest_daily_sharpe_strategy,FCF_P_qb3of5__FCF_OI_qb0of5__C10_EPS_DYN_qmax4__v1
highest_daily_sharpe_strategy_CAGR,0.006249732379713935
highest_daily_sharpe_strategy_win_ratio,0.625
candidate_factor_group_median_CAGR,0.10846558359781944
candidate_factor_group_n,210
better_than_none_C,"C7,C9,C11,C4,C10,C2,C14,C8,C1,C3,C12,C13,C5,C6"
worse_or_equal_C,"None,C20,C19,C15,C16,C17,C18"
