strategy,CAGR,daily_sharpe,max_drawdown,win_ratio
ROE_qb0of5__MOM_qb2of5__C19_FCF_P_DYN_yoy__v0,-0.21755326015773535,46.68,-0.6114519100849817,0.2857142857142857
MOM_qb1of5__None__C20_FCF_P_DYN_ytdavg_gt_lyytdavg__v0,-0.20867000112185996,59.03,-0.5501177765571648,0.2857142857142857
MOM_qb2of5__None__C20_FCF_P_DYN_ytdavg_gt_lyytdavg__v0,-0.19879873421681826,48.7,-0.5806826627762618,0.2222222222222222
EPS_qb0of5__FCF_P_qb1of5__C5_ROE_DYN_yoy__v1,-0.1952894533531302,13.58,-0.9857298023046184,0.2698412698412698
ROE_qb0of5__FCF_P_qb1of5__C16_FCF_P_DYN_riseq2__v1,-0.19450269490180816,9.26,-0.9900686349594735,0.29523809523809524
ROE_qb0of5__MOM_qb2of5__C20_FCF_P_DYN_ytdavg_gt_lyytdavg__v0,-0.18814820022956225,49.37,-0.583771519156838,0.25
EPS_qb0of5__MOM_qb2of5__C20_FCF_P_DYN_ytdavg_gt_lyytdavg__v0,-0.18814820022956225,49.37,-0.583771519156838,0.25
EPS_qb0of5__MOM_qb2of5__C19_FCF_P_DYN_yoy__v0,-0.1832312137907367,49.04,-0.596042295866389,0.3333333333333333
EPS_qb0of5__FCF_P_qb1of5__C16_FCF_P_DYN_riseq2__v1,-0.18011061806736872,11.0,-0.984236956092325,0.344
ROE_qb0of5__FCF_P_qb1of5__C12_EPS_DYN_yoy__v1,-0.17993796871934742,13.81,-0.9799097955363248,0.34782608695652173
