strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio
FCF_P_qb3of5__MOM_qb2of5__C4_ROE_DYN_qmax8__v0,FCF_P_qb3of5,MOM_qb2of5,C4_ROE_DYN_qmax8,v0,-0.003976266073742574,5249.25,-0.041884816753926746,0.0
FCF_P_qb0of5__MOM_qb0of5__C17_FCF_P_DYN_qmax4__v0,FCF_P_qb0of5,MOM_qb0of5,C17_FCF_P_DYN_qmax4,v0,-0.007247446544414338,4554.92,-0.013096996224332025,0.0
FCF_P_qb3of5__MOM_qb2of5__C18_FCF_P_DYN_qmax8__v0,FCF_P_qb3of5,MOM_qb2of5,C18_FCF_P_DYN_qmax8,v0,-0.007970899833730782,4542.63,-0.013103556738190414,0.0
EPS_qb3of5__MOM_qb2of5__C17_FCF_P_DYN_qmax4__v0,EPS_qb3of5,MOM_qb2of5,C17_FCF_P_DYN_qmax4,v0,-0.007199062594919425,4347.15,-0.01599245792297277,0.0
EPS_qb2of5__MOM_qb0of5__C17_FCF_P_DYN_qmax4__v0,EPS_qb2of5,MOM_qb0of5,C17_FCF_P_DYN_qmax4,v0,-0.004645579686334167,4056.18,-0.014553873490329439,0.0
EPS_qb2of5__MOM_qb0of5__C11_EPS_DYN_qmax8__v0,EPS_qb2of5,MOM_qb0of5,C11_EPS_DYN_qmax8,v0,-0.006548848121381234,3913.05,-0.014553873490329439,0.0
EPS_qb2of5__MOM_qb0of5__C4_ROE_DYN_qmax8__v0,EPS_qb2of5,MOM_qb0of5,C4_ROE_DYN_qmax8,v0,-0.006548848121381234,3913.05,-0.014553873490329439,0.0
FCF_P_qb0of5__MOM_qb3of5__C10_EPS_DYN_qmax4__v0,FCF_P_qb0of5,MOM_qb3of5,C10_EPS_DYN_qmax4,v0,-0.005209115849837187,3810.25,-0.015014542994364555,0.0
FCF_P_qb0of5__MOM_qb3of5__C3_ROE_DYN_qmax4__v0,FCF_P_qb0of5,MOM_qb3of5,C3_ROE_DYN_qmax4,v0,-0.005209115849837187,3810.25,-0.015014542994364555,0.0
FCF_P_qb0of5__MOM_qb1of5__C17_FCF_P_DYN_qmax4__v0,FCF_P_qb0of5,MOM_qb1of5,C17_FCF_P_DYN_qmax4,v0,-0.005577045177348028,3773.05,-0.017454506994607377,0.0
FCF_P_qb1of5__MOM_qb3of5__C11_EPS_DYN_qmax8__v0,FCF_P_qb1of5,MOM_qb3of5,C11_EPS_DYN_qmax8,v0,-0.005538214944173392,3635.51,-0.01595813422060577,0.0
ROE_qb4of5__MOM_qb2of5__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,ROE_qb4of5,MOM_qb2of5,C13_EPS_DYN_ytdavg_gt_lyytdavg,v0,-0.00504852177664139,3555.64,-0.014553873490329328,0.0
EPS_qb2of5__MOM_qb1of5__C18_FCF_P_DYN_qmax8__v0,EPS_qb2of5,MOM_qb1of5,C18_FCF_P_DYN_qmax8,v0,-0.009728521010211821,3312.46,-0.01598380030542157,0.0
FCF_P_qb3of5__MOM_qb2of5__C10_EPS_DYN_qmax4__v0,FCF_P_qb3of5,MOM_qb2of5,C10_EPS_DYN_qmax4,v0,-0.006178748031879677,3265.81,-0.041884816753926746,0.0
FCF_P_qb3of5__MOM_qb2of5__C3_ROE_DYN_qmax4__v0,FCF_P_qb3of5,MOM_qb2of5,C3_ROE_DYN_qmax4,v0,-0.006178748031879677,3265.81,-0.041884816753926746,0.0
FCF_P_qb1of5__MOM_qb2of5__C10_EPS_DYN_qmax4__v0,FCF_P_qb1of5,MOM_qb2of5,C10_EPS_DYN_qmax4,v0,-0.008862027576018283,3082.85,-0.016004190242468574,0.0
FCF_P_qb1of5__MOM_qb2of5__C17_FCF_P_DYN_qmax4__v0,FCF_P_qb1of5,MOM_qb2of5,C17_FCF_P_DYN_qmax4,v0,-0.008862027576018283,3082.85,-0.016004190242468574,0.0
FCF_P_qb1of5__MOM_qb2of5__C3_ROE_DYN_qmax4__v0,FCF_P_qb1of5,MOM_qb2of5,C3_ROE_DYN_qmax4,v0,-0.008862027576018283,3082.85,-0.016004190242468574,0.0
EPS_qb3of5__MOM_qb3of5__C4_ROE_DYN_qmax8__v0,EPS_qb3of5,MOM_qb3of5,C4_ROE_DYN_qmax8,v0,-0.0019353488784802364,3040.55,-0.031198312484999935,0.25
EPS_qb3of5__MOM_qb3of5__C18_FCF_P_DYN_qmax8__v0,EPS_qb3of5,MOM_qb3of5,C18_FCF_P_DYN_qmax8,v0,-0.006027332440378896,2848.77,-0.018854634322139963,0.0
