C_kind,mean,median,std,count
C9,0.0941021096323294,0.10410776703468139,0.05738665737055666,194
C1,0.08610076467791174,0.10209049291012007,0.06094105447341259,180
C2,0.0886183578774694,0.10117988736196104,0.06388717395625439,194
C8,0.08541823230679006,0.10099445812743646,0.06799071424574103,177
C11,0.0931413302588543,0.09977626153800356,0.07910038704299355,188
C7,0.08578074771480972,0.09703673026526094,0.07446233876202489,202
C14,0.08679451167654278,0.09394427552304618,0.06504702202180945,195
C10,0.0792860746179767,0.09229797289903097,0.07019988245559677,215
C4,0.08324803825939947,0.0904571814080608,0.08512912897326193,195
C3,0.07261247326289333,0.08352753277401626,0.0727965084662213,218
C12,0.07105575827436279,0.07873897446450573,0.07034998123018381,203
C13,0.0667901206947021,0.07591668337513591,0.06526592610524036,200
C15,0.059140011417700734,0.07421665230460117,0.06214948588978874,180
C5,0.06480583602996919,0.07326094407314931,0.0672855830795749,208
C6,0.06777623443631699,0.0711482449862092,0.06830940782551854,206
None,0.04872032183569319,0.07025505950050981,0.06491521146252348,223
C20,0.05187562350920323,0.06775166608031435,0.0706795194684607,202
C19,0.049288822950635025,0.05798686695843758,0.07842196944195014,209
C16,0.044141919650737174,0.05688388502349706,0.07087402293132261,200
C17,0.0220953164446299,0.02160007266083952,0.0701171978891044,220
C18,0.024395226786272265,0.015860399066147668,0.06838180688696509,194
