,0
candidate,MOM
label,TW_batch_MOM_M
n_strategies,4203
nan_rate_CAGR,0.0
nan_rate_daily_sharpe,0.0
n_suspicious_flagged,2
CAGR_median,0.07837208621699787
CAGR_mean,0.06730276031580035
pct_CAGR_positive,0.8053771115869617
pct_CAGR_negative,0.19462288841303832
pct_CAGR_beat_bench,0.5762550559124435
verdict,偏賺（多數策略CAGR為正）
champion_CAGR,0.3392709352681387
champion_strategy,EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0
champion_strategy_daily_sharpe,16.48
highest_daily_sharpe_value,5249.25
highest_daily_sharpe_strategy,FCF_P_qb3of5__MOM_qb2of5__C4_ROE_DYN_qmax8__v0
highest_daily_sharpe_strategy_CAGR,-0.003976266073742574
highest_daily_sharpe_strategy_win_ratio,0.0
candidate_factor_group_median_CAGR,0.0016449164820011575
candidate_factor_group_n,83
better_than_none_C,"C9,C1,C2,C8,C11,C7,C14,C10,C4,C3,C12,C13,C15,C5,C6"
worse_or_equal_C,"None,C20,C19,C16,C17,C18"
