strategy,CAGR,daily_sharpe,max_drawdown,win_ratio
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,0.3392709352681387,16.48,-0.40907987819348246,0.4773218142548596
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v1,0.29875290652587694,13.78,-0.39476769398085043,0.5739644970414202
EPS_qb3of5__FCF_P_qb4of5__C18_FCF_P_DYN_qmax8__v1,0.28768444097464463,8.83,-0.47244723857669624,0.5279187817258884
ROE_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,0.28565287944210316,19.45,-0.40554538846309074,0.4492525570416995
FCF_P_qb0of5__OCF_E_qb0of5__C7_ROE_DYN_ytdavg_gt_lyavg__v1,0.2699420815363449,11.55,-0.6167267814490263,0.48028673835125446
EPS_qb3of5__None__C18_FCF_P_DYN_qmax8__v1,0.26697734865732903,9.13,-0.5749239853574495,0.47953216374269003
EPS_qb3of5__None__C11_EPS_DYN_qmax8__v1,0.26595761946439467,12.1,-0.34899820167778983,0.5336633663366337
EPS_qb3of5__FCF_P_qb4of5__C10_EPS_DYN_qmax4__v1,0.26409751280152594,10.46,-0.3790637960279599,0.5706666666666667
EPS_qb3of5__FCF_P_qb4of5__C11_EPS_DYN_qmax8__v1,0.2595612186376892,12.85,-0.4468142233513792,0.5815899581589958
ROE_qb4of5__OCF_E_qb0of5__C9_EPS_DYN_riseq2__v1,0.2534515286649708,14.0,-0.630663824980993,0.5372670807453416
