strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio
EPS_qb0of5__OCF_E_qb1of5__C11_EPS_DYN_qmax8__v1,EPS_qb0of5,OCF_E_qb1of5,C11_EPS_DYN_qmax8,v1,0.011786663154215393,810.79,-0.1648856509285732,0.625
EPS_qb2of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v1,EPS_qb2of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v1,-0.011125985841000663,522.47,-0.30812646105956465,0.25
FCF_P_qb1of5__OCF_E_qb4of5__C18_FCF_P_DYN_qmax8__v1,FCF_P_qb1of5,OCF_E_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.003576852217562987,456.79,-0.18882608073070517,0.5714285714285714
EPS_qb4of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v1,EPS_qb4of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v1,0.0048268635287462835,417.83,-0.29178418372953385,0.375
ROE_qb0of5__EPS_qb4of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb0of5,EPS_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.0006470955894446462,410.09,-0.11834240731133117,0.3333333333333333
ROE_qb0of5__EPS_qb1of5__C3_ROE_DYN_qmax4__v1,ROE_qb0of5,EPS_qb1of5,C3_ROE_DYN_qmax4,v1,-0.0032407537278572596,393.18,-0.29317401982129476,0.3333333333333333
ROE_qb2of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb2of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v1,-0.01602149165649802,388.7,-0.35202931244940183,0.0
FCF_P_qb0of5__OCF_E_qb1of5__C18_FCF_P_DYN_qmax8__v1,FCF_P_qb0of5,OCF_E_qb1of5,C18_FCF_P_DYN_qmax8,v1,-0.01553239453348254,350.19,-0.3697679985173348,0.16666666666666666
ROE_qb0of5__EPS_qb3of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,EPS_qb3of5,C11_EPS_DYN_qmax8,v1,-0.002144378311492834,340.74,-0.24872226369711548,0.6
ROE_qb0of5__EPS_qb3of5__C17_FCF_P_DYN_qmax4__v1,ROE_qb0of5,EPS_qb3of5,C17_FCF_P_DYN_qmax4,v1,0.007076522808606933,339.15,-0.46347885339278494,0.5714285714285714
ROE_qb1of5__EPS_qb3of5__C4_ROE_DYN_qmax8__v1,ROE_qb1of5,EPS_qb3of5,C4_ROE_DYN_qmax8,v1,0.01546611817797583,333.5,-0.2928084737634039,0.75
ROE_qb4of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb4of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v1,0.0022012844414029953,322.81,-0.29178418372953385,0.375
ROE_qb0of5__OCF_E_qb3of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,OCF_E_qb3of5,C11_EPS_DYN_qmax8,v1,0.016742891404878835,314.37,-0.2548720636584555,0.5
ROE_qb3of5__EPS_qb0of5__C7_ROE_DYN_ytdavg_gt_lyavg__v1,ROE_qb3of5,EPS_qb0of5,C7_ROE_DYN_ytdavg_gt_lyavg,v1,0.01317207966862477,312.52,-0.38885662121548425,0.4
ROE_qb0of5__OCF_E_qb3of5__C4_ROE_DYN_qmax8__v1,ROE_qb0of5,OCF_E_qb3of5,C4_ROE_DYN_qmax8,v1,0.008206913410343297,301.85,-0.29462369437687785,0.3333333333333333
ROE_qb0of5__OCF_E_qb3of5__C3_ROE_DYN_qmax4__v1,ROE_qb0of5,OCF_E_qb3of5,C3_ROE_DYN_qmax4,v1,0.008206913410343297,301.85,-0.29462369437687785,0.3333333333333333
ROE_qb3of5__EPS_qb0of5__C3_ROE_DYN_qmax4__v1,ROE_qb3of5,EPS_qb0of5,C3_ROE_DYN_qmax4,v1,0.012408072994003483,295.55,-0.38885662121548425,0.4
EPS_qb0of5__OCF_E_qb1of5__C10_EPS_DYN_qmax4__v1,EPS_qb0of5,OCF_E_qb1of5,C10_EPS_DYN_qmax4,v1,0.01565330050285807,293.63,-0.2324949701195217,0.6666666666666666
EPS_qb0of5__OCF_E_qb4of5__C10_EPS_DYN_qmax4__v1,EPS_qb0of5,OCF_E_qb4of5,C10_EPS_DYN_qmax4,v1,-0.017018961547959566,288.99,-0.4018741278626712,0.3333333333333333
ROE_qb0of5__OCF_E_qb1of5__C10_EPS_DYN_qmax4__v1,ROE_qb0of5,OCF_E_qb1of5,C10_EPS_DYN_qmax4,v1,0.009103127828933522,284.68,-0.4045165532698817,0.46153846153846156
