strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio
ROE_qb0of5__EPS_qb4of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb0of5,EPS_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.0006470955894446462,410.09,-0.11834240731133117,0.3333333333333333
EPS_qb0of5__OCF_E_qb1of5__C11_EPS_DYN_qmax8__v1,EPS_qb0of5,OCF_E_qb1of5,C11_EPS_DYN_qmax8,v1,0.011786663154215393,810.79,-0.1648856509285732,0.625
FCF_P_qb1of5__OCF_E_qb4of5__C18_FCF_P_DYN_qmax8__v1,FCF_P_qb1of5,OCF_E_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.003576852217562987,456.79,-0.18882608073070517,0.5714285714285714
ROE_qb1of5__EPS_qb3of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb1of5,EPS_qb3of5,C18_FCF_P_DYN_qmax8,v1,0.025487505788574172,117.04,-0.21572205589642302,0.7777777777777778
ROE_qb1of5__EPS_qb4of5__C2_ROE_DYN_riseq2__v1,ROE_qb1of5,EPS_qb4of5,C2_ROE_DYN_riseq2,v1,0.0677319075520384,42.61,-0.2284408222472466,0.6666666666666666
ROE_qb1of5__EPS_qb4of5__C3_ROE_DYN_qmax4__v1,ROE_qb1of5,EPS_qb4of5,C3_ROE_DYN_qmax4,v1,0.020574748063814763,90.55,-0.2284408222472467,0.5
ROE_qb1of5__EPS_qb4of5__C7_ROE_DYN_ytdavg_gt_lyavg__v1,ROE_qb1of5,EPS_qb4of5,C7_ROE_DYN_ytdavg_gt_lyavg,v1,0.04520270145161143,46.8,-0.22844082231790985,0.6923076923076923
EPS_qb0of5__OCF_E_qb1of5__C10_EPS_DYN_qmax4__v1,EPS_qb0of5,OCF_E_qb1of5,C10_EPS_DYN_qmax4,v1,0.01565330050285807,293.63,-0.2324949701195217,0.6666666666666666
ROE_qb2of5__EPS_qb0of5__C11_EPS_DYN_qmax8__v0,ROE_qb2of5,EPS_qb0of5,C11_EPS_DYN_qmax8,v0,0.05208576464411263,40.28,-0.23387543555401957,0.6666666666666666
ROE_qb0of5__FCF_P_qb1of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,FCF_P_qb1of5,C11_EPS_DYN_qmax8,v1,-0.012996889485792251,187.69,-0.23647251182093132,0.25
ROE_qb2of5__EPS_qb0of5__C4_ROE_DYN_qmax8__v1,ROE_qb2of5,EPS_qb0of5,C4_ROE_DYN_qmax8,v1,0.01725677619095367,140.37,-0.24227477963582889,0.8
ROE_qb0of5__EPS_qb3of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,EPS_qb3of5,C11_EPS_DYN_qmax8,v1,-0.002144378311492834,340.74,-0.24872226369711548,0.6
ROE_qb0of5__OCF_E_qb3of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,OCF_E_qb3of5,C11_EPS_DYN_qmax8,v1,0.016742891404878835,314.37,-0.2548720636584555,0.5
ROE_qb3of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb3of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v1,0.01061128300298364,196.65,-0.26787293145667335,0.5384615384615384
ROE_qb2of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v0,ROE_qb2of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v0,0.015680320635962808,123.2,-0.27084684852503016,0.4166666666666667
ROE_qb1of5__EPS_qb4of5__C4_ROE_DYN_qmax8__v0,ROE_qb1of5,EPS_qb4of5,C4_ROE_DYN_qmax8,v0,0.018239217426405663,82.24,-0.27239381341168434,0.2727272727272727
ROE_qb0of5__FCF_P_qb3of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,FCF_P_qb3of5,C11_EPS_DYN_qmax8,v1,0.014670580553329149,75.87,-0.2746915765541389,0.6666666666666666
ROE_qb0of5__FCF_P_qb3of5__C10_EPS_DYN_qmax4__v1,ROE_qb0of5,FCF_P_qb3of5,C10_EPS_DYN_qmax4,v1,0.014670580553329149,75.87,-0.2746915765541389,0.6666666666666666
ROE_qb0of5__EPS_qb2of5__C5_ROE_DYN_yoy__v1,ROE_qb0of5,EPS_qb2of5,C5_ROE_DYN_yoy,v1,0.04273670643028482,61.59,-0.27586206896551735,0.6666666666666666
ROE_qb1of5__FCF_P_qb1of5__C18_FCF_P_DYN_qmax8__v0,ROE_qb1of5,FCF_P_qb1of5,C18_FCF_P_DYN_qmax8,v0,0.1073523671253962,22.02,-0.2767652298373402,0.11661807580174927
