,0
candidate,OCF_E
label,TW_batch_OCF_E_M
n_strategies,7083
nan_rate_CAGR,0.0
nan_rate_daily_sharpe,0.0
n_suspicious_flagged,1
CAGR_median,0.08706130826044944
CAGR_mean,0.07773760118146628
pct_CAGR_positive,0.8763235916984329
pct_CAGR_negative,0.12367640830156713
pct_CAGR_beat_bench,0.6531130876747141
verdict,偏賺（多數策略CAGR為正）
champion_CAGR,0.3392709352681387
champion_strategy,EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0
champion_strategy_daily_sharpe,16.48
highest_daily_sharpe_value,810.79
highest_daily_sharpe_strategy,EPS_qb0of5__OCF_E_qb1of5__C11_EPS_DYN_qmax8__v1
highest_daily_sharpe_strategy_CAGR,0.011786663154215393
highest_daily_sharpe_strategy_win_ratio,0.625
candidate_factor_group_median_CAGR,0.10470705052970752
candidate_factor_group_n,210
better_than_none_C,"C9,C7,C11,C10,C4,C2,C3,C8,C14,C1,C12,C5,C6,C13"
worse_or_equal_C,"None,C20,C19,C15,C16,C17,C18"
