strategy,CAGR,daily_sharpe,max_drawdown,win_ratio
ROE_qb0of5__PB_qb4of5__None__v1,-0.2222235281546272,7.06,-0.9973287945518371,0.3584905660377358
ROE_qb0of5__PB_qb4of5__C8_EPS_DYN_riseq1__v1,-0.21286251429940717,10.72,-0.9891431238900891,0.2765957446808511
ROE_qb0of5__PB_qb4of5__C15_FCF_P_DYN_riseq1__v1,-0.20020086589994657,9.42,-0.9919838314335325,0.39
EPS_qb0of5__FCF_P_qb1of5__C5_ROE_DYN_yoy__v1,-0.1952894533531302,13.58,-0.9857298023046184,0.2698412698412698
ROE_qb0of5__FCF_P_qb1of5__C16_FCF_P_DYN_riseq2__v1,-0.19450269490180816,9.26,-0.9900686349594735,0.29523809523809524
EPS_qb0of5__FCF_P_qb1of5__C16_FCF_P_DYN_riseq2__v1,-0.18011061806736872,11.0,-0.984236956092325,0.344
ROE_qb0of5__FCF_P_qb1of5__C12_EPS_DYN_yoy__v1,-0.17993796871934742,13.81,-0.9799097955363248,0.34782608695652173
EPS_qb0of5__FCF_P_qb1of5__C12_EPS_DYN_yoy__v1,-0.1790642874420939,13.81,-0.9799960561243404,0.28205128205128205
ROE_qb0of5__FCF_P_qb1of5__C2_ROE_DYN_riseq2__v1,-0.17693788363846996,12.51,-0.9805248379670067,0.2413793103448276
EPS_qb0of5__PB_qb4of5__None__v1,-0.1760255822073351,10.53,-0.9929705856495421,0.38461538461538464
