strategy,CAGR,daily_sharpe,max_drawdown,win_ratio
ROE_qb0of5__PB_qb4of5__None__v1,-0.2222235281546272,7.06,-0.9973287945518371,0.3584905660377358
EPS_qb1of5__PB_qb4of5__None__v1,-0.16361703952446038,10.92,-0.9936800103622943,0.3512396694214876
EPS_qb0of5__PB_qb4of5__None__v1,-0.1760255822073351,10.53,-0.9929705856495421,0.38461538461538464
ROE_qb0of5__PB_qb4of5__C15_FCF_P_DYN_riseq1__v1,-0.20020086589994657,9.42,-0.9919838314335325,0.39
EPS_qb1of5__PB_qb4of5__C16_FCF_P_DYN_riseq2__v1,-0.1616419329346248,14.06,-0.9909790741956939,0.3798449612403101
FCF_P_qb0of5__PB_qb4of5__C15_FCF_P_DYN_riseq1__v1,-0.15315106717813365,10.62,-0.9905572848560886,0.2702702702702703
ROE_qb0of5__FCF_P_qb1of5__C16_FCF_P_DYN_riseq2__v1,-0.19450269490180816,9.26,-0.9900686349594735,0.29523809523809524
ROE_qb0of5__PB_qb4of5__C8_EPS_DYN_riseq1__v1,-0.21286251429940717,10.72,-0.9891431238900891,0.2765957446808511
ROE_qb0of5__EPS_qb0of5__C7_ROE_DYN_ytdavg_gt_lyavg__v1,-0.09054690128805887,11.91,-0.9877391930762216,0.43555555555555553
ROE_qb2of5__PB_qb4of5__C9_EPS_DYN_riseq2__v1,-0.07959861783515787,15.85,-0.9862791282692477,0.3917525773195876
