strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio
FCF_P_qb0of5__PB_qb0of5__C4_ROE_DYN_qmax8__v0,FCF_P_qb0of5,PB_qb0of5,C4_ROE_DYN_qmax8,v0,0.36379325336805923,11.52,-0.48684601883232115,0.5014925373134328
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,EPS_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v0,0.3392709352681387,16.48,-0.40907987819348246,0.4773218142548596
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v1,EPS_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v1,0.29875290652587694,13.78,-0.39476769398085043,0.5739644970414202
EPS_qb3of5__FCF_P_qb4of5__C18_FCF_P_DYN_qmax8__v1,EPS_qb3of5,FCF_P_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.28768444097464463,8.83,-0.47244723857669624,0.5279187817258884
ROE_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,ROE_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v0,0.28565287944210316,19.45,-0.40554538846309074,0.4492525570416995
FCF_P_qb0of5__PB_qb0of5__C2_ROE_DYN_riseq2__v1,FCF_P_qb0of5,PB_qb0of5,C2_ROE_DYN_riseq2,v1,0.2834172517979465,14.46,-0.6385687096839929,0.527027027027027
FCF_P_qb0of5__PB_qb0of5__C3_ROE_DYN_qmax4__v0,FCF_P_qb0of5,PB_qb0of5,C3_ROE_DYN_qmax4,v0,0.27849418602073683,14.31,-0.5395100195162011,0.5092724679029957
PB_qb0of5__None__C3_ROE_DYN_qmax4__v1,PB_qb0of5,None,C3_ROE_DYN_qmax4,v1,0.27414247889310017,17.18,-0.6204862333458838,0.5253164556962026
FCF_P_qb1of5__PB_qb0of5__C4_ROE_DYN_qmax8__v0,FCF_P_qb1of5,PB_qb0of5,C4_ROE_DYN_qmax8,v0,0.27384145245686264,13.8,-0.3162276995381659,0.2958152958152958
ROE_qb4of5__PB_qb1of5__C9_EPS_DYN_riseq2__v0,ROE_qb4of5,PB_qb1of5,C9_EPS_DYN_riseq2,v0,0.2716100194377531,17.29,-0.4658570876424052,0.4339300937766411
EPS_qb3of5__None__C18_FCF_P_DYN_qmax8__v1,EPS_qb3of5,None,C18_FCF_P_DYN_qmax8,v1,0.26697734865732903,9.13,-0.5749239853574495,0.47953216374269003
EPS_qb3of5__None__C11_EPS_DYN_qmax8__v1,EPS_qb3of5,None,C11_EPS_DYN_qmax8,v1,0.26595761946439467,12.1,-0.34899820167778983,0.5336633663366337
FCF_P_qb2of5__PB_qb1of5__C11_EPS_DYN_qmax8__v0,FCF_P_qb2of5,PB_qb1of5,C11_EPS_DYN_qmax8,v0,0.2655381155150873,9.76,-0.46238854291422227,0.30486685032139577
FCF_P_qb3of5__PB_qb0of5__C3_ROE_DYN_qmax4__v0,FCF_P_qb3of5,PB_qb0of5,C3_ROE_DYN_qmax4,v0,0.26550090158467143,14.64,-0.5356432641111284,0.5315420560747663
FCF_P_qb1of5__PB_qb0of5__C10_EPS_DYN_qmax4__v0,FCF_P_qb1of5,PB_qb0of5,C10_EPS_DYN_qmax4,v0,0.26509458125222474,12.9,-0.3582742128813544,0.36829652996845424
EPS_qb3of5__FCF_P_qb4of5__C10_EPS_DYN_qmax4__v1,EPS_qb3of5,FCF_P_qb4of5,C10_EPS_DYN_qmax4,v1,0.26409751280152594,10.46,-0.3790637960279599,0.5706666666666667
FCF_P_qb3of5__PB_qb0of5__C4_ROE_DYN_qmax8__v0,FCF_P_qb3of5,PB_qb0of5,C4_ROE_DYN_qmax8,v0,0.26322790138967966,18.69,-0.41682501660683935,0.525
EPS_qb0of5__PB_qb0of5__C4_ROE_DYN_qmax8__v0,EPS_qb0of5,PB_qb0of5,C4_ROE_DYN_qmax8,v0,0.26209094040890224,13.01,-0.5914392018179268,0.33884297520661155
EPS_qb3of5__PB_qb1of5__C16_FCF_P_DYN_riseq2__v1,EPS_qb3of5,PB_qb1of5,C16_FCF_P_DYN_riseq2,v1,0.25991262713638696,14.98,-0.5527519427141168,0.5838150289017341
EPS_qb3of5__FCF_P_qb4of5__C11_EPS_DYN_qmax8__v1,EPS_qb3of5,FCF_P_qb4of5,C11_EPS_DYN_qmax8,v1,0.2595612186376892,12.85,-0.4468142233513792,0.5815899581589958
