strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio
FCF_P_qb0of5__PB_qb0of5__C18_FCF_P_DYN_qmax8__v1,FCF_P_qb0of5,PB_qb0of5,C18_FCF_P_DYN_qmax8,v1,0.038583085389050975,210.6,-0.07954844418932827,1.0
FCF_P_qb0of5__PB_qb2of5__C18_FCF_P_DYN_qmax8__v0,FCF_P_qb0of5,PB_qb2of5,C18_FCF_P_DYN_qmax8,v0,-0.0017384404075518889,644.5,-0.09285806016417775,0.2222222222222222
ROE_qb0of5__EPS_qb4of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb0of5,EPS_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.0006470955894446462,410.09,-0.11834240731133117,0.3333333333333333
FCF_P_qb1of5__PB_qb2of5__C18_FCF_P_DYN_qmax8__v1,FCF_P_qb1of5,PB_qb2of5,C18_FCF_P_DYN_qmax8,v1,0.005851663329011103,264.95,-0.1617999756100864,0.3333333333333333
ROE_qb1of5__EPS_qb3of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb1of5,EPS_qb3of5,C18_FCF_P_DYN_qmax8,v1,0.025487505788574172,117.04,-0.21572205589642302,0.7777777777777778
ROE_qb1of5__EPS_qb4of5__C2_ROE_DYN_riseq2__v1,ROE_qb1of5,EPS_qb4of5,C2_ROE_DYN_riseq2,v1,0.0677319075520384,42.61,-0.2284408222472466,0.6666666666666666
ROE_qb1of5__EPS_qb4of5__C3_ROE_DYN_qmax4__v1,ROE_qb1of5,EPS_qb4of5,C3_ROE_DYN_qmax4,v1,0.020574748063814763,90.55,-0.2284408222472467,0.5
ROE_qb1of5__EPS_qb4of5__C7_ROE_DYN_ytdavg_gt_lyavg__v1,ROE_qb1of5,EPS_qb4of5,C7_ROE_DYN_ytdavg_gt_lyavg,v1,0.04520270145161143,46.8,-0.22844082231790985,0.6923076923076923
ROE_qb2of5__EPS_qb0of5__C11_EPS_DYN_qmax8__v0,ROE_qb2of5,EPS_qb0of5,C11_EPS_DYN_qmax8,v0,0.05208576464411263,40.28,-0.23387543555401957,0.6666666666666666
ROE_qb0of5__FCF_P_qb1of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,FCF_P_qb1of5,C11_EPS_DYN_qmax8,v1,-0.012996889485792251,187.69,-0.23647251182093132,0.25
ROE_qb3of5__PB_qb0of5__C18_FCF_P_DYN_qmax8__v0,ROE_qb3of5,PB_qb0of5,C18_FCF_P_DYN_qmax8,v0,0.11311061151346369,23.22,-0.24023434948956057,0.3779527559055118
ROE_qb2of5__EPS_qb0of5__C4_ROE_DYN_qmax8__v1,ROE_qb2of5,EPS_qb0of5,C4_ROE_DYN_qmax8,v1,0.01725677619095367,140.37,-0.24227477963582889,0.8
EPS_qb3of5__PB_qb0of5__C17_FCF_P_DYN_qmax4__v0,EPS_qb3of5,PB_qb0of5,C17_FCF_P_DYN_qmax4,v0,0.10622768367648883,22.12,-0.24774982503190346,0.3997289972899729
ROE_qb0of5__EPS_qb3of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,EPS_qb3of5,C11_EPS_DYN_qmax8,v1,-0.002144378311492834,340.74,-0.24872226369711548,0.6
ROE_qb0of5__PB_qb4of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,PB_qb4of5,C11_EPS_DYN_qmax8,v1,0.0009020709982754394,135.09,-0.251997490195747,0.6666666666666666
FCF_P_qb2of5__PB_qb0of5__C10_EPS_DYN_qmax4__v0,FCF_P_qb2of5,PB_qb0of5,C10_EPS_DYN_qmax4,v0,0.14974079076169855,15.68,-0.25284826800332916,0.2949907235621521
FCF_P_qb2of5__PB_qb0of5__C3_ROE_DYN_qmax4__v0,FCF_P_qb2of5,PB_qb0of5,C3_ROE_DYN_qmax4,v0,0.1485928680841928,15.37,-0.2588562509358274,0.29636533084808947
ROE_qb3of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb3of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v1,0.01061128300298364,196.65,-0.26787293145667335,0.5384615384615384
EPS_qb2of5__PB_qb0of5__C4_ROE_DYN_qmax8__v0,EPS_qb2of5,PB_qb0of5,C4_ROE_DYN_qmax8,v0,0.24692116640473527,13.19,-0.2692317146630646,0.5028312570781427
ROE_qb2of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v0,ROE_qb2of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v0,0.015680320635962808,123.2,-0.27084684852503016,0.4166666666666667
