,0
candidate,PB
label,TW_batch_PB_M
n_strategies,7077
nan_rate_CAGR,0.0
nan_rate_daily_sharpe,0.0
n_suspicious_flagged,2
CAGR_median,0.08912142533663525
CAGR_mean,0.07963729295023941
pct_CAGR_positive,0.8548820121520418
pct_CAGR_negative,0.14511798784795818
pct_CAGR_beat_bench,0.6381234986576233
verdict,偏賺（多數策略CAGR為正）
champion_CAGR,0.36379325336805923
champion_strategy,FCF_P_qb0of5__PB_qb0of5__C4_ROE_DYN_qmax8__v0
champion_strategy_daily_sharpe,11.52
highest_daily_sharpe_value,644.5
highest_daily_sharpe_strategy,FCF_P_qb0of5__PB_qb2of5__C18_FCF_P_DYN_qmax8__v0
highest_daily_sharpe_strategy_CAGR,-0.0017384404075518889
highest_daily_sharpe_strategy_win_ratio,0.2222222222222222
candidate_factor_group_median_CAGR,0.12165007467897293
candidate_factor_group_n,210
better_than_none_C,"C9,C7,C11,C2,C10,C3,C1,C14,C8,C4,C12,C6,C13,C5"
worse_or_equal_C,"None,C20,C19,C15,C16,C17,C18"
