strategy,CAGR,daily_sharpe,max_drawdown,win_ratio
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,0.3392709352681387,16.48,-0.40907987819348246,0.4773218142548596
FCF_P_qb0of5__PS_qb0of5__C4_ROE_DYN_qmax8__v0,0.30531563147412033,13.43,-0.48684601883232115,0.48488664987405544
FCF_P_qb4of5__PS_qb0of5__C3_ROE_DYN_qmax4__v1,0.3052382988291269,12.5,-0.3542252546199042,0.5485232067510548
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v1,0.29875290652587694,13.78,-0.39476769398085043,0.5739644970414202
FCF_P_qb1of5__PS_qb3of5__C4_ROE_DYN_qmax8__v1,0.2929698396982896,13.11,-0.41009840071000536,0.6170212765957447
ROE_qb3of5__PS_qb0of5__C12_EPS_DYN_yoy__v1,0.28966526322395625,13.51,-0.5119743113301352,0.52834008097166
EPS_qb3of5__PS_qb0of5__C3_ROE_DYN_qmax4__v1,0.28912958889798546,11.9,-0.3007115039306826,0.5392491467576792
EPS_qb3of5__FCF_P_qb4of5__C18_FCF_P_DYN_qmax8__v1,0.28768444097464463,8.83,-0.47244723857669624,0.5279187817258884
EPS_qb1of5__PS_qb2of5__C11_EPS_DYN_qmax8__v0,0.28576997008695293,7.09,-0.47713046653257096,0.29930795847750863
ROE_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,0.28565287944210316,19.45,-0.40554538846309074,0.4492525570416995
