strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,EPS_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v0,0.3392709352681387,16.48,-0.40907987819348246,0.4773218142548596
FCF_P_qb0of5__PS_qb0of5__C4_ROE_DYN_qmax8__v0,FCF_P_qb0of5,PS_qb0of5,C4_ROE_DYN_qmax8,v0,0.30531563147412033,13.43,-0.48684601883232115,0.48488664987405544
FCF_P_qb4of5__PS_qb0of5__C3_ROE_DYN_qmax4__v1,FCF_P_qb4of5,PS_qb0of5,C3_ROE_DYN_qmax4,v1,0.3052382988291269,12.5,-0.3542252546199042,0.5485232067510548
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v1,EPS_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v1,0.29875290652587694,13.78,-0.39476769398085043,0.5739644970414202
FCF_P_qb1of5__PS_qb3of5__C4_ROE_DYN_qmax8__v1,FCF_P_qb1of5,PS_qb3of5,C4_ROE_DYN_qmax8,v1,0.2929698396982896,13.11,-0.41009840071000536,0.6170212765957447
ROE_qb3of5__PS_qb0of5__C12_EPS_DYN_yoy__v1,ROE_qb3of5,PS_qb0of5,C12_EPS_DYN_yoy,v1,0.28966526322395625,13.51,-0.5119743113301352,0.52834008097166
EPS_qb3of5__PS_qb0of5__C3_ROE_DYN_qmax4__v1,EPS_qb3of5,PS_qb0of5,C3_ROE_DYN_qmax4,v1,0.28912958889798546,11.9,-0.3007115039306826,0.5392491467576792
EPS_qb3of5__FCF_P_qb4of5__C18_FCF_P_DYN_qmax8__v1,EPS_qb3of5,FCF_P_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.28768444097464463,8.83,-0.47244723857669624,0.5279187817258884
EPS_qb1of5__PS_qb2of5__C11_EPS_DYN_qmax8__v0,EPS_qb1of5,PS_qb2of5,C11_EPS_DYN_qmax8,v0,0.28576997008695293,7.09,-0.47713046653257096,0.29930795847750863
ROE_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,ROE_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v0,0.28565287944210316,19.45,-0.40554538846309074,0.4492525570416995
FCF_P_qb1of5__PS_qb3of5__C4_ROE_DYN_qmax8__v0,FCF_P_qb1of5,PS_qb3of5,C4_ROE_DYN_qmax8,v0,0.2836945536785027,20.93,-0.5363673057171864,0.4963235294117647
EPS_qb3of5__PS_qb0of5__C10_EPS_DYN_qmax4__v1,EPS_qb3of5,PS_qb0of5,C10_EPS_DYN_qmax4,v1,0.28109517036060594,11.79,-0.2941282045664284,0.5389048991354467
ROE_qb3of5__PS_qb0of5__C10_EPS_DYN_qmax4__v1,ROE_qb3of5,PS_qb0of5,C10_EPS_DYN_qmax4,v1,0.2805141789813368,16.66,-0.403543312631107,0.5408805031446541
FCF_P_qb1of5__PS_qb3of5__C1_ROE_DYN_riseq1__v1,FCF_P_qb1of5,PS_qb3of5,C1_ROE_DYN_riseq1,v1,0.27897942985912794,18.55,-0.40117728259488106,0.5457317073170732
FCF_P_qb0of5__PS_qb0of5__C3_ROE_DYN_qmax4__v0,FCF_P_qb0of5,PS_qb0of5,C3_ROE_DYN_qmax4,v0,0.2781615194061573,14.6,-0.48822938878644406,0.48138297872340424
FCF_P_qb0of5__PS_qb0of5__C2_ROE_DYN_riseq2__v0,FCF_P_qb0of5,PS_qb0of5,C2_ROE_DYN_riseq2,v0,0.27705087598676026,15.01,-0.48965273399349063,0.487986743993372
FCF_P_qb0of5__PS_qb0of5__C1_ROE_DYN_riseq1__v0,FCF_P_qb0of5,PS_qb0of5,C1_ROE_DYN_riseq1,v0,0.27379716089144823,15.92,-0.5720387085936682,0.48909657320872274
FCF_P_qb0of5__PS_qb0of5__C7_ROE_DYN_ytdavg_gt_lyavg__v0,FCF_P_qb0of5,PS_qb0of5,C7_ROE_DYN_ytdavg_gt_lyavg,v0,0.270502900228764,16.02,-0.46743868111533193,0.47890818858560796
ROE_qb3of5__PS_qb0of5__C2_ROE_DYN_riseq2__v1,ROE_qb3of5,PS_qb0of5,C2_ROE_DYN_riseq2,v1,0.2684154360822799,16.04,-0.354161957693084,0.5313807531380753
EPS_qb3of5__None__C18_FCF_P_DYN_qmax8__v1,EPS_qb3of5,None,C18_FCF_P_DYN_qmax8,v1,0.26697734865732903,9.13,-0.5749239853574495,0.47953216374269003
