strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio
FCF_P_qb0of5__PS_qb0of5__C18_FCF_P_DYN_qmax8__v1,FCF_P_qb0of5,PS_qb0of5,C18_FCF_P_DYN_qmax8,v1,0.03250382031957533,190.03,-0.08528788610935578,1.0
ROE_qb0of5__EPS_qb4of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb0of5,EPS_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.0006470955894446462,410.09,-0.11834240731133117,0.3333333333333333
FCF_P_qb0of5__PS_qb2of5__C18_FCF_P_DYN_qmax8__v0,FCF_P_qb0of5,PS_qb2of5,C18_FCF_P_DYN_qmax8,v0,-0.004315950407837166,2431.05,-0.12923907888528396,0.0
FCF_P_qb1of5__PS_qb0of5__C18_FCF_P_DYN_qmax8__v0,FCF_P_qb1of5,PS_qb0of5,C18_FCF_P_DYN_qmax8,v0,0.02381708134713101,63.0,-0.20550829898296574,0.025848142164781908
ROE_qb1of5__EPS_qb3of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb1of5,EPS_qb3of5,C18_FCF_P_DYN_qmax8,v1,0.025487505788574172,117.04,-0.21572205589642302,0.7777777777777778
ROE_qb0of5__PS_qb0of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,PS_qb0of5,C11_EPS_DYN_qmax8,v1,0.03523460849659732,114.03,-0.21879705215213308,0.8333333333333334
ROE_qb1of5__EPS_qb4of5__C2_ROE_DYN_riseq2__v1,ROE_qb1of5,EPS_qb4of5,C2_ROE_DYN_riseq2,v1,0.0677319075520384,42.61,-0.2284408222472466,0.6666666666666666
ROE_qb1of5__EPS_qb4of5__C3_ROE_DYN_qmax4__v1,ROE_qb1of5,EPS_qb4of5,C3_ROE_DYN_qmax4,v1,0.020574748063814763,90.55,-0.2284408222472467,0.5
ROE_qb1of5__EPS_qb4of5__C7_ROE_DYN_ytdavg_gt_lyavg__v1,ROE_qb1of5,EPS_qb4of5,C7_ROE_DYN_ytdavg_gt_lyavg,v1,0.04520270145161143,46.8,-0.22844082231790985,0.6923076923076923
ROE_qb2of5__EPS_qb0of5__C11_EPS_DYN_qmax8__v0,ROE_qb2of5,EPS_qb0of5,C11_EPS_DYN_qmax8,v0,0.05208576464411263,40.28,-0.23387543555401957,0.6666666666666666
ROE_qb0of5__FCF_P_qb1of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,FCF_P_qb1of5,C11_EPS_DYN_qmax8,v1,-0.012996889485792251,187.69,-0.23647251182093132,0.25
FCF_P_qb0of5__PS_qb3of5__C18_FCF_P_DYN_qmax8__v1,FCF_P_qb0of5,PS_qb3of5,C18_FCF_P_DYN_qmax8,v1,-0.00983970315196625,717.67,-0.2418769768150243,0.25
ROE_qb2of5__EPS_qb0of5__C4_ROE_DYN_qmax8__v1,ROE_qb2of5,EPS_qb0of5,C4_ROE_DYN_qmax8,v1,0.01725677619095367,140.37,-0.24227477963582889,0.8
ROE_qb0of5__EPS_qb3of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,EPS_qb3of5,C11_EPS_DYN_qmax8,v1,-0.002144378311492834,340.74,-0.24872226369711548,0.6
ROE_qb4of5__PS_qb0of5__C18_FCF_P_DYN_qmax8__v0,ROE_qb4of5,PS_qb0of5,C18_FCF_P_DYN_qmax8,v0,0.0605080421012294,31.4,-0.25422356994085016,0.2844175491679274
ROE_qb4of5__PS_qb0of5__C17_FCF_P_DYN_qmax4__v0,ROE_qb4of5,PS_qb0of5,C17_FCF_P_DYN_qmax4,v0,0.07584294875047037,27.7,-0.2615469885398506,0.3481624758220503
FCF_P_qb0of5__PS_qb1of5__C18_FCF_P_DYN_qmax8__v1,FCF_P_qb0of5,PS_qb1of5,C18_FCF_P_DYN_qmax8,v1,-0.014530117110605478,197.02,-0.26386447545609715,0.3333333333333333
ROE_qb3of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb3of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v1,0.01061128300298364,196.65,-0.26787293145667335,0.5384615384615384
PS_qb0of5__None__C17_FCF_P_DYN_qmax4__v0,PS_qb0of5,None,C17_FCF_P_DYN_qmax4,v0,0.08937233469730677,21.68,-0.2682285649229562,0.43952194518854315
ROE_qb2of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v0,ROE_qb2of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v0,0.015680320635962808,123.2,-0.27084684852503016,0.4166666666666667
