C_kind,mean,median,std,count
C9,0.10730790067864689,0.11632664156244177,0.05502060746339431,337
C7,0.10200684151636574,0.10952417899564582,0.07005900275107545,340
C11,0.10296473785449314,0.10910098478599783,0.07737261889137637,326
C2,0.10046639998517563,0.10710875543834897,0.06182410926270315,339
C8,0.09112549221380557,0.10570883629536798,0.0677680581796698,337
C10,0.10061713928453109,0.10504613724303546,0.06510878040281695,330
C1,0.0916070417397822,0.1031743906838295,0.06118960149648382,340
C14,0.09790447472176626,0.09972144211083966,0.06369585293568086,337
C3,0.09486797768919215,0.09907405299447358,0.0674228092668768,337
C4,0.09814111146881664,0.0967422860445426,0.07835707543123885,327
C12,0.08807932924577534,0.09377447144450024,0.06455748146197157,338
C6,0.08145962128891443,0.08658119848067458,0.06529887042411939,340
C5,0.0800033861766479,0.0864952604977941,0.06586364394570207,340
C13,0.07989176050866799,0.08452564965599219,0.0626882115673759,338
None,0.07308992194048256,0.08193512984220364,0.05355796472427722,340
C20,0.07061585635051092,0.0781852604055634,0.06131010895164943,340
C19,0.06645911384210827,0.07556615809362044,0.0704142557208459,340
C15,0.06248328899958332,0.0706819665886016,0.0646950193059312,340
C16,0.05831555553277376,0.06615179030043461,0.06742035868774936,340
C17,0.030577312566900692,0.03985474832689384,0.06914084348583459,339
C18,0.03257145891900809,0.026017300038181812,0.06285682970197326,333
