strategy,CAGR,daily_sharpe,max_drawdown,win_ratio
EPS_qb0of5__P_IC_qb4of5__None__v1,-0.1738691323575865,11.91,-0.9926001778379219,0.4041095890410959
ROE_qb0of5__P_IC_qb4of5__None__v1,-0.19616516369518244,8.73,-0.9922050779332751,0.3656716417910448
ROE_qb2of5__P_IC_qb4of5__C19_FCF_P_DYN_yoy__v1,-0.1525111116424419,13.63,-0.9911463722563852,0.3548387096774194
ROE_qb0of5__FCF_P_qb1of5__C16_FCF_P_DYN_riseq2__v1,-0.19450269490180816,9.26,-0.9900686349594735,0.29523809523809524
ROE_qb2of5__P_IC_qb4of5__C20_FCF_P_DYN_ytdavg_gt_lyytdavg__v1,-0.13440988674823973,12.95,-0.9881653519178302,0.3783783783783784
ROE_qb0of5__EPS_qb0of5__C7_ROE_DYN_ytdavg_gt_lyavg__v1,-0.09054690128805887,11.91,-0.9877391930762216,0.43555555555555553
ROE_qb0of5__P_IC_qb4of5__C20_FCF_P_DYN_ytdavg_gt_lyytdavg__v1,-0.18027078639901684,12.08,-0.9876070590454307,0.34177215189873417
EPS_qb0of5__FCF_P_qb1of5__C5_ROE_DYN_yoy__v1,-0.1952894533531302,13.58,-0.9857298023046184,0.2698412698412698
ROE_qb0of5__EPS_qb0of5__C17_FCF_P_DYN_qmax4__v1,-0.12703998236460923,12.99,-0.9848701871704749,0.37116564417177916
EPS_qb0of5__FCF_P_qb1of5__C16_FCF_P_DYN_riseq2__v1,-0.18011061806736872,11.0,-0.984236956092325,0.344
