strategy,CAGR,daily_sharpe,max_drawdown,win_ratio
FCF_P_qb0of5__P_IC_qb0of5__C4_ROE_DYN_qmax8__v0,0.3526273474866659,12.59,-0.48684601883232115,0.5046357615894039
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,0.3392709352681387,16.48,-0.40907987819348246,0.4773218142548596
ROE_qb4of5__P_IC_qb1of5__C14_EPS_DYN_ytdavg_gt_lyavg__v0,0.3103175318546576,14.12,-0.3977620350703187,0.41374045801526715
P_IC_qb0of5__None__C3_ROE_DYN_qmax4__v1,0.3011263954889867,16.54,-0.5337312358469185,0.5356576862123613
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v1,0.29875290652587694,13.78,-0.39476769398085043,0.5739644970414202
FCF_P_qb4of5__P_IC_qb0of5__C3_ROE_DYN_qmax4__v1,0.2977275894706497,13.19,-0.45763924000177836,0.532608695652174
EPS_qb2of5__P_IC_qb2of5__C11_EPS_DYN_qmax8__v0,0.2963923052217867,12.14,-0.41321641500250705,0.43115124153498874
EPS_qb4of5__P_IC_qb1of5__C14_EPS_DYN_ytdavg_gt_lyavg__v0,0.2941465949568567,14.68,-0.37901492565267425,0.42914653784219003
EPS_qb3of5__FCF_P_qb4of5__C18_FCF_P_DYN_qmax8__v1,0.28768444097464463,8.83,-0.47244723857669624,0.5279187817258884
ROE_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,0.28565287944210316,19.45,-0.40554538846309074,0.4492525570416995
