strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio
FCF_P_qb0of5__P_IC_qb0of5__C4_ROE_DYN_qmax8__v0,FCF_P_qb0of5,P_IC_qb0of5,C4_ROE_DYN_qmax8,v0,0.3526273474866659,12.59,-0.48684601883232115,0.5046357615894039
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,EPS_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v0,0.3392709352681387,16.48,-0.40907987819348246,0.4773218142548596
ROE_qb4of5__P_IC_qb1of5__C14_EPS_DYN_ytdavg_gt_lyavg__v0,ROE_qb4of5,P_IC_qb1of5,C14_EPS_DYN_ytdavg_gt_lyavg,v0,0.3103175318546576,14.12,-0.3977620350703187,0.41374045801526715
P_IC_qb0of5__None__C3_ROE_DYN_qmax4__v1,P_IC_qb0of5,None,C3_ROE_DYN_qmax4,v1,0.3011263954889867,16.54,-0.5337312358469185,0.5356576862123613
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v1,EPS_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v1,0.29875290652587694,13.78,-0.39476769398085043,0.5739644970414202
FCF_P_qb4of5__P_IC_qb0of5__C3_ROE_DYN_qmax4__v1,FCF_P_qb4of5,P_IC_qb0of5,C3_ROE_DYN_qmax4,v1,0.2977275894706497,13.19,-0.45763924000177836,0.532608695652174
EPS_qb2of5__P_IC_qb2of5__C11_EPS_DYN_qmax8__v0,EPS_qb2of5,P_IC_qb2of5,C11_EPS_DYN_qmax8,v0,0.2963923052217867,12.14,-0.41321641500250705,0.43115124153498874
EPS_qb4of5__P_IC_qb1of5__C14_EPS_DYN_ytdavg_gt_lyavg__v0,EPS_qb4of5,P_IC_qb1of5,C14_EPS_DYN_ytdavg_gt_lyavg,v0,0.2941465949568567,14.68,-0.37901492565267425,0.42914653784219003
EPS_qb3of5__FCF_P_qb4of5__C18_FCF_P_DYN_qmax8__v1,EPS_qb3of5,FCF_P_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.28768444097464463,8.83,-0.47244723857669624,0.5279187817258884
ROE_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,ROE_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v0,0.28565287944210316,19.45,-0.40554538846309074,0.4492525570416995
ROE_qb4of5__P_IC_qb1of5__C15_FCF_P_DYN_riseq1__v0,ROE_qb4of5,P_IC_qb1of5,C15_FCF_P_DYN_riseq1,v0,0.2856091878012661,19.25,-0.4536869891354287,0.47592385218365063
ROE_qb4of5__P_IC_qb1of5__C9_EPS_DYN_riseq2__v0,ROE_qb4of5,P_IC_qb1of5,C9_EPS_DYN_riseq2,v0,0.28368172140412806,13.75,-0.4318685366608759,0.4345730027548209
FCF_P_qb3of5__P_IC_qb0of5__C3_ROE_DYN_qmax4__v0,FCF_P_qb3of5,P_IC_qb0of5,C3_ROE_DYN_qmax4,v0,0.28329504879757117,14.16,-0.3770634893993461,0.5231416549789621
ROE_qb4of5__P_IC_qb1of5__C12_EPS_DYN_yoy__v0,ROE_qb4of5,P_IC_qb1of5,C12_EPS_DYN_yoy,v0,0.27667093317967306,14.89,-0.6021582902553559,0.4289897510980966
FCF_P_qb0of5__P_IC_qb0of5__C3_ROE_DYN_qmax4__v0,FCF_P_qb0of5,P_IC_qb0of5,C3_ROE_DYN_qmax4,v0,0.27558038541151064,14.71,-0.5125170658196765,0.5029013539651838
EPS_qb4of5__P_IC_qb1of5__C9_EPS_DYN_riseq2__v0,EPS_qb4of5,P_IC_qb1of5,C9_EPS_DYN_riseq2,v0,0.2702958862881317,14.92,-0.33092418764596343,0.45670391061452514
FCF_P_qb1of5__P_IC_qb0of5__C3_ROE_DYN_qmax4__v0,FCF_P_qb1of5,P_IC_qb0of5,C3_ROE_DYN_qmax4,v0,0.2687112383292467,16.93,-0.43966549621936035,0.31020812685827553
EPS_qb4of5__P_IC_qb1of5__C15_FCF_P_DYN_riseq1__v0,EPS_qb4of5,P_IC_qb1of5,C15_FCF_P_DYN_riseq1,v0,0.2681893618615627,21.82,-0.47312051793940757,0.503727369542066
ROE_qb4of5__P_IC_qb1of5__C11_EPS_DYN_qmax8__v0,ROE_qb4of5,P_IC_qb1of5,C11_EPS_DYN_qmax8,v0,0.26801396414493106,13.51,-0.531371776875041,0.4621771217712177
EPS_qb3of5__None__C18_FCF_P_DYN_qmax8__v1,EPS_qb3of5,None,C18_FCF_P_DYN_qmax8,v1,0.26697734865732903,9.13,-0.5749239853574495,0.47953216374269003
