strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio
FCF_P_qb0of5__P_IC_qb3of5__C18_FCF_P_DYN_qmax8__v1,FCF_P_qb0of5,P_IC_qb3of5,C18_FCF_P_DYN_qmax8,v1,-0.015120984563874007,534.9,-0.36118250596774104,0.2222222222222222
EPS_qb2of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v1,EPS_qb2of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v1,-0.011125985841000663,522.47,-0.30812646105956465,0.25
EPS_qb4of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v1,EPS_qb4of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v1,0.0048268635287462835,417.83,-0.29178418372953385,0.375
ROE_qb0of5__EPS_qb4of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb0of5,EPS_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.0006470955894446462,410.09,-0.11834240731133117,0.3333333333333333
ROE_qb0of5__EPS_qb1of5__C3_ROE_DYN_qmax4__v1,ROE_qb0of5,EPS_qb1of5,C3_ROE_DYN_qmax4,v1,-0.0032407537278572596,393.18,-0.29317401982129476,0.3333333333333333
ROE_qb2of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb2of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v1,-0.01602149165649802,388.7,-0.35202931244940183,0.0
FCF_P_qb0of5__P_IC_qb3of5__C18_FCF_P_DYN_qmax8__v0,FCF_P_qb0of5,P_IC_qb3of5,C18_FCF_P_DYN_qmax8,v0,-0.016308849185832308,369.41,-0.4318552211235922,0.23529411764705882
FCF_P_qb0of5__P_IC_qb4of5__C17_FCF_P_DYN_qmax4__v1,FCF_P_qb0of5,P_IC_qb4of5,C17_FCF_P_DYN_qmax4,v1,-0.0002444217742020305,362.95,-0.43174935947355186,0.3333333333333333
ROE_qb0of5__EPS_qb3of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,EPS_qb3of5,C11_EPS_DYN_qmax8,v1,-0.002144378311492834,340.74,-0.24872226369711548,0.6
ROE_qb0of5__EPS_qb3of5__C17_FCF_P_DYN_qmax4__v1,ROE_qb0of5,EPS_qb3of5,C17_FCF_P_DYN_qmax4,v1,0.007076522808606933,339.15,-0.46347885339278494,0.5714285714285714
ROE_qb1of5__EPS_qb3of5__C4_ROE_DYN_qmax8__v1,ROE_qb1of5,EPS_qb3of5,C4_ROE_DYN_qmax8,v1,0.01546611817797583,333.5,-0.2928084737634039,0.75
ROE_qb4of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb4of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v1,0.0022012844414029953,322.81,-0.29178418372953385,0.375
FCF_P_qb0of5__P_IC_qb4of5__C18_FCF_P_DYN_qmax8__v1,FCF_P_qb0of5,P_IC_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.0017519183957090956,316.73,-0.3631508419715891,0.2857142857142857
ROE_qb3of5__EPS_qb0of5__C7_ROE_DYN_ytdavg_gt_lyavg__v1,ROE_qb3of5,EPS_qb0of5,C7_ROE_DYN_ytdavg_gt_lyavg,v1,0.01317207966862477,312.52,-0.38885662121548425,0.4
ROE_qb0of5__P_IC_qb2of5__C4_ROE_DYN_qmax8__v1,ROE_qb0of5,P_IC_qb2of5,C4_ROE_DYN_qmax8,v1,0.008134930500537596,296.35,-0.2946236943768781,0.3333333333333333
ROE_qb3of5__EPS_qb0of5__C3_ROE_DYN_qmax4__v1,ROE_qb3of5,EPS_qb0of5,C3_ROE_DYN_qmax4,v1,0.012408072994003483,295.55,-0.38885662121548425,0.4
ROE_qb0of5__P_IC_qb2of5__C3_ROE_DYN_qmax4__v1,ROE_qb0of5,P_IC_qb2of5,C3_ROE_DYN_qmax4,v1,-0.0018921957099508058,293.08,-0.3131901503670764,0.2
ROE_qb3of5__EPS_qb0of5__C6_ROE_DYN_ytdavg_gt_lyytdavg__v1,ROE_qb3of5,EPS_qb0of5,C6_ROE_DYN_ytdavg_gt_lyytdavg,v1,0.01621582398831234,279.16,-0.32708487158753663,0.5
FCF_P_qb0of5__P_IC_qb2of5__C18_FCF_P_DYN_qmax8__v0,FCF_P_qb0of5,P_IC_qb2of5,C18_FCF_P_DYN_qmax8,v0,0.00032888977866307734,277.96,-0.23051337188372067,0.25
ROE_qb0of5__EPS_qb1of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,EPS_qb1of5,C11_EPS_DYN_qmax8,v1,-0.006543806532475105,257.04,-0.47082098066414624,0.6666666666666666
