strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio
ROE_qb0of5__EPS_qb4of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb0of5,EPS_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.0006470955894446462,410.09,-0.11834240731133117,0.3333333333333333
ROE_qb0of5__P_IC_qb0of5__C4_ROE_DYN_qmax8__v1,ROE_qb0of5,P_IC_qb0of5,C4_ROE_DYN_qmax8,v1,0.0730425270450048,51.17,-0.19408930536059832,0.3333333333333333
ROE_qb1of5__EPS_qb3of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb1of5,EPS_qb3of5,C18_FCF_P_DYN_qmax8,v1,0.025487505788574172,117.04,-0.21572205589642302,0.7777777777777778
ROE_qb3of5__P_IC_qb0of5__C18_FCF_P_DYN_qmax8__v0,ROE_qb3of5,P_IC_qb0of5,C18_FCF_P_DYN_qmax8,v0,0.09857106643386349,24.19,-0.22259252489659986,0.39918533604887985
ROE_qb1of5__EPS_qb4of5__C2_ROE_DYN_riseq2__v1,ROE_qb1of5,EPS_qb4of5,C2_ROE_DYN_riseq2,v1,0.0677319075520384,42.61,-0.2284408222472466,0.6666666666666666
ROE_qb1of5__EPS_qb4of5__C3_ROE_DYN_qmax4__v1,ROE_qb1of5,EPS_qb4of5,C3_ROE_DYN_qmax4,v1,0.020574748063814763,90.55,-0.2284408222472467,0.5
ROE_qb1of5__EPS_qb4of5__C7_ROE_DYN_ytdavg_gt_lyavg__v1,ROE_qb1of5,EPS_qb4of5,C7_ROE_DYN_ytdavg_gt_lyavg,v1,0.04520270145161143,46.8,-0.22844082231790985,0.6923076923076923
FCF_P_qb0of5__P_IC_qb2of5__C18_FCF_P_DYN_qmax8__v0,FCF_P_qb0of5,P_IC_qb2of5,C18_FCF_P_DYN_qmax8,v0,0.00032888977866307734,277.96,-0.23051337188372067,0.25
ROE_qb2of5__EPS_qb0of5__C11_EPS_DYN_qmax8__v0,ROE_qb2of5,EPS_qb0of5,C11_EPS_DYN_qmax8,v0,0.05208576464411263,40.28,-0.23387543555401957,0.6666666666666666
ROE_qb0of5__FCF_P_qb1of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,FCF_P_qb1of5,C11_EPS_DYN_qmax8,v1,-0.012996889485792251,187.69,-0.23647251182093132,0.25
ROE_qb2of5__EPS_qb0of5__C4_ROE_DYN_qmax8__v1,ROE_qb2of5,EPS_qb0of5,C4_ROE_DYN_qmax8,v1,0.01725677619095367,140.37,-0.24227477963582889,0.8
ROE_qb0of5__EPS_qb3of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,EPS_qb3of5,C11_EPS_DYN_qmax8,v1,-0.002144378311492834,340.74,-0.24872226369711548,0.6
ROE_qb0of5__P_IC_qb4of5__C11_EPS_DYN_qmax8__v1,ROE_qb0of5,P_IC_qb4of5,C11_EPS_DYN_qmax8,v1,0.0009020709982754394,135.09,-0.251997490195747,0.6666666666666666
ROE_qb0of5__P_IC_qb4of5__C10_EPS_DYN_qmax4__v1,ROE_qb0of5,P_IC_qb4of5,C10_EPS_DYN_qmax4,v1,-0.0039126879572685125,135.02,-0.25199749019574724,0.5
ROE_qb3of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v1,ROE_qb3of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v1,0.01061128300298364,196.65,-0.26787293145667335,0.5384615384615384
FCF_P_qb0of5__P_IC_qb0of5__C18_FCF_P_DYN_qmax8__v1,FCF_P_qb0of5,P_IC_qb0of5,C18_FCF_P_DYN_qmax8,v1,0.018405371059532438,176.06,-0.2695924673135178,0.6666666666666666
EPS_qb3of5__P_IC_qb0of5__C17_FCF_P_DYN_qmax4__v0,EPS_qb3of5,P_IC_qb0of5,C17_FCF_P_DYN_qmax4,v0,0.10146343728112273,22.41,-0.2708422245273292,0.4226552984165652
ROE_qb2of5__FCF_P_qb0of5__C18_FCF_P_DYN_qmax8__v0,ROE_qb2of5,FCF_P_qb0of5,C18_FCF_P_DYN_qmax8,v0,0.015680320635962808,123.2,-0.27084684852503016,0.4166666666666667
ROE_qb1of5__EPS_qb4of5__C4_ROE_DYN_qmax8__v0,ROE_qb1of5,EPS_qb4of5,C4_ROE_DYN_qmax8,v0,0.018239217426405663,82.24,-0.27239381341168434,0.2727272727272727
EPS_qb3of5__P_IC_qb0of5__C18_FCF_P_DYN_qmax8__v0,EPS_qb3of5,P_IC_qb0of5,C18_FCF_P_DYN_qmax8,v0,0.10722500951606584,21.36,-0.27377875871475643,0.3712686567164179
