,0
candidate,P_IC
label,TW_batch_P_IC_M
n_strategies,7077
nan_rate_CAGR,0.0
nan_rate_daily_sharpe,0.0
n_suspicious_flagged,1
CAGR_median,0.09063116008069727
CAGR_mean,0.08106226300441775
pct_CAGR_positive,0.8567189487070793
pct_CAGR_negative,0.14328105129292074
pct_CAGR_beat_bench,0.6460364561254769
verdict,偏賺（多數策略CAGR為正）
champion_CAGR,0.3526273474866659
champion_strategy,FCF_P_qb0of5__P_IC_qb0of5__C4_ROE_DYN_qmax8__v0
champion_strategy_daily_sharpe,12.59
highest_daily_sharpe_value,534.9
highest_daily_sharpe_strategy,FCF_P_qb0of5__P_IC_qb3of5__C18_FCF_P_DYN_qmax8__v1
highest_daily_sharpe_strategy_CAGR,-0.015120984563874007
highest_daily_sharpe_strategy_win_ratio,0.2222222222222222
candidate_factor_group_median_CAGR,0.12049031134063293
candidate_factor_group_n,210
better_than_none_C,"C9,C11,C7,C2,C10,C8,C4,C1,C14,C3,C12,C5,C6,C13"
worse_or_equal_C,"None,C20,C19,C15,C16,C17,C18"
