strategy,CAGR,daily_sharpe,max_drawdown,win_ratio
FCF_P_qb1of5__ROIC_qb0of5__C16_FCF_P_DYN_riseq2__v1,-0.19724296982356293,9.43,-0.9916255978331608,0.330188679245283
EPS_qb0of5__FCF_P_qb1of5__C5_ROE_DYN_yoy__v1,-0.1952894533531302,13.58,-0.9857298023046184,0.2698412698412698
ROE_qb0of5__FCF_P_qb1of5__C16_FCF_P_DYN_riseq2__v1,-0.19450269490180816,9.26,-0.9900686349594735,0.29523809523809524
EPS_qb0of5__FCF_P_qb1of5__C16_FCF_P_DYN_riseq2__v1,-0.18011061806736872,11.0,-0.984236956092325,0.344
ROE_qb0of5__FCF_P_qb1of5__C12_EPS_DYN_yoy__v1,-0.17993796871934742,13.81,-0.9799097955363248,0.34782608695652173
EPS_qb0of5__FCF_P_qb1of5__C12_EPS_DYN_yoy__v1,-0.1790642874420939,13.81,-0.9799960561243404,0.28205128205128205
ROE_qb0of5__FCF_P_qb1of5__C2_ROE_DYN_riseq2__v1,-0.17693788363846996,12.51,-0.9805248379670067,0.2413793103448276
ROE_qb0of5__FCF_P_qb1of5__C5_ROE_DYN_yoy__v1,-0.16982463143416926,14.29,-0.9746735784400437,0.30434782608695654
ROE_qb0of5__FCF_P_qb1of5__C20_FCF_P_DYN_ytdavg_gt_lyytdavg__v1,-0.16965039061738318,16.18,-0.976028743732836,0.3050847457627119
EPS_qb0of5__FCF_P_qb1of5__C2_ROE_DYN_riseq2__v1,-0.16887152933624994,11.6,-0.9790593587364297,0.2926829268292683
