strategy,CAGR,daily_sharpe,max_drawdown,win_ratio
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,0.3392709352681387,16.48,-0.40907987819348246,0.4773218142548596
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v1,0.29875290652587694,13.78,-0.39476769398085043,0.5739644970414202
FCF_P_qb1of5__ROIC_qb4of5__C4_ROE_DYN_qmax8__v0,0.29813274757309327,18.37,-0.39890695068660054,0.4645110410094637
EPS_qb3of5__FCF_P_qb4of5__C18_FCF_P_DYN_qmax8__v1,0.28768444097464463,8.83,-0.47244723857669624,0.5279187817258884
EPS_qb1of5__ROIC_qb3of5__C10_EPS_DYN_qmax4__v1,0.28670330194326255,24.16,-0.42596558561663467,0.7142857142857143
ROE_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,0.28565287944210316,19.45,-0.40554538846309074,0.4492525570416995
FCF_P_qb1of5__ROIC_qb4of5__C4_ROE_DYN_qmax8__v1,0.2762598441754487,13.56,-0.3852435802986418,0.547945205479452
EPS_qb1of5__ROIC_qb3of5__C11_EPS_DYN_qmax8__v1,0.2728104253312924,27.77,-0.42596558561663467,0.6363636363636364
EPS_qb3of5__None__C18_FCF_P_DYN_qmax8__v1,0.26697734865732903,9.13,-0.5749239853574495,0.47953216374269003
EPS_qb3of5__None__C11_EPS_DYN_qmax8__v1,0.26595761946439467,12.1,-0.34899820167778983,0.5336633663366337
