strategy,CAGR,daily_sharpe,max_drawdown,win_ratio
ROE_qb2of5__ROIC_qb0of5__None__v1,0.015504845061291572,985.96,-0.13771844029255387,1.0
ROE_qb2of5__ROIC_qb0of5__C3_ROE_DYN_qmax4__v1,0.015504845061291572,985.96,-0.13771844029255387,1.0
ROE_qb2of5__ROIC_qb0of5__C4_ROE_DYN_qmax8__v1,0.015504845061291572,985.96,-0.13771844029255387,1.0
ROE_qb2of5__ROIC_qb0of5__C10_EPS_DYN_qmax4__v1,0.015504845061291572,985.96,-0.13771844029255387,1.0
ROE_qb2of5__ROIC_qb0of5__C11_EPS_DYN_qmax8__v1,0.015504845061291572,985.96,-0.13771844029255387,1.0
ROE_qb2of5__ROIC_qb0of5__C17_FCF_P_DYN_qmax4__v1,0.015504845061291572,985.96,-0.13771844029255387,1.0
ROE_qb4of5__EPS_qb1of5__C10_EPS_DYN_qmax4__v1,0.20984929859362134,23.91,-0.31829212773960036,1.0
EPS_qb0of5__ROIC_qb4of5__C18_FCF_P_DYN_qmax8__v1,0.024881272959921263,129.09,-0.3404864091559373,1.0
EPS_qb0of5__ROIC_qb4of5__C20_FCF_P_DYN_ytdavg_gt_lyytdavg__v1,0.025369878239269728,128.19,-0.3404864091559373,1.0
EPS_qb2of5__ROIC_qb0of5__C3_ROE_DYN_qmax4__v1,0.015504845061291572,985.96,-0.13771844029255387,1.0
EPS_qb2of5__ROIC_qb0of5__C4_ROE_DYN_qmax8__v1,0.015504845061291572,985.96,-0.13771844029255387,1.0
