strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio
ROE_qb4of5__ROIC_qb0of5__C10_EPS_DYN_qmax4__v0,ROE_qb4of5,ROIC_qb0of5,C10_EPS_DYN_qmax4,v0,-0.0005985105874308783,9550.91,-0.01499263418676089,0.0
ROE_qb2of5__ROIC_qb0of5__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,ROE_qb2of5,ROIC_qb0of5,C6_ROE_DYN_ytdavg_gt_lyytdavg,v0,-0.0007253057656265716,7746.21,-0.01742883638809445,0.0
ROE_qb2of5__ROIC_qb0of5__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,ROE_qb2of5,ROIC_qb0of5,C13_EPS_DYN_ytdavg_gt_lyytdavg,v0,-0.0007253057656265716,7746.21,-0.01742883638809445,0.0
ROE_qb1of5__ROIC_qb4of5__C8_EPS_DYN_riseq1__v0,ROE_qb1of5,ROIC_qb4of5,C8_EPS_DYN_riseq1,v0,-0.0006787725507447773,6286.23,-0.01742883638809456,0.0
ROE_qb1of5__ROIC_qb3of5__None__v0,ROE_qb1of5,ROIC_qb3of5,None,v0,-0.0006787725507447773,6286.23,-0.01742883638809456,0.0
ROE_qb1of5__ROIC_qb3of5__C8_EPS_DYN_riseq1__v0,ROE_qb1of5,ROIC_qb3of5,C8_EPS_DYN_riseq1,v0,-0.0006787725507447773,6286.23,-0.01742883638809456,0.0
ROE_qb1of5__ROIC_qb4of5__C9_EPS_DYN_riseq2__v0,ROE_qb1of5,ROIC_qb4of5,C9_EPS_DYN_riseq2,v0,-0.0006965900130053715,6216.24,-0.01742883638809445,0.0
ROE_qb1of5__ROIC_qb4of5__C3_ROE_DYN_qmax4__v0,ROE_qb1of5,ROIC_qb4of5,C3_ROE_DYN_qmax4,v0,-0.0006965900130053715,6216.24,-0.01742883638809478,0.0
ROE_qb0of5__ROIC_qb4of5__C11_EPS_DYN_qmax8__v0,ROE_qb0of5,ROIC_qb4of5,C11_EPS_DYN_qmax8,v0,-0.0007538268820473926,5449.9,-0.017428836388094338,0.0
ROE_qb0of5__ROIC_qb4of5__C4_ROE_DYN_qmax8__v0,ROE_qb0of5,ROIC_qb4of5,C4_ROE_DYN_qmax8,v0,-0.0007538268820473926,5449.9,-0.017428836388094893,0.0
ROE_qb0of5__ROIC_qb4of5__C17_FCF_P_DYN_qmax4__v0,ROE_qb0of5,ROIC_qb4of5,C17_FCF_P_DYN_qmax4,v0,-0.0007538268820473926,5449.9,-0.017428836388094893,0.0
ROE_qb0of5__ROIC_qb4of5__C8_EPS_DYN_riseq1__v0,ROE_qb0of5,ROIC_qb4of5,C8_EPS_DYN_riseq1,v0,-0.0007538268820473926,5449.9,-0.017428836388094338,0.0
ROE_qb0of5__ROIC_qb4of5__C9_EPS_DYN_riseq2__v0,ROE_qb0of5,ROIC_qb4of5,C9_EPS_DYN_riseq2,v0,-0.0007538268820473926,5449.9,-0.017428836388094338,0.0
ROE_qb0of5__ROIC_qb4of5__C10_EPS_DYN_qmax4__v0,ROE_qb0of5,ROIC_qb4of5,C10_EPS_DYN_qmax4,v0,-0.0007538268820473926,5449.9,-0.017428836388094338,0.0
ROE_qb0of5__ROIC_qb4of5__C3_ROE_DYN_qmax4__v0,ROE_qb0of5,ROIC_qb4of5,C3_ROE_DYN_qmax4,v0,-0.0007538268820473926,5449.9,-0.017428836388094893,0.0
ROE_qb0of5__ROIC_qb4of5__C14_EPS_DYN_ytdavg_gt_lyavg__v0,ROE_qb0of5,ROIC_qb4of5,C14_EPS_DYN_ytdavg_gt_lyavg,v0,-0.0007538268820473926,5449.9,-0.017428836388094338,0.0
ROE_qb0of5__ROIC_qb4of5__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,ROE_qb0of5,ROIC_qb4of5,C13_EPS_DYN_ytdavg_gt_lyytdavg,v0,-0.0007538268820473926,5449.9,-0.017428836388094893,0.0
ROE_qb0of5__ROIC_qb4of5__C12_EPS_DYN_yoy__v0,ROE_qb0of5,ROIC_qb4of5,C12_EPS_DYN_yoy,v0,-0.0007538268820473926,5449.9,-0.017428836388094893,0.0
ROE_qb3of5__ROIC_qb0of5__C2_ROE_DYN_riseq2__v0,ROE_qb3of5,ROIC_qb0of5,C2_ROE_DYN_riseq2,v0,-0.0009539272274402544,4940.2,-0.023247355850044005,0.0
ROE_qb3of5__ROIC_qb0of5__C9_EPS_DYN_riseq2__v0,ROE_qb3of5,ROIC_qb0of5,C9_EPS_DYN_riseq2,v0,-0.0009539272274402544,4940.2,-0.023247355850044005,0.0
