,0
candidate,ROIC
label,TW_batch_ROIC_M
n_strategies,6789
nan_rate_CAGR,0.0
nan_rate_daily_sharpe,0.0
n_suspicious_flagged,11
CAGR_median,0.08180739601912523
CAGR_mean,0.07375648281241574
pct_CAGR_positive,0.853144793047577
pct_CAGR_negative,0.14685520695242305
pct_CAGR_beat_bench,0.6067167476800707
verdict,偏賺（多數策略CAGR為正）
champion_CAGR,0.3392709352681387
champion_strategy,EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0
champion_strategy_daily_sharpe,16.48
highest_daily_sharpe_value,9550.91
highest_daily_sharpe_strategy,ROE_qb4of5__ROIC_qb0of5__C10_EPS_DYN_qmax4__v0
highest_daily_sharpe_strategy_CAGR,-0.0005985105874308783
highest_daily_sharpe_strategy_win_ratio,0.0
candidate_factor_group_median_CAGR,0.10350235374594019
candidate_factor_group_n,210
better_than_none_C,"C7,C9,C10,C1,C2,C8,C14,C11,C4,C3,C12,C5"
worse_or_equal_C,"None,C13,C6,C20,C19,C15,C16,C17,C18"
