strategy,候選因子批,CAGR,daily_sharpe,max_drawdown,win_ratio,交易次數
FCF_P_qb2of5__OCF_E_qb0of5__C8_EPS_DYN_riseq1__v1,OCF_E,0.06406172922411324,82.24,-0.6073102320028292,0.42792792792792794,223
ROE_qb1of5__PB_qb0of5__C4_ROE_DYN_qmax8__v1,PB,0.06651686924120104,75.44,-0.4346641957710925,0.5116279069767442,43
FCF_P_qb3of5__PB_qb3of5__C2_ROE_DYN_riseq2__v1,PB,0.06365066471239,75.14,-0.6431872021778978,0.4926829268292683,412
FCF_P_qb1of5__PB_qb2of5__C20_FCF_P_DYN_ytdavg_gt_lyytdavg__v1,PB,0.06400288909358687,74.47,-0.6760994128731639,0.47720364741641336,329
ROE_qb0of5__OCF_E_qb4of5__C9_EPS_DYN_riseq2__v1,OCF_E,0.06890912218432832,74.27,-0.3880599701229279,0.5555555555555556,36
ROE_qb4of5__PB_qb0of5__C10_EPS_DYN_qmax4__v1,PB,0.06860264626843815,69.9,-0.5784900780516292,0.5166666666666667,60
EPS_qb1of5__P_IC_qb0of5__C18_FCF_P_DYN_qmax8__v1,P_IC,0.06343155855151505,69.2,-0.5228226682984507,0.5247524752475248,104
FCF_P_qb2of5__ROIC_qb2of5__C8_EPS_DYN_riseq1__v1,ROIC,0.07464615162844712,68.69,-0.5500714078837937,0.45871559633027525,330
FCF_P_qb2of5__PB_qb4of5__C4_ROE_DYN_qmax8__v1,PB,0.0699238885792084,67.57,-0.6098134884667271,0.48344370860927155,154
EPS_qb4of5__PB_qb1of5__C20_FCF_P_DYN_ytdavg_gt_lyytdavg__v1,PB,0.07294615158378082,67.24,-0.5228661047706304,0.5454545454545454,147
EPS_qb0of5__EV_EBITDA_qb0of5__C14_EPS_DYN_ytdavg_gt_lyavg__v1,EV_EBITDA,0.06701908512759513,66.17,-0.5819855676305306,0.5572519083969466,133
EPS_qb0of5__P_IC_qb0of5__C9_EPS_DYN_riseq2__v1,P_IC,0.09961256637516613,65.96,-0.48356113390443645,0.5609756097560976,41
FCF_P_qb2of5__ROIC_qb2of5__C1_ROE_DYN_riseq1__v1,ROIC,0.07449627883534204,65.03,-0.5636103243812196,0.4658753709198813,339
ROE_qb0of5__P_IC_qb0of5__C9_EPS_DYN_riseq2__v1,P_IC,0.08037257943787357,64.63,-0.7067002681582586,0.5245901639344263,61
FCF_P_qb1of5__None__C16_FCF_P_DYN_riseq2__v1,EV_EBITDA,0.10143041033245215,64.36,-0.6619488969613111,0.430939226519337,1114
EPS_qb3of5__FCF_P_qb1of5__C16_FCF_P_DYN_riseq2__v1,EV_EBITDA,0.09963214044172974,64.0,-0.7318511234580107,0.48523206751054854,243
FCF_P_qb1of5__CROIC_qb0of5__C19_FCF_P_DYN_yoy__v0,CROIC,0.09770863185305734,63.54,-0.6563134917203886,0.4423076923076923,528
FCF_P_qb1of5__P_IC_qb4of5__C20_FCF_P_DYN_ytdavg_gt_lyytdavg__v0,P_IC,0.07884817665879029,62.04,-0.5696471036019273,0.43776824034334766,2144
FCF_P_qb1of5__ROIC_qb3of5__C16_FCF_P_DYN_riseq2__v1,ROIC,0.08451325492756911,62.04,-0.6251185915098082,0.468,256
FCF_P_qb1of5__FCF_OI_qb0of5__C4_ROE_DYN_qmax8__v1,FCF_OI,0.09404447505409741,61.82,-0.5523737240519728,0.5405405405405406,38
