候選因子批,strategy,CAGR,daily_sharpe,max_drawdown,win_ratio
EV_S,FCF_P_qb4of5__EV_S_qb0of5__C10_EPS_DYN_qmax4__v1,0.3668296640235882,10.68,-0.3775658679752343,0.5676855895196506
PB,FCF_P_qb0of5__PB_qb0of5__C4_ROE_DYN_qmax8__v0,0.36379325336805923,11.52,-0.48684601883232115,0.5014925373134328
P_IC,FCF_P_qb0of5__P_IC_qb0of5__C4_ROE_DYN_qmax8__v0,0.3526273474866659,12.59,-0.48684601883232115,0.5046357615894039
EV_EBITDA,EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,0.3392709352681387,16.48,-0.40907987819348246,0.4773218142548596
CROIC,EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,0.3392709352681387,16.48,-0.40907987819348246,0.4773218142548596
FCF_OI,EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,0.3392709352681387,16.48,-0.40907987819348246,0.4773218142548596
ROIC,EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,0.3392709352681387,16.48,-0.40907987819348246,0.4773218142548596
PS,EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,0.3392709352681387,16.48,-0.40907987819348246,0.4773218142548596
OCF_E,EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,0.3392709352681387,16.48,-0.40907987819348246,0.4773218142548596
MOM,EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,0.3392709352681387,16.48,-0.40907987819348246,0.4773218142548596
