排名,候選因子,淨貢獻,裁決標籤,贏大盤比例,CAGR中位數,daily_sharpe中位數,冠軍CAGR
1,P_IC,0.009481766984385631,有用,0.6460364561254769,0.09063116008069727,24.17,0.3526273474866659
2,EV_S,0.006339700327962938,有用,0.6532372066723212,0.08983415161075736,24.465,0.3668296640235882
3,PB,0.005287625130850904,有用,0.6381234986576233,0.08912142533663525,24.26,0.36379325336805923
4,PS,0.004538535886856487,有用,0.6474992935857586,0.08842644099745478,24.72,0.3392709352681387
5,OCF_E,0.0009490769441002911,邊際,0.6531130876747141,0.08706130826044944,23.83,0.3392709352681387
6,EV_EBITDA,-0.0017812860267303332,微負/沒用,0.6201725845239779,0.08553728560863982,24.99,0.3392709352681387
7,CROIC,-0.006436793814636577,拖累,0.6183602771362586,0.08341051413880152,24.64,0.3392709352681387
8,FCF_OI,-0.007431546432364211,拖累,0.6178262717868783,0.0827562498397767,24.75,0.3392709352681387
9,ROIC,-0.010258468199409121,拖累,0.6067167476800707,0.08180739601912523,24.95,0.3392709352681387
10,MOM,-0.09539478099670862,拖累,0.5762550559124435,0.07837208621699787,26.43,0.3392709352681387
