candidate,strategy,return_table_exists,n_rows
EV_EBITDA,ROE_qb4of5__EPS_qb3of5__C8_EPS_DYN_riseq1__v1,True,23
EV_EBITDA,ROE_qb1of5__EV_EBITDA_qb4of5__C6_ROE_DYN_ytdavg_gt_lyytdavg__v1,True,24
EV_EBITDA,ROE_qb4of5__EPS_qb3of5__C4_ROE_DYN_qmax8__v0,True,25
EV_EBITDA,EPS_qb4of5__FCF_P_qb0of5__C2_ROE_DYN_riseq2__v1,True,23
EV_EBITDA,ROE_qb0of5__FCF_P_qb3of5__C20_FCF_P_DYN_ytdavg_gt_lyytdavg__v1,True,22
EV_S,EPS_qb4of5__FCF_P_qb0of5__C16_FCF_P_DYN_riseq2__v0,True,24
EV_S,ROE_qb4of5__FCF_P_qb3of5__C15_FCF_P_DYN_riseq1__v0,True,23
EV_S,EPS_qb4of5__FCF_P_qb3of5__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,True,24
EV_S,EPS_qb0of5__EV_S_qb3of5__C9_EPS_DYN_riseq2__v0,True,24
EV_S,EPS_qb1of5__FCF_P_qb4of5__C1_ROE_DYN_riseq1__v0,True,24
CROIC,EPS_qb3of5__CROIC_qb1of5__C7_ROE_DYN_ytdavg_gt_lyavg__v0,True,26
CROIC,FCF_P_qb2of5__None__C17_FCF_P_DYN_qmax4__v0,True,25
CROIC,FCF_P_qb2of5__None__C1_ROE_DYN_riseq1__v1,True,21
CROIC,EPS_qb1of5__CROIC_qb3of5__C15_FCF_P_DYN_riseq1__v0,True,24
CROIC,EPS_qb0of5__CROIC_qb3of5__C5_ROE_DYN_yoy__v0,True,25
FCF_OI,ROE_qb4of5__FCF_OI_qb4of5__C15_FCF_P_DYN_riseq1__v1,True,23
FCF_OI,FCF_P_qb1of5__FCF_OI_qb1of5__C1_ROE_DYN_riseq1__v0,True,22
FCF_OI,ROE_qb2of5__EPS_qb1of5__C2_ROE_DYN_riseq2__v0,True,26
FCF_OI,FCF_P_qb4of5__FCF_OI_qb4of5__C9_EPS_DYN_riseq2__v0,True,25
FCF_OI,ROE_qb4of5__FCF_OI_qb2of5__None__v1,True,25
ROIC,EPS_qb2of5__FCF_P_qb2of5__C4_ROE_DYN_qmax8__v1,True,25
ROIC,EPS_qb4of5__ROIC_qb4of5__C14_EPS_DYN_ytdavg_gt_lyavg__v1,True,26
ROIC,ROE_qb0of5__EPS_qb1of5__C9_EPS_DYN_riseq2__v0,True,24
ROIC,ROE_qb3of5__FCF_P_qb1of5__C9_EPS_DYN_riseq2__v1,True,21
ROIC,ROE_qb3of5__FCF_P_qb4of5__C20_FCF_P_DYN_ytdavg_gt_lyytdavg__v1,True,24
PB,EPS_qb4of5__FCF_P_qb0of5__C16_FCF_P_DYN_riseq2__v1,True,23
PB,ROE_qb4of5__FCF_P_qb3of5__C15_FCF_P_DYN_riseq1__v0,True,23
PB,EPS_qb4of5__FCF_P_qb3of5__C6_ROE_DYN_ytdavg_gt_lyytdavg__v1,True,23
PB,EPS_qb0of5__PB_qb3of5__C8_EPS_DYN_riseq1__v0,True,24
PB,EPS_qb1of5__FCF_P_qb4of5__None__v1,True,24
PS,PS_qb0of5__None__C7_ROE_DYN_ytdavg_gt_lyavg__v0,True,22
PS,FCF_P_qb3of5__PS_qb0of5__C14_EPS_DYN_ytdavg_gt_lyavg__v1,True,22
PS,ROE_qb1of5__EPS_qb0of5__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,True,25
PS,ROE_qb2of5__EPS_qb3of5__C5_ROE_DYN_yoy__v0,True,26
PS,ROE_qb2of5__PS_qb2of5__C19_FCF_P_DYN_yoy__v0,True,23
P_IC,EPS_qb4of5__FCF_P_qb0of5__C16_FCF_P_DYN_riseq2__v0,True,24
P_IC,ROE_qb4of5__FCF_P_qb3of5__C14_EPS_DYN_ytdavg_gt_lyavg__v1,True,23
P_IC,EPS_qb4of5__FCF_P_qb3of5__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,True,24
P_IC,EPS_qb0of5__P_IC_qb3of5__C7_ROE_DYN_ytdavg_gt_lyavg__v1,True,24
P_IC,EPS_qb1of5__FCF_P_qb4of5__None__v0,True,25
OCF_E,ROE_qb4of5__FCF_P_qb2of5__C4_ROE_DYN_qmax8__v0,True,25
OCF_E,FCF_P_qb1of5__OCF_E_qb2of5__C15_FCF_P_DYN_riseq1__v1,True,21
OCF_E,ROE_qb1of5__EPS_qb0of5__C5_ROE_DYN_yoy__v0,True,25
OCF_E,FCF_P_qb2of5__OCF_E_qb2of5__C20_FCF_P_DYN_ytdavg_gt_lyytdavg__v1,True,22
OCF_E,FCF_P_qb3of5__OCF_E_qb3of5__C14_EPS_DYN_ytdavg_gt_lyavg__v1,True,23
MOM,FCF_P_qb4of5__None__C3_ROE_DYN_qmax4__v0,True,25
MOM,EPS_qb1of5__FCF_P_qb1of5__C16_FCF_P_DYN_riseq2__v0,True,22
MOM,ROE_qb0of5__FCF_P_qb2of5__C12_EPS_DYN_yoy__v1,True,20
MOM,FCF_P_qb1of5__None__C2_ROE_DYN_riseq2__v0,True,22
MOM,ROE_qb4of5__EPS_qb4of5__C6_ROE_DYN_ytdavg_gt_lyytdavg__v1,True,26
