strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio,ytd
FCF_P_<0__DEBTRATIO_>=0.55__C1_ROE_SEQ_qmax4__v1,FCF_P_<0,DEBTRATIO_>=0.55,C1_ROE_SEQ_qmax4,v1,0.4349350294727652,19.84,-0.4641183644976088,0.654320987654321,0.4275763324429618
DEBTRATIO_>=0.55__FCF_P_<0__None__v1,DEBTRATIO_>=0.55,FCF_P_<0,None,v1,0.42490259303056166,19.08,-0.4725298513764722,0.6962025316455697,0.29667450817629826
DEBTRATIO_>=0.55__FCF_P_<0__C4_REVENUE_GROWTH_qmax5__v1,DEBTRATIO_>=0.55,FCF_P_<0,C4_REVENUE_GROWTH_qmax5,v1,0.36202789787668976,21.24,-0.6885136474953101,0.6708860759493671,0.33517453629254046
FCF_P_<0__EPS_<0__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,FCF_P_<0,EPS_<0,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.3529784564967906,18.96,-0.416706305756536,0.5703703703703704,0.4695794011527099
FCF_P_0_0.05__ROE_>=20__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v1,FCF_P_0_0.05,ROE_>=20,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v1,0.34804256519858656,23.8,-0.33758812371188374,0.5859872611464968,0.6653431114208517
DEBTRATIO_>=0.55__ROE_15_20__C1_ROE_SEQ_qmax4__v0,DEBTRATIO_>=0.55,ROE_15_20,C1_ROE_SEQ_qmax4,v0,0.3455097232049904,19.52,-0.33232278523421666,0.8125,-0.06450072004357243
ROE_>=20__None__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v1,ROE_>=20,None,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v1,0.33650314912609525,26.01,-0.35460159238438427,0.6,0.6721103233603811
DEBTRATIO_>=0.55__ROE_15_20__None__v0,DEBTRATIO_>=0.55,ROE_15_20,None,v0,0.3337598229874965,21.11,-0.31029731635632796,0.8085106382978723,-0.05206465609947453
DEBTRATIO_>=0.55__ROE_15_20__C4_REVENUE_GROWTH_qmax5__v0,DEBTRATIO_>=0.55,ROE_15_20,C4_REVENUE_GROWTH_qmax5,v0,0.33166651765422017,20.0,-0.3323227852342169,0.7959183673469388,-0.11951723568029915
FCF_P_>=0.05__DEBTRATIO_0.35_0.55__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v1,FCF_P_>=0.05,DEBTRATIO_0.35_0.55,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v1,0.32823386259482557,36.97,-0.20771299615465322,0.65625,0.6742589227494198
EPS_<0__FCF_P_<0__C4_REVENUE_GROWTH_qmax5__v0,EPS_<0,FCF_P_<0,C4_REVENUE_GROWTH_qmax5,v0,0.32653521674595787,20.89,-0.47360681113720426,0.6054794520547945,1.3372735934054116
EPS_<0__FCF_P_<0__None__v0,EPS_<0,FCF_P_<0,None,v0,0.3231420198165351,20.6,-0.4367703945918777,0.6267806267806267,1.2679740625574483
FCF_P_<0__EPS_<0__C1_ROE_SEQ_qmax4__v0,FCF_P_<0,EPS_<0,C1_ROE_SEQ_qmax4,v0,0.32270117008249466,20.75,-0.539182382865319,0.6200527704485488,1.337273593404499
EPS_<0__DEBTRATIO_>=0.55__C1_ROE_SEQ_qmax4__v0,EPS_<0,DEBTRATIO_>=0.55,C1_ROE_SEQ_qmax4,v0,0.31565210223722495,19.61,-0.5004653854290655,0.6230769230769231,-0.19863558502411194
ROE_>=20__EPS_0_2__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v1,ROE_>=20,EPS_0_2,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v1,0.3142502537038565,28.15,-0.37670268558584385,0.6547619047619048,0.48446919581120484
ROE_>=20__None__C4_REVENUE_GROWTH_qmax5__v1,ROE_>=20,None,C4_REVENUE_GROWTH_qmax5,v1,0.3122238983896146,23.03,-0.38206652986407796,0.5680933852140078,0.6750750346668479
ROE_>=20__None__None__v1,ROE_>=20,None,None,v1,0.31208223387438716,22.8,-0.41234325399378735,0.5965665236051502,0.6750750346668486
ROE_>=20__None__C1_ROE_SEQ_qmax4__v1,ROE_>=20,None,C1_ROE_SEQ_qmax4,v1,0.31206426136400234,23.42,-0.41234325549669726,0.5868725868725869,0.7793229961650288
ROE_>=20__FCF_P_<0__C4_REVENUE_GROWTH_qmax5__v0,ROE_>=20,FCF_P_<0,C4_REVENUE_GROWTH_qmax5,v0,0.31017869582011004,17.88,-0.3826679677018815,0.6052631578947368,-0.2407795290453174
DEBTRATIO_>=0.55__ROE_15_20__C7_EPS_QOQ_ytdavg_gt_lyytdavg__v0,DEBTRATIO_>=0.55,ROE_15_20,C7_EPS_QOQ_ytdavg_gt_lyytdavg,v0,0.30535095010813884,23.24,-0.36055234436307515,0.6944444444444444,0.021899661744982035
