q,date,idx_q1_weight
2007Q1,2007-03-31,0.851977091273407
2007Q2,2007-06-30,0.8484410076895784
2007Q3,2007-09-30,0.8511069477837623
2007Q4,2007-12-31,0.8677156831315391
2008Q1,2008-03-31,0.8647693601279794
2008Q2,2008-06-30,0.873516142130414
2008Q3,2008-09-30,0.8846030356730059
2008Q4,2008-12-31,0.8816119148209053
2009Q1,2009-03-31,0.8684832039702816
2009Q2,2009-06-30,0.8703576713688462
2009Q3,2009-09-30,0.8618069717888076
2009Q4,2009-12-31,0.8448243265359995
2010Q1,2010-03-31,0.8395331644426096
2010Q2,2010-06-30,0.8392969475810754
2010Q3,2010-09-30,0.840439714844
2010Q4,2010-12-31,0.8514515320237176
2011Q1,2011-03-31,0.8526642179654801
2011Q2,2011-06-30,0.85693661510099
2011Q3,2011-09-30,0.866045473917423
2011Q4,2011-12-31,0.8734551263118958
2012Q1,2012-03-31,0.8649951637706649
2012Q2,2012-06-30,0.8667933803298155
2012Q3,2012-09-30,0.8682544323146871
2012Q4,2012-12-31,0.8698131375667202
2013Q1,2013-03-31,0.8644607901692991
2013Q2,2013-06-30,0.8661638140649686
2013Q3,2013-09-30,0.8597452984416725
2013Q4,2013-12-31,0.854843348749385
2014Q1,2014-03-31,0.8444732944647043
2014Q2,2014-06-30,0.8496667380748357
2014Q3,2014-09-30,0.8543219781824175
2014Q4,2014-12-31,0.8601332881637269
2015Q1,2015-03-31,0.8602549644912743
2015Q2,2015-06-30,0.8701049149178752
2015Q3,2015-09-30,0.8704937292376661
2015Q4,2015-12-31,0.864981433064339
2016Q1,2016-03-31,0.8655934358152304
2016Q2,2016-06-30,0.8679084937774317
2016Q3,2016-09-30,0.870327687938073
2016Q4,2016-12-31,0.8716225480480986
2017Q1,2017-03-31,0.8684050013762006
2017Q2,2017-06-30,0.8744662187117677
2017Q3,2017-09-30,0.8729786382535023
2017Q4,2017-12-31,0.8724184925508599
2018Q1,2018-03-31,0.8723893721674506
2018Q2,2018-06-30,0.8724796045996172
2018Q3,2018-09-30,0.8832064558469014
2018Q4,2018-12-31,0.8769905840786372
2019Q1,2019-03-31,0.8753609588701516
2019Q2,2019-06-30,0.8775032370476932
2019Q3,2019-09-30,0.8764317451864012
2019Q4,2019-12-31,0.8822595426216023
2020Q1,2020-03-31,0.8887960901804719
2020Q2,2020-06-30,0.8804580000256993
2020Q3,2020-09-30,0.8852618556836939
2020Q4,2020-12-31,0.8890641498751115
2021Q1,2021-03-31,0.8905445781194011
2021Q2,2021-06-30,0.8936377031602638
2021Q3,2021-09-30,0.8933455234813594
2021Q4,2021-12-31,0.8923311470744844
2022Q1,2022-03-31,0.8920384903320998
2022Q2,2022-06-30,0.8866940762188792
2022Q3,2022-09-30,0.8873882286677468
2022Q4,2022-12-31,0.8873882286677468
2023Q1,2023-03-31,0.8873882286677468
2023Q2,2023-06-30,0.8800037386934748
2023Q3,2023-09-30,0.8799336779607573
2023Q4,2023-12-31,0.8827164093854485
2024Q1,2024-03-31,0.8907181074481542
2024Q2,2024-06-30,0.8938673084408449
2024Q3,2024-09-30,0.8925557231023961
2024Q4,2024-12-31,0.9015936140978873
2025Q1,2025-03-31,0.897324424715703
2025Q2,2025-06-30,0.9086244942013513
2025Q3,2025-09-30,0.9170620868513844
2025Q4,2025-12-31,0.926146971036129
