window_no,date,is_baseline,n_stocks,n_priced,idx_w_q1,port_w_q1,q1_gap,dev_from_baseline
1,2014-12-31,True,464,441,0.8601332881637269,0.24036281179138322,-0.6197704763723437,0.0
1,2015-03-31,False,428,399,0.8602549644912743,0.20050125313283207,-0.6597537113584422,-0.03998323498609846
1,2015-06-30,False,349,324,0.8701049149178752,0.24691358024691357,-0.6231913346709617,-0.0034208582986179348
1,2015-09-30,False,353,331,0.8704937292376661,0.2084592145015106,-0.6620345147361555,-0.04226403836381176
1,2015-12-31,False,491,474,0.864981433064339,0.1751054852320675,-0.6898759478322715,-0.07010547145992774
1,2016-03-31,False,372,345,0.8655934358152304,0.19420289855072465,-0.6713905372645057,-0.05162006089216198
1,2016-06-30,False,385,358,0.8679084937774317,0.16759776536312848,-0.7003107284143033,-0.08054025204195958
1,2016-09-30,False,441,421,0.870327687938073,0.1876484560570071,-0.6826792318810659,-0.06290875550872221
1,2016-12-31,False,469,452,0.8716225480480986,0.22123893805309736,-0.6503836099950012,-0.030613133622657496
1,2017-03-31,False,492,473,0.8684050013762006,0.18604651162790697,-0.6823584897482936,-0.06258801337594988
1,2017-06-30,False,344,327,0.8744662187117677,0.25076452599388377,-0.6237016927178839,-0.003931216345540167
1,2017-09-30,False,428,412,0.8729786382535023,0.24029126213592233,-0.63268737611758,-0.012916899745236243
1,2017-12-31,False,542,528,0.8724184925508599,0.23674242424242425,-0.6356760683084357,-0.01590559193609198
2,2017-12-31,True,518,505,0.8724184925508599,0.22178217821782178,-0.6506363143330381,0.0
2,2018-03-31,False,391,372,0.8723893721674506,0.1989247311827957,-0.673464640984655,-0.022828326651616826
2,2018-06-30,False,328,317,0.8724796045996172,0.22082018927444794,-0.6516594153251692,-0.0010231009921310985
2,2018-09-30,False,536,517,0.8832064558469014,0.18568665377176016,-0.6975198020751412,-0.04688348774210305
2,2018-12-31,False,482,471,0.8769905840786372,0.21868365180467092,-0.6583069322739663,-0.007670617940928159
2,2019-03-31,False,482,472,0.8753609588701516,0.2245762711864407,-0.6507846876837109,-0.00014837335067274804
2,2019-06-30,False,384,371,0.8775032370476932,0.19137466307277629,-0.6861285739749169,-0.03549225964187874
2,2019-09-30,False,440,436,0.8764317451864012,0.16972477064220184,-0.7067069745441994,-0.05607066021116125
2,2019-12-31,False,491,489,0.8822595426216023,0.22085889570552147,-0.6614006469160809,-0.010764332583042768
2,2020-03-31,False,363,360,0.8887960901804719,0.2222222222222222,-0.6665738679582497,-0.015937553625211542
2,2020-06-30,False,294,293,0.8804580000256993,0.18088737201365188,-0.6995706280120474,-0.048934313679009245
2,2020-09-30,False,557,550,0.8852618556836939,0.20363636363636364,-0.6816254920473303,-0.030989177714292104
2,2020-12-31,False,619,614,0.8890641498751115,0.2296416938110749,-0.6594224560640366,-0.008786141730998454
3,2020-12-31,True,622,614,0.8890641498751115,0.24429967426710097,-0.6447644756080105,0.0
3,2021-03-31,False,544,534,0.8905445781194011,0.22659176029962547,-0.6639528178197757,-0.01918834221176513
3,2021-06-30,False,589,577,0.8936377031602638,0.24090121317157712,-0.6527364899886867,-0.007972014380676185
3,2021-09-30,False,644,635,0.8933455234813594,0.231496062992126,-0.6618494604892334,-0.017084984881222898
3,2021-12-31,False,611,605,0.8923311470744844,0.23471074380165288,-0.6576204032728314,-0.01285592766482091
3,2022-03-31,False,544,540,0.8920384903320998,0.19074074074074074,-0.701297749591359,-0.05653327398334851
3,2022-06-30,False,525,525,0.8866940762188792,0.17904761904761904,-0.7076464571712602,-0.06288198156324964
3,2022-09-30,False,569,568,0.8873882286677468,0.16901408450704225,-0.7183741441607046,-0.07360966855269402
3,2022-12-31,False,592,591,0.8873882286677468,0.17766497461928935,-0.7097232540484575,-0.06495877844044695
3,2023-03-31,False,351,351,0.8873882286677468,0.18803418803418803,-0.6993540406335588,-0.05458956502554824
3,2023-06-30,False,287,273,0.8800037386934748,0.22344322344322345,-0.6565605152502514,-0.011796039642240852
3,2023-09-30,False,460,441,0.8799336779607573,0.22675736961451248,-0.6531763083462447,-0.008411832738234204
3,2023-12-31,False,502,488,0.8827164093854485,0.20081967213114754,-0.681896737254301,-0.037132261646290465
