window_no,is_start,is_end,oos_start,oos_end,variant,target_total,n_members,v1_frac,avg_holdings,frac_top10pct_mktcap,is_cagr,is_mdd,is_sharpe,oos_cagr,oos_mdd,oos_sharpe
1,2007-01,2012-12,2013-01,2014-12,baseline,30,30,0.3,34.1628440041507,0.12944162436548223,0.3655619441865481,-0.32223604493633773,1.1958173846472318,0.24717800795983624,-0.08308506776721447,2.234462883008337
1,2007-01,2012-12,2013-01,2014-12,exclude_v1,30,30,0.0,36.520015667399434,0.12435233160621761,0.3247718276673406,-0.3381346433116007,1.152361089088105,0.284027706745531,-0.0821640575800987,2.4132865584278105
2,2007-01,2014-12,2015-01,2016-12,baseline,30,30,0.26666666666666666,31.056895316749205,0.12195121951219512,0.3343931190206628,-0.32922512425674966,1.2571139497510921,0.10541724851509837,-0.15416931036853432,0.9505258779746073
2,2007-01,2014-12,2015-01,2016-12,exclude_v1,30,30,0.0,33.256927230186506,0.12527472527472527,0.3173943827833856,-0.3352723177863347,1.2346419977524719,0.08835782262328196,-0.15897290426702826,0.8187679512812955
3,2007-01,2016-12,2017-01,2018-12,baseline,30,30,0.3333333333333333,32.718601034368355,0.11889596602972399,0.2865436186342789,-0.33979988099352343,1.1436017922713695,0.15701491777364107,-0.13704844466466914,1.2774267558232282
3,2007-01,2016-12,2017-01,2018-12,exclude_v1,30,30,0.0,35.35329107889941,0.11804008908685969,0.27081153135549907,-0.37435877390696537,1.1394507761321357,0.16829134398790146,-0.1382032413450418,1.2806825366267012
4,2007-01,2018-12,2019-01,2020-12,baseline,30,30,0.36666666666666664,26.034502886273476,0.12100456621004566,0.2617788848288869,-0.3197039648996549,1.121540276906795,0.33846745122731337,-0.18551416112222163,1.7428675317709563
4,2007-01,2018-12,2019-01,2020-12,exclude_v1,30,30,0.0,35.827590078623544,0.11401869158878504,0.2316723522497075,-0.37350203509577706,1.0503522340953655,0.31240662500638305,-0.19159394225716508,1.6159534822122985
5,2007-01,2020-12,2021-01,2022-12,baseline,30,30,0.36666666666666664,29.021226480935734,0.12540192926045016,0.27668441675601607,-0.32429395866657207,1.1821390095873554,0.17656446594623754,-0.13929439403761212,0.8611041355335534
5,2007-01,2020-12,2021-01,2022-12,exclude_v1,30,30,0.0,37.401090711773925,0.12848297213622292,0.2664033127439742,-0.3508482920335061,1.1788395111426595,0.22450875997188913,-0.13460001324622795,1.0532115751299242
6,2007-01,2022-12,2023-01,2025-12,baseline,30,30,0.3333333333333333,26.34993046499407,0.09981167608286252,0.26750905361866106,-0.31315523583164007,1.1954312512062168,0.13762051169461365,-0.1357236639641165,1.0798585823051354
6,2007-01,2022-12,2023-01,2025-12,exclude_v1,30,30,0.0,31.207073490657002,0.11584327086882454,0.267387410938859,-0.362847554984146,1.2188511893515719,0.13664430847994957,-0.13544043931778582,1.1166312211399125
