window_no,as_of,end,n_unique_stocks,n_empty_strategies,stock_level_return
1,2014-12-31,2015-03-31,1447,1,0.05744924904931817
1,2015-03-31,2015-06-30,1472,0,-0.038058201954802424
1,2015-06-30,2015-09-30,1475,0,-0.07105185466584155
1,2015-09-30,2015-12-31,1515,0,0.04567513715982016
1,2015-12-31,2016-03-31,1502,8,0.06546467499741716
1,2016-03-31,2016-06-30,1503,0,0.010458061492197185
1,2016-06-30,2016-09-30,1511,0,0.10274137278674561
1,2016-09-30,2016-12-31,1527,0,0.007743027325279477
1,2016-12-31,2017-03-31,1525,1,0.12146140795157255
1,2017-03-31,2017-06-30,1553,0,0.03376743077827456
1,2017-06-30,2017-09-30,1567,0,0.08157179723156505
1,2017-09-30,2017-12-31,1566,0,0.043463923095365196
2,2017-12-31,2018-03-31,1570,0,0.05109443199916667
2,2018-03-31,2018-06-30,1598,1,0.03182923999082872
2,2018-06-30,2018-09-30,1585,0,-0.02494333991889047
2,2018-09-30,2018-12-31,1612,0,-0.06583623298465187
2,2018-12-31,2019-03-31,1589,0,0.12850785172316836
2,2019-03-31,2019-06-30,1589,0,0.009298762145505983
2,2019-06-30,2019-09-30,1601,0,0.06581682569327556
2,2019-09-30,2019-12-31,1629,0,0.06172288534575858
2,2019-12-31,2020-03-31,1624,0,-0.19158709845978145
2,2020-03-31,2020-06-30,1622,4,0.3036525280644959
2,2020-06-30,2020-09-30,1654,0,0.12377681535168646
2,2020-09-30,2020-12-31,1623,0,0.17002018470249788
3,2020-12-31,2021-03-31,1632,0,0.13697160192620048
3,2021-03-31,2021-06-30,1654,0,0.0900508649721276
3,2021-06-30,2021-09-30,1633,0,-0.0030906473972886514
3,2021-09-30,2021-12-31,1660,0,0.12404191415921677
3,2021-12-31,2022-03-31,1669,0,-0.010888027485708137
3,2022-03-31,2022-06-30,1638,0,-0.06769441031680991
3,2022-06-30,2022-09-30,1649,0,0.00666583500536299
3,2022-09-30,2022-12-31,1620,0,0.035076338997702045
3,2022-12-31,2023-03-31,1634,0,0.15542419995489204
3,2023-03-31,2023-06-30,1642,0,0.12669756621051181
3,2023-06-30,2023-09-30,1630,3,-0.0034857668919263817
3,2023-09-30,2023-12-31,1629,0,0.0784271641647833
