industry,portfolio_weight,benchmark_weight,active_weight
半導體業,0.035920927949430616,0.5116007160392658,-0.4756797880898352
金融保險,0.07378716082155205,0.08991517132600808,-0.01612801050445603
電子工業,0.11644507746877568,0.12554578196112898,-0.009100704492353298
其他電子業,0.04141033946486311,0.049107389491112374,-0.007697050026249264
通信網路業,0.028917861360516443,0.032547001167004944,-0.003629139806488501
文化創意業,0.0008383838383838383,0.002855179713972968,-0.00201679587558913
玻璃陶瓷,0.0,0.0011632011320242136,-0.0011632011320242136
數位雲端,0.0010004190236748377,0.0016553266333544326,-0.0006549076096795949
水泥工業,0.0031212432591742937,0.0036373644673308985,-0.0005161212081566048
汽車工業,0.006965219103150137,0.006891871359571508,7.334774357862887e-05
橡膠工業,0.002836336336336337,0.0021128639447194333,0.0007234723916169036
農業科技業,0.002781459919390954,7.248446361532332e-05,0.0027089754557756305
油電燃氣業,0.009249766681624647,0.005863502457982051,0.0033862642236425957
電器電纜,0.006236930374861409,0.0027466907554508846,0.0034902396194105246
存託憑證,0.004536383674314709,0.0001354796841223182,0.004400903990192391
造紙工業,0.007457477464604246,0.0011589926830550617,0.006298484781549185
塑膠工業,0.019089835582716198,0.010775794284297055,0.008314041298419143
貿易百貨,0.01307759915846035,0.003841332611840619,0.00923626654661973
電腦及週邊設備業,0.022947674391758092,0.013261237476816729,0.009686436914941364
居家生活,0.013723544013249834,0.002900976945904101,0.010822567067345733
化學工業,0.015693665936860127,0.0042517980168271,0.011441867920033027
觀光餐旅,0.013720082712963324,0.002137406486063574,0.011582676226899749
化學生技醫療,0.017302350207711325,0.0036562215559811364,0.013646128651730188
綠能環保,0.015618297345986656,0.0016589786768108356,0.01395931866917582
電子通路業,0.015188812325103785,0.0005040831616223769,0.014684729163481408
運動休閒,0.02153699624669761,0.004872412725746742,0.01666458352095087
食品工業,0.025861554992379802,0.008186900132261636,0.017674654860118166
航運業,0.03445673387771242,0.016723546653373087,0.017733187224339333
資訊服務業,0.02220293690216528,0.001973196044555699,0.02022974085760958
電機機械,0.03543766270176714,0.015110648469481694,0.020327014232285445
鋼鐵工業,0.03584032200323604,0.008521350427742812,0.027318971575493227
光電業,0.04912894544006723,0.015002007764001592,0.034126937676065644
生技醫療業,0.0490600219366083,0.0075867409132834044,0.0414732810233249
其他,0.051977708855959294,0.009029287962098951,0.04294842089386034
紡織纖維,0.04887836469672027,0.005366369307037095,0.04351199538968318
電子零組件業,0.06507665746718938,0.016855768836129874,0.04822088863105951
建材營造,0.07267524646403424,0.010774924268404396,0.061900322195629846
