quarter,period,n_hot,coverage_count,coverage_mktcap
2015-03-31,calib_2015_2023,145,0.41379310344827586,0.488167683755993
2015-06-30,calib_2015_2023,146,0.3698630136986301,0.4465081175090445
2015-09-30,calib_2015_2023,147,0.4965986394557823,0.5245400076282258
2015-12-31,calib_2015_2023,148,0.42567567567567566,0.382374189954134
2016-03-31,calib_2015_2023,150,0.3333333333333333,0.2535950451114334
2016-06-30,calib_2015_2023,152,0.28289473684210525,0.458271786473556
2016-09-30,calib_2015_2023,153,0.5294117647058824,0.3118276930222521
2016-12-31,calib_2015_2023,154,0.45454545454545453,0.6698833104667077
2017-03-31,calib_2015_2023,155,0.47096774193548385,0.4969728162067865
2017-06-30,calib_2015_2023,156,0.28205128205128205,0.07890811830040131
2017-09-30,calib_2015_2023,157,0.45222929936305734,0.5196065699878809
2017-12-31,calib_2015_2023,158,0.45569620253164556,0.37593782769285095
2018-03-31,calib_2015_2023,159,0.3270440251572327,0.18131691348482837
2018-06-30,calib_2015_2023,161,0.3167701863354037,0.18213457914597905
2018-09-30,calib_2015_2023,162,0.5987654320987654,0.8459205508578194
2018-12-31,calib_2015_2023,164,0.38414634146341464,0.4669364110832514
2019-03-31,calib_2015_2023,166,0.3253012048192771,0.2007557792508775
2019-06-30,calib_2015_2023,167,0.41916167664670656,0.3384671174345664
2019-09-30,calib_2015_2023,167,0.5029940119760479,0.5492476368966659
2019-12-31,calib_2015_2023,168,0.30952380952380953,0.02512252024836395
2020-03-31,calib_2015_2023,169,0.2781065088757396,0.15807462801358424
2020-06-30,calib_2015_2023,170,0.19411764705882353,0.06926290918487905
2020-09-30,calib_2015_2023,170,0.5882352941176471,0.08461304935934344
2020-12-31,calib_2015_2023,171,0.4444444444444444,0.38070261564406543
2021-03-31,calib_2015_2023,172,0.37790697674418605,0.3524699579162355
2021-06-30,calib_2015_2023,173,0.5433526011560693,0.49221429583569326
2021-09-30,calib_2015_2023,174,0.5344827586206896,0.49508527951137815
2021-12-31,calib_2015_2023,174,0.4827586206896552,0.4424657023356779
2022-03-31,calib_2015_2023,175,0.42857142857142855,0.15086062182392565
2022-06-30,calib_2015_2023,176,0.4659090909090909,0.35426502141574673
2022-09-30,calib_2015_2023,178,0.5,0.4256596833044109
2022-12-31,calib_2015_2023,178,0.3707865168539326,0.2280556513721831
2023-03-31,calib_2015_2023,178,0.25280898876404495,0.20795316810569336
2023-06-30,calib_2015_2023,178,0.33146067415730335,0.26534827617546586
2023-09-30,calib_2015_2023,178,0.38764044943820225,0.31366893078810637
2023-12-31,calib_2015_2023,178,0.33146067415730335,0.23367286812337662
2024-03-31,check_2024_2025,178,0.21910112359550563,0.017308938898954806
2024-06-30,check_2024_2025,178,0.29775280898876405,0.12487988743935051
2024-09-30,check_2024_2025,178,0.38202247191011235,0.48442610927065965
2024-12-31,check_2024_2025,178,0.25842696629213485,0.7799749928588362
2025-03-31,check_2024_2025,178,0.33707865168539325,0.23009346714405585
2025-06-30,check_2024_2025,178,0.3595505617977528,0.11515021899970135
2025-09-30,check_2024_2025,178,0.42134831460674155,0.6183364847928289
2025-12-31,check_2024_2025,178,0.33146067415730335,0.4200827255336842
