window_no,as_of,top_industry,max_industry_weight,unclassified_weight,n_industries
1,2014-12-31,電子工業,0.16647295077700539,0.0,34
1,2015-03-31,電子零組件業,0.12989846149604953,0.0,34
1,2015-06-30,電子工業,0.09927176374757256,0.0,37
1,2015-09-30,電機機械,0.10437892463068758,0.0,36
1,2015-12-31,電子工業,0.16659995735232733,0.0,34
1,2016-03-31,電子工業,0.17351575489976173,0.0,34
1,2016-06-30,電子工業,0.09637453797773712,0.0,36
1,2016-09-30,電子工業,0.1167948975577522,0.0,36
1,2016-12-31,電子工業,0.14423183124788289,0.0,35
1,2017-03-31,電子零組件業,0.13745159516879596,0.0,35
1,2017-06-30,電子工業,0.13285470182339734,0.0,35
1,2017-09-30,電子零組件業,0.12740249938975337,0.0,36
1,2017-12-31,電子工業,0.11827488168854398,0.0,36
2,2017-12-31,電子工業,0.12237433979045512,0.0,35
2,2018-03-31,電子工業,0.12947574993569105,0.0,36
2,2018-06-30,建材營造,0.10442129253914145,0.0,35
2,2018-09-30,電子零組件業,0.09716816319926562,0.0,36
2,2018-12-31,電子工業,0.15615085207488136,0.0,35
2,2019-03-31,電子工業,0.15615085207488136,0.0,35
2,2019-06-30,半導體業,0.07934814466844879,0.0,35
2,2019-09-30,電子工業,0.08320917312696942,0.0,34
2,2019-12-31,電子工業,0.14116145567986554,0.0,36
2,2020-03-31,電子工業,0.1216354712538189,0.0,36
2,2020-06-30,半導體業,0.1107680567568495,0.0,36
2,2020-09-30,電子工業,0.1592466949079074,0.0,36
2,2020-12-31,電子工業,0.13856052078623665,0.0,37
3,2020-12-31,電子工業,0.15610094884924577,0.0,36
3,2021-03-31,電子工業,0.11813033706146563,0.0,37
3,2021-06-30,電子工業,0.11415877596978992,0.0,37
3,2021-09-30,電子工業,0.17016923989738814,0.0,36
3,2021-12-31,電子工業,0.14411560817422828,0.0,36
3,2022-03-31,電子工業,0.1059237506941864,0.0,36
3,2022-06-30,電子工業,0.08829571575584437,0.0,34
3,2022-09-30,電子工業,0.11946902611785441,0.0,37
3,2022-12-31,電子工業,0.1599955482716271,0.0,36
3,2023-03-31,電子工業,0.16325180765480657,0.0,34
3,2023-06-30,建材營造,0.10561794833692822,0.0,33
3,2023-09-30,電子工業,0.13204819519913072,0.0,37
3,2023-12-31,電子工業,0.09020803760959799,0.0,37
