market,company_symbol,sector_name,industry_name,type
TW,1101,,水泥工業,twse
TW,1102,,水泥工業,twse
TW,1103,,水泥工業,twse
TW,1104,,水泥工業,twse
TW,1108,,水泥工業,twse
TW,1109,,水泥工業,twse
TW,1110,,水泥工業,twse
TW,1201,,食品工業,twse
TW,1203,,食品工業,twse
TW,1210,,食品工業,twse
TW,1213,,食品工業,twse
TW,1215,,食品工業,twse
TW,1216,,食品工業,twse
TW,1217,,食品工業,twse
TW,1218,,食品工業,twse
TW,1219,,食品工業,twse
TW,1220,,食品工業,twse
TW,1225,,食品工業,twse
TW,1227,,食品工業,twse
TW,1229,,食品工業,twse
TW,1231,,食品工業,twse
TW,1232,,食品工業,twse
TW,1233,,食品工業,twse
TW,1234,,食品工業,twse
TW,1235,,食品工業,twse
TW,1236,,食品工業,twse
TW,1240,,農業科技業,tpex
TW,1256,,食品工業,twse
TW,1258,,食品工業,tpex
TW,1259,,觀光餐旅,tpex
TW,1264,,食品工業,tpex
TW,1268,,觀光餐旅,tpex
TW,1301,,塑膠工業,twse
TW,1303,,塑膠工業,twse
TW,1304,,塑膠工業,twse
TW,1305,,塑膠工業,twse
TW,1307,,塑膠工業,twse
TW,1308,,塑膠工業,twse
TW,1309,,塑膠工業,twse
TW,1310,,塑膠工業,twse
TW,1312,,塑膠工業,twse
TW,1313,,塑膠工業,twse
TW,1314,,塑膠工業,twse
TW,1315,,塑膠工業,twse
TW,1316,,建材營造,twse
TW,1319,,汽車工業,twse
TW,1321,,塑膠工業,twse
TW,1323,,塑膠工業,twse
TW,1324,,塑膠工業,twse
TW,1325,,塑膠工業,twse
TW,1326,,塑膠工業,twse
TW,1336,,電子零組件業,tpex
TW,1337,,塑膠工業,twse
TW,1338,,汽車工業,twse
TW,1339,,汽車工業,twse
TW,1340,,塑膠工業,twse
TW,1341,,塑膠工業,twse
TW,1342,,其他,twse
TW,1402,,紡織纖維,twse
TW,1409,,紡織纖維,twse
TW,1410,,紡織纖維,twse
TW,1413,,紡織纖維,twse
TW,1414,,紡織纖維,twse
TW,1416,,其他,twse
TW,1417,,紡織纖維,twse
TW,1418,,紡織纖維,twse
TW,1419,,紡織纖維,twse
TW,1423,,紡織纖維,twse
TW,1432,,運動休閒,twse
TW,1434,,紡織纖維,twse
TW,1435,,其他,twse
TW,1436,,建材營造,twse
TW,1437,,其他,twse
TW,1438,,建材營造,twse
TW,1439,,建材營造,twse
TW,1440,,紡織纖維,twse
TW,1441,,紡織纖維,twse
TW,1442,,建材營造,twse
TW,1443,,其他,twse
TW,1444,,紡織纖維,twse
TW,1445,,紡織纖維,twse
TW,1446,,紡織纖維,twse
TW,1447,,紡織纖維,twse
TW,1449,,紡織纖維,twse
TW,1451,,紡織纖維,twse
TW,1452,,紡織纖維,twse
TW,1453,,建材營造,twse
TW,1454,,紡織纖維,twse
TW,1455,,紡織纖維,twse
TW,1456,,建材營造,twse
TW,1457,,紡織纖維,twse
TW,1459,,紡織纖維,twse
TW,1460,,紡織纖維,twse
TW,1463,,紡織纖維,twse
TW,1464,,紡織纖維,twse
TW,1465,,紡織纖維,twse
TW,1466,,紡織纖維,twse
TW,1467,,紡織纖維,twse
TW,1468,,紡織纖維,twse
TW,1470,,紡織纖維,twse
TW,1471,,電子工業,twse
TW,1472,,建材營造,twse
TW,1473,,紡織纖維,twse
TW,1474,,紡織纖維,twse
TW,1475,,紡織纖維,twse
TW,1476,,紡織纖維,twse
TW,1477,,紡織纖維,twse
TW,1503,,電機機械,twse
TW,1504,,電機機械,twse
TW,1506,,電機機械,twse
TW,1512,,汽車工業,twse
TW,1513,,電機機械,twse
TW,1514,,電機機械,twse
TW,1515,,電機機械,twse
TW,1516,,其他,twse
TW,1517,,電機機械,twse
TW,1519,,電機機械,twse
TW,1521,,汽車工業,twse
TW,1522,,汽車工業,twse
TW,1524,,汽車工業,twse
TW,1525,,汽車工業,twse
TW,1526,,電機機械,twse
TW,1527,,電機機械,twse
TW,1528,,電機機械,twse
TW,1529,,電機機械,twse
TW,1530,,電機機械,twse
TW,1531,,電機機械,twse
TW,1532,,電機機械,twse
TW,1533,,汽車工業,twse
TW,1535,,電機機械,twse
TW,1536,,汽車工業,twse
TW,1537,,電機機械,twse
TW,1538,,電機機械,twse
TW,1539,,電機機械,twse
TW,1540,,電機機械,twse
TW,1541,,電機機械,twse
TW,1558,,電機機械,twse
TW,1560,,電機機械,twse
TW,1565,,生技醫療業,tpex
TW,1568,,汽車工業,twse
TW,1569,,電腦及週邊設備業,tpex
TW,1570,,電機機械,tpex
TW,1580,,電機機械,tpex
TW,1582,,電子工業,twse
TW,1583,,電機機械,twse
TW,1584,,其他,tpex
TW,1586,,電機機械,tpex
TW,1587,,汽車工業,twse
TW,1589,,電機機械,twse
TW,1590,,電機機械,twse
TW,1591,,電機機械,tpex
TW,1593,,運動休閒類,tpex
TW,1595,,半導體業,tpex
TW,1597,,電機機械,twse
TW,1598,,運動休閒,twse
TW,1599,,電機機械,tpex
TW,1603,,電器電纜,twse
TW,1604,,電器電纜,twse
TW,1605,,電器電纜,twse
TW,1608,,電器電纜,twse
TW,1609,,電器電纜,twse
TW,1611,,電器電纜,twse
TW,1612,,電器電纜,twse
TW,1614,,電器電纜,twse
TW,1615,,電器電纜,twse
TW,1616,,電器電纜,twse
TW,1617,,電器電纜,twse
TW,1618,,電器電纜,twse
TW,1626,,電器電纜,twse
TW,1701,,化學生技醫療,twse
TW,1702,,食品工業,twse
TW,1707,,化學生技醫療,twse
TW,1708,,化學工業,twse
TW,1709,,化學工業,twse
TW,1710,,化學工業,twse
TW,1711,,化學工業,twse
TW,1712,,化學工業,twse
TW,1713,,化學工業,twse
TW,1714,,化學工業,twse
TW,1717,,化學工業,twse
TW,1718,,化學工業,twse
TW,1720,,生技醫療業,twse
TW,1721,,化學生技醫療,twse
TW,1722,,化學生技醫療,twse
TW,1723,,化學工業,twse
TW,1725,,化學工業,twse
TW,1726,,化學工業,twse
TW,1727,,化學工業,twse
TW,1730,,化學工業,twse
TW,1731,,化學生技醫療,twse
TW,1732,,化學工業,twse
TW,1733,,化學生技醫療,twse
TW,1734,,化學生技醫療,twse
TW,1735,,化學工業,twse
TW,1736,,運動休閒,twse
TW,1737,,食品工業,twse
TW,1742,,化學工業,tpex
TW,1752,,生技醫療業,twse
TW,1760,,生技醫療業,twse
TW,1762,,生技醫療業,twse
TW,1773,,化學工業,twse
TW,1776,,化學工業,twse
TW,1777,,生技醫療業,tpex
TW,1781,,生技醫療業,tpex
TW,1783,,化學生技醫療,twse
TW,1784,,生技醫療業,tpex
TW,1785,,其他電子類,tpex
TW,1786,,化學生技醫療,twse
TW,1788,,生技醫療業,tpex
TW,1789,,化學生技醫療,twse
TW,1795,,化學生技醫療,twse
TW,1796,,食品工業,tpex
TW,1799,,生技醫療業,tpex
TW,1802,,玻璃陶瓷,twse
TW,1805,,建材營造,twse
TW,1806,,玻璃陶瓷,twse
TW,1808,,建材營造,twse
TW,1809,,玻璃陶瓷,twse
TW,1810,,玻璃陶瓷,twse
TW,1813,,生技醫療業,tpex
TW,1815,,電子零組件業,tpex
TW,1817,,玻璃陶瓷,twse
TW,1903,,造紙工業,twse
TW,1904,,造紙工業,twse
TW,1905,,造紙工業,twse
TW,1906,,造紙工業,twse
TW,1907,,造紙工業,twse
TW,1909,,造紙工業,twse
TW,2002,,鋼鐵工業,twse
TW,2006,,鋼鐵工業,twse
TW,2007,,鋼鐵工業,twse
TW,2008,,鋼鐵工業,twse
TW,2009,,鋼鐵工業,twse
TW,2010,,鋼鐵工業,twse
TW,2012,,鋼鐵工業,twse
TW,2013,,鋼鐵工業,twse
TW,2014,,鋼鐵工業,twse
TW,2015,,鋼鐵工業,twse
TW,2017,,鋼鐵工業,twse
TW,2020,,鋼鐵工業,twse
TW,2022,,鋼鐵工業,twse
TW,2023,,鋼鐵工業,twse
TW,2024,,鋼鐵工業,twse
TW,2025,,鋼鐵工業,twse
TW,2027,,鋼鐵工業,twse
TW,2028,,鋼鐵工業,twse
TW,2029,,鋼鐵工業,twse
TW,2030,,鋼鐵工業,twse
TW,2031,,鋼鐵工業,twse
TW,2032,,鋼鐵工業,twse
TW,2033,,鋼鐵工業,twse
TW,2034,,鋼鐵工業,twse
TW,2035,,鋼鐵工業,tpex
TW,2038,,鋼鐵工業,twse
TW,2049,,電機機械,twse
TW,2059,,電子工業,twse
TW,2061,,電器電纜,tpex
TW,2062,,居家生活,twse
TW,2063,,鋼鐵工業,tpex
TW,2064,,鋼鐵工業,tpex
TW,2065,,鋼鐵工業,tpex
TW,2066,,電機機械,tpex
TW,2067,,電機機械,tpex
TW,2069,,鋼鐵工業,twse
TW,2070,,電機機械,tpex
TW,2101,,橡膠工業,twse
TW,2102,,橡膠工業,twse
TW,2103,,橡膠工業,twse
TW,2104,,橡膠工業,twse
TW,2105,,橡膠工業,twse
TW,2106,,橡膠工業,twse
TW,2107,,橡膠工業,twse
TW,2108,,橡膠工業,twse
TW,2109,,橡膠工業,twse
TW,2114,,橡膠工業,twse
TW,2115,,汽車工業,twse
TW,2201,,汽車工業,twse
TW,2204,,汽車工業,twse
TW,2206,,汽車工業,twse
TW,2207,,汽車工業,twse
TW,2208,,航運業,twse
TW,2211,,鋼鐵工業,twse
TW,2221,,其他,tpex
TW,2227,,汽車工業,twse
TW,2228,,汽車工業,twse
TW,2230,,居家生活類,tpex
TW,2231,,汽車工業,twse
TW,2233,,汽車工業,twse
TW,2235,,電機機械,tpex
TW,2236,,汽車工業,twse
TW,2239,,汽車工業,twse
TW,2241,,汽車工業,twse
TW,2243,,汽車工業,twse
TW,2247,,汽車工業,twse
TW,2250,,汽車工業,twse
TW,2301,,電子工業,twse
TW,2302,,半導體業,twse
TW,2303,,半導體業,twse
TW,2305,,電子工業,twse
TW,2308,,電子工業,twse
TW,2312,,其他電子業,twse
TW,2313,,電子工業,twse
TW,2314,,通信網路業,twse
TW,2316,,電子工業,twse
TW,2317,,其他電子業,twse
TW,2321,,電子工業,twse
TW,2323,,光電業,twse
TW,2324,,電子工業,twse
TW,2327,,電子工業,twse
TW,2328,,電子工業,twse
TW,2329,,半導體業,twse
TW,2330,,半導體業,twse
TW,2331,,電子工業,twse
TW,2332,,通信網路業,twse
TW,2337,,半導體業,twse
TW,2338,,半導體業,twse
TW,2340,,電子工業,twse
TW,2342,,半導體業,twse
TW,2344,,半導體業,twse
TW,2345,,通信網路業,twse
TW,2347,,電子工業,twse
TW,2348,,其他,twse
TW,2349,,電子工業,twse
TW,2351,,電子工業,twse
TW,2352,,電腦及週邊設備業,twse
TW,2353,,電子工業,twse
TW,2354,,其他電子業,twse
TW,2355,,電子工業,twse
TW,2356,,電子工業,twse
TW,2357,,電子工業,twse
TW,2358,,其他,twse
TW,2359,,其他電子業,twse
TW,2360,,其他電子業,twse
TW,2362,,電子工業,twse
TW,2363,,半導體業,twse
TW,2364,,電子工業,twse
TW,2365,,電子工業,twse
TW,2367,,電子工業,twse
TW,2368,,電子零組件業,twse
TW,2369,,電子工業,twse
TW,2371,,電機機械,twse
TW,2373,,其他電子業,twse
TW,2374,,光電業,twse
TW,2375,,電子工業,twse
TW,2376,,電子工業,twse
TW,2377,,電子工業,twse
TW,2379,,半導體業,twse
TW,2380,,電子工業,twse
TW,2382,,電子工業,twse
TW,2383,,電子工業,twse
TW,2385,,電子工業,twse
TW,2387,,電子工業,twse
TW,2388,,半導體業,twse
TW,2390,,其他電子業,twse
TW,2392,,電子零組件業,twse
