scheme,window_no,is_end,oos_start,oos_end,n_quarters,avg_turnover,ann_excess_gross,ann_excess_net,cost_drag
A,1,2012-12,2013-01,2014-12,8,0.6844520757765158,0.061633132718194705,0.04150852820413786,0.020124604514056843
A,2,2014-12,2015-01,2016-12,8,0.7877658201183833,0.11739472071420232,0.09670570673264445,0.02068901398155787
A,3,2016-12,2017-01,2018-12,8,0.7711493401310111,0.10235701793294538,0.08137030585820426,0.02098671207474112
A,4,2018-12,2019-01,2020-12,8,0.6937979946156075,0.11473667028587253,0.09319429962926917,0.02154237065660336
A,5,2020-12,2021-01,2022-12,8,0.7247171757103521,0.08502366856505383,0.06495150275761064,0.0200721658074432
B,1,2012-12,2013-01,2015-12,12,0.7234809109213236,0.06471749222229395,0.045190644229877064,0.019526847992416885
B,2,2015-12,2016-01,2018-12,12,0.783108115090232,0.11877989818757251,0.0973472912549358,0.02143260693263671
B,3,2018-12,2019-01,2021-12,12,0.7014588993436129,0.10763261843920136,0.0860217275163131,0.02161089092288826
C,1,2012-12,2013-01,2016-12,16,0.7443016181129714,0.08516267353101004,0.06501157027028825,0.02015110326072178
C,2,2016-12,2017-01,2020-12,16,0.7192731787431972,0.11085823223588731,0.09029553009712243,0.020562702138764877
D,1,2014-12,2015-01,2016-12,8,0.7877658201183833,0.11739472071420232,0.09670570673264445,0.02068901398155787
D,2,2016-12,2017-01,2018-12,8,0.7711493401310111,0.10235701793294538,0.08137030585820426,0.02098671207474112
D,3,2018-12,2019-01,2020-12,8,0.6937979946156075,0.11473667028587253,0.09319429962926917,0.02154237065660336
D,4,2020-12,2021-01,2022-12,8,0.7247171757103521,0.08502366856505383,0.06495150275761064,0.0200721658074432
E,1,2014-12,2015-01,2017-12,12,0.7867324281626242,0.12254734493143493,0.10109950681745028,0.021447838113984652
E,2,2017-12,2018-01,2020-12,12,0.7177370942924673,0.10115441686884541,0.0807988054295059,0.020355611439339505
E,3,2020-12,2021-01,2023-12,12,0.7441620938585256,0.11900208856582206,0.09759723238627416,0.021404856179547904
F,1,2014-12,2015-01,2018-12,16,0.7814001853701352,0.10921293525467668,0.08865765724930186,0.020555278005374822
F,2,2018-12,2019-01,2022-12,16,0.7159584372957192,0.09618194615761744,0.07568837048250643,0.02049357567511101
G,1,2016-12,2017-01,2018-12,8,0.7711493401310111,0.10235701793294538,0.08137030585820426,0.02098671207474112
G,2,2018-12,2019-01,2020-12,8,0.6937979946156075,0.11473667028587253,0.09319429962926917,0.02154237065660336
G,3,2020-12,2021-01,2022-12,8,0.7247171757103521,0.08502366856505383,0.06495150275761064,0.0200721658074432
H,1,2016-12,2017-01,2019-12,12,0.6954433037028782,0.10276086299296217,0.0833044046361362,0.019456458356825967
H,2,2019-12,2020-01,2022-12,12,0.759266173445755,0.07629246650766919,0.054692363017267764,0.021600103490401423
I,1,2016-12,2017-01,2020-12,16,0.7192731787431972,0.11085823223588731,0.09029553009712243,0.020562702138764877
J,1,2018-12,2019-01,2020-12,8,0.6937979946156075,0.11473667028587253,0.09319429962926917,0.02154237065660336
J,2,2020-12,2021-01,2022-12,8,0.7247171757103521,0.08502366856505383,0.06495150275761064,0.0200721658074432
K,1,2018-12,2019-01,2021-12,12,0.7014588993436129,0.10763261843920136,0.0860217275163131,0.02161089092288826
L,1,2018-12,2019-01,2022-12,16,0.7159584372957192,0.09618194615761744,0.07568837048250643,0.02049357567511101
R,1,2014-12,2015-01,2017-12,12,0.7867324281626242,0.12254734493143493,0.10109950681745028,0.021447838113984652
R,2,2017-12,2018-01,2020-12,12,0.6947150348247315,0.11354805394765344,0.09364384796573733,0.019904205981916112
R,3,2020-12,2021-01,2023-12,12,0.7856748088032627,0.09748765056747599,0.07530931724085788,0.022178333326618116
