window_no,as_of,end,portfolio_return,equal_weight_bench,excess_vs_ball
1,2014-12-31,2015-03-31,0.06537730878191574,0.02889189109594871,0.036485417685967025
1,2015-03-31,2015-06-30,-0.03603612491726723,-0.07417732647031423,0.038141201553047004
1,2015-06-30,2015-09-30,-0.07356321591758941,-0.08841895347722703,0.014855737559637622
1,2015-09-30,2015-12-31,0.052271499585128695,0.05673572037502048,-0.004464220789891789
1,2015-12-31,2016-03-31,0.07171092177870249,0.044772317189927704,0.026938604588774784
1,2016-03-31,2016-06-30,0.023560954695014506,-0.013181450070407542,0.03674240476542205
1,2016-06-30,2016-09-30,0.135476492545856,0.07908046532991182,0.05639602721594418
1,2016-09-30,2016-12-31,0.014949477426309832,-0.00544802585153957,0.0203975032778494
1,2016-12-31,2017-03-31,0.15044613422257283,0.10291477298265075,0.047531361239922076
1,2017-03-31,2017-06-30,0.03435293932183858,0.016342024102323934,0.01801091521951465
1,2017-06-30,2017-09-30,0.08134795403837485,0.059404939956722524,0.02194301408165232
1,2017-09-30,2017-12-31,0.057088390017039574,0.03313670449862988,0.02395168551840969
2,2017-12-31,2018-03-31,0.074844600558594,0.04623731976371564,0.028607280794878363
2,2018-03-31,2018-06-30,0.029959397674396048,0.01470226403124483,0.015257133643151219
2,2018-06-30,2018-09-30,-0.020100230261673485,-0.04434014004123948,0.024239909779565992
2,2018-09-30,2018-12-31,-0.06501576550543386,-0.07102508106842807,0.006009315562994208
2,2018-12-31,2019-03-31,0.1409306008092329,0.11028292692414882,0.030647673885084076
2,2019-03-31,2019-06-30,0.01840946345545055,-0.004067953717059183,0.02247741717250973
2,2019-06-30,2019-09-30,0.07771271442634868,0.04941881378247713,0.02829390064387155
2,2019-09-30,2019-12-31,0.059584847996283725,0.05148455164414296,0.008100296352140768
2,2019-12-31,2020-03-31,-0.1722239586732754,-0.2138344392868858,0.04161048061361042
2,2020-03-31,2020-06-30,0.29207321525272606,0.3304949246324924,-0.038421709379766356
2,2020-06-30,2020-09-30,0.1566001974006112,0.0934689334186874,0.06313126398192381
2,2020-09-30,2020-12-31,0.16020112170605064,0.13891542680671828,0.021285694899332352
3,2020-12-31,2021-03-31,0.15480798687300176,0.11997398773475723,0.03483399913824453
3,2021-03-31,2021-06-30,0.12600011318151613,0.06958615104774263,0.056413962133773504
3,2021-06-30,2021-09-30,-0.005905298206676576,-0.004724829033680317,-0.0011804691729962588
3,2021-09-30,2021-12-31,0.11443899470363388,0.11654525817180063,-0.0021062634681667525
3,2021-12-31,2022-03-31,0.00258997077097894,-0.02129653625777491,0.02388650702875385
3,2022-03-31,2022-06-30,-0.06600262431384855,-0.08858365101179404,0.022581026697945483
3,2022-06-30,2022-09-30,0.015826805466135505,-0.01466753688495157,0.030494342351087077
3,2022-09-30,2022-12-31,0.030847928326960046,0.040760046353418296,-0.00991211802645825
3,2022-12-31,2023-03-31,0.15572546777587443,0.13343977176714297,0.022285696008731454
3,2023-03-31,2023-06-30,0.1645975671094805,0.0750189805270203,0.0895785865824602
3,2023-06-30,2023-09-30,0.017703016621904034,-0.025598437304516077,0.04330145392642011
3,2023-09-30,2023-12-31,0.08118563635877192,0.07950783389001072,0.0016778024687612025
