strategy_uid,strategy,market,f_combo,F1_factor,F1_band,F1_nbands,F2_factor,F2_band,F2_nbands,F2_empty,C_id,C_source,C_rule,V,factor_type,factor_type_basis,CAGR,max_drawdown,win_ratio,avg_holdings,sharpe_ann,daily_sharpe,avg_drawdown,artifacts_dir,category,cagr_is,mdd_is,calmar_is
TW::EV_S_qb0of3__EPS_qb1of3__C11_EPS_DYN_qmax8__v0,EV_S_qb0of3__EPS_qb1of3__C11_EPS_DYN_qmax8__v0,TW,EV_S_qb0of3__EPS_qb1of3,EV_S,0,3,EPS,1.0,3.0,False,C11,EPS,qmax8,v0,混合型,F1=EV_S(估值型)；F2=EPS(體質型),0.2632939142196084,-0.5055124189609719,0.5201676270298585,32.13304721030043,1.0704116654476497,12.52,-0.07995940190429122,D:\git\stock_factor_lab\code\results_artifacts\TW_L3_openSec_M\EV_S_qb0of3__EPS_qb1of3__C11_EPS_DYN_qmax8__v0,估值倍數,0.36876042957264676,-0.1645927342095026,2.240441726323523
TW::PB_qb0of3__NETDEBT_EBITDA_qb2of3__C4_ROE_DYN_qmax8__v0,PB_qb0of3__NETDEBT_EBITDA_qb2of3__C4_ROE_DYN_qmax8__v0,TW,PB_qb0of3__NETDEBT_EBITDA_qb2of3,PB,0,3,NETDEBT_EBITDA,2.0,3.0,False,C4,ROE,qmax8,v0,混合型,F1=PB(估值型)；F2=NETDEBT_EBITDA(結構型),0.2960547943493956,-0.5799146511179851,0.5266974291364536,25.545064377682404,1.0708963651693524,13.22,-0.08709298695268593,D:\git\stock_factor_lab\code\results_artifacts\TW_L3_openSec_M\PB_qb0of3__NETDEBT_EBITDA_qb2of3__C4_ROE_DYN_qmax8__v0,估值倍數,0.40262560782594536,-0.19022399959337333,2.116586806536536
TW::PB_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,PB_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,TW,PB_qb0of3__CROIC_qb1of3,PB,0,3,CROIC,1.0,3.0,False,C4,ROE,qmax8,v0,混合型,F1=PB(估值型)；F2=CROIC(體質型),0.2887207707803805,-0.5779666092457787,0.5470991890205864,23.79828326180257,1.1882289193244164,13.4,-0.07768435618307723,D:\git\stock_factor_lab\code\results_artifacts\TW_L3_openSec_M\PB_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,估值倍數,0.36052709876370437,-0.18388712572237875,1.9605891241565523
TW::EV_S_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,EV_S_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,TW,EV_S_qb0of3__CROIC_qb1of3,EV_S,0,3,CROIC,1.0,3.0,False,C4,ROE,qmax8,v0,混合型,F1=EV_S(估值型)；F2=CROIC(體質型),0.2447610736938816,-0.5190879064298657,0.5399477806788512,28.815450643776824,1.0884985611140574,13.17,-0.07325578179730627,D:\git\stock_factor_lab\code\results_artifacts\TW_L3_openSec_M\EV_S_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,估值倍數,0.31868790695046334,-0.1632163410449785,1.9525490211953753
TW::EV_S_qb0of3__DEBTRATIO_qb0of3__C11_EPS_DYN_qmax8__v0,EV_S_qb0of3__DEBTRATIO_qb0of3__C11_EPS_DYN_qmax8__v0,TW,EV_S_qb0of3__DEBTRATIO_qb0of3,EV_S,0,3,DEBTRATIO,0.0,3.0,False,C11,EPS,qmax8,v0,混合型,F1=EV_S(估值型)；F2=DEBTRATIO(結構型),0.2324894888405877,-0.6190216136498774,0.5100182149362478,18.566523605150216,0.923565746122197,14.79,-0.10312404785490158,D:\git\stock_factor_lab\code\results_artifacts\TW_L3_openSec_M\EV_S_qb0of3__DEBTRATIO_qb0of3__C11_EPS_DYN_qmax8__v0,估值倍數,0.26218580624594345,-0.14484335685661687,1.8101334568314793
TW::OCF_E_qb2of3__VOL_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,OCF_E_qb2of3__VOL_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,TW,OCF_E_qb2of3__VOL_qb0of3,OCF_E,2,3,VOL,0.0,3.0,False,C7,ROE,ytdavg_gt_lyavg,v1,混合型,F1=OCF_E(體質型)；F2=VOL(動能型),0.1935826245053433,-0.522751593150557,0.5598621877691645,13.003508771929823,0.9890918550816105,14.09,-0.06442605050207868,D:\git\stock_factor_lab\code\results_artifacts\TW_L4_openSec_M\OCF_E_qb2of3__VOL_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,現金流品質,0.2413100537344781,-0.0865439040532563,2.7882963725091923
TW::P_IC_qb1of3__VOL_qb0of3__C12_EPS_DYN_yoy__v1,P_IC_qb1of3__VOL_qb0of3__C12_EPS_DYN_yoy__v1,TW,P_IC_qb1of3__VOL_qb0of3,P_IC,1,3,VOL,0.0,3.0,False,C12,EPS,yoy,v1,混合型,F1=P_IC(估值型)；F2=VOL(動能型),0.1776025469602493,-0.5175439548594948,0.5504504504504505,14.625,0.946107950482734,15.83,-0.0646253014427243,D:\git\stock_factor_lab\code\results_artifacts\TW_L4_openSec_M\P_IC_qb1of3__VOL_qb0of3__C12_EPS_DYN_yoy__v1,估值倍數,0.22222355702582175,-0.08301513015240758,2.676904277784559
TW::P_IC_qb1of3__VOL_qb0of3__C11_EPS_DYN_qmax8__v0,P_IC_qb1of3__VOL_qb0of3__C11_EPS_DYN_qmax8__v0,TW,P_IC_qb1of3__VOL_qb0of3,P_IC,1,3,VOL,0.0,3.0,False,C11,EPS,qmax8,v0,混合型,F1=P_IC(估值型)；F2=VOL(動能型),0.1926436969900855,-0.614887554574266,0.5826210826210826,21.510729613733904,1.0214198990892525,16.75,-0.062094651614495774,D:\git\stock_factor_lab\code\results_artifacts\TW_L3_openSec_M\P_IC_qb1of3__VOL_qb0of3__C11_EPS_DYN_qmax8__v0,估值倍數,0.22537102761723515,-0.0883416088994915,2.551131119579739
TW::MOM_qb2of3__VOL_qb0of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v1,MOM_qb2of3__VOL_qb0of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v1,TW,MOM_qb2of3__VOL_qb0of3,MOM,2,3,VOL,0.0,3.0,False,C6,ROE,ytdavg_gt_lyytdavg,v1,動能型,F1=MOM(動能型)；F2=VOL(動能型),0.199380930243304,-0.5428631313314894,0.5529081990189209,16.04964539007092,0.9465498689360361,15.08,-0.07740546358992473,D:\git\stock_factor_lab\code\results_artifacts\TW_L4_openSec_M\MOM_qb2of3__VOL_qb0of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v1,動量,0.206246801698603,-0.09590496986313113,2.15053299107381
TW::OCF_E_qb2of3__VOL_qb0of3__C4_ROE_DYN_qmax8__v0,OCF_E_qb2of3__VOL_qb0of3__C4_ROE_DYN_qmax8__v0,TW,OCF_E_qb2of3__VOL_qb0of3,OCF_E,2,3,VOL,0.0,3.0,False,C4,ROE,qmax8,v0,混合型,F1=OCF_E(體質型)；F2=VOL(動能型),0.1921384330356894,-0.5006209049517617,0.5952054794520548,21.233766233766232,1.0977729920995196,17.5,-0.05833237920340158,D:\git\stock_factor_lab\code\results_artifacts\TW_L3_openSec_M\OCF_E_qb2of3__VOL_qb0of3__C4_ROE_DYN_qmax8__v0,現金流品質,0.21206010718302304,-0.09909879223339435,2.1398858896643844
