strategy_uid,tree_id,cluster_L1,cluster_L3,selects_tsmc,is_legacy_pick
TW::MOM_qb2of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,5,124,False,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C11_EPS_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,43,False,True
TW::EV_S_qb0of3__REVENUE_qb0of3__C3_ROE_DYN_qmax4__v0,TW_wf_2007-01_2023-12,2,64,False,False
TW::PS_qb0of3__REVENUE_qb0of3__C3_ROE_DYN_qmax4__v0,TW_wf_2007-01_2023-12,2,63,False,False
TW::PS_qb0of3__REVENUE_qb0of3__C10_EPS_DYN_qmax4__v0,TW_wf_2007-01_2023-12,2,63,False,False
TW::P_IC_qb0of3__REVENUE_qb0of3__C12_EPS_DYN_yoy__v0,TW_wf_2007-01_2023-12,4,118,False,False
TW::P_IC_qb0of3__REVENUE_qb0of3__C5_ROE_DYN_yoy__v0,TW_wf_2007-01_2023-12,4,118,False,False
TW::PS_qb0of3__REVENUE_qb0of3__C12_EPS_DYN_yoy__v0,TW_wf_2007-01_2023-12,2,63,False,False
TW::P_IC_qb0of3__VOL_qb2of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,60,False,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C10_EPS_DYN_qmax4__v0,TW_wf_2007-01_2023-12,2,64,False,True
TW::PB_qb0of3__NETDEBT_EBITDA_qb2of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,42,False,False
TW::PS_qb0of3__OCF_E_qb1of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,43,False,False
TW::EV_S_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,40,False,True
TW::EV_S_qb1of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,5,124,False,False
TW::PB_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,43,False,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C5_ROE_DYN_yoy__v0,TW_wf_2007-01_2023-12,2,64,False,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C12_EPS_DYN_yoy__v0,TW_wf_2007-01_2023-12,2,64,False,False
TW::MOM_qb2of3__ACCRUAL_qb0of3__C3_ROE_DYN_qmax4__v0,TW_wf_2007-01_2023-12,3,87,False,False
TW::P_IC_qb0of3__REVENUE_qb0of3__C11_EPS_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,65,False,False
TW::PS_qb0of3__REVENUE_qb0of3__C5_ROE_DYN_yoy__v0,TW_wf_2007-01_2023-12,2,63,False,False
TW::P_IC_qb0of3__VOL_qb2of3__C5_ROE_DYN_yoy__v0,TW_wf_2007-01_2023-12,4,117,False,False
TW::P_IC_qb0of3__REVENUE_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,TW_wf_2007-01_2023-12,4,118,False,False
TW::PB_qb0of3__FCF_OI_qb1of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,43,False,False
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C5_ROE_DYN_yoy__v0,TW_wf_2007-01_2023-12,4,120,False,False
TW::P_IC_qb0of3__ROIC_qb2of3__C5_ROE_DYN_yoy__v0,TW_wf_2007-01_2023-12,4,119,False,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C1_ROE_DYN_riseq1__v0,TW_wf_2007-01_2023-12,2,64,False,False
TW::P_IC_qb0of3__VOL_qb2of3__C12_EPS_DYN_yoy__v0,TW_wf_2007-01_2023-12,4,117,False,False
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C12_EPS_DYN_yoy__v0,TW_wf_2007-01_2023-12,4,120,False,False
TW::P_IC_qb0of3__REVENUE_qb0of3__C9_EPS_DYN_riseq2__v0,TW_wf_2007-01_2023-12,4,118,False,False
TW::MOM_qb2of3__REV_G_qb1of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,3,93,False,True
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,TW_wf_2007-01_2023-12,4,120,False,False
TW::P_IC_qb0of3__PS_qb0of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,42,False,False
TW::P_IC_qb0of3__ROIC_qb2of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,TW_wf_2007-01_2023-12,4,120,False,True
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,TW_wf_2007-01_2023-12,4,120,False,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C2_ROE_DYN_riseq2__v0,TW_wf_2007-01_2023-12,2,64,False,False
TW::PB_qb0of3__EPS_qb1of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,60,False,False
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,TW_wf_2007-01_2023-12,4,120,False,False
TW::P_IC_qb0of3__REVENUE_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v0,TW_wf_2007-01_2023-12,4,118,False,False
TW::PS_qb0of3__NETDEBT_EBITDA_qb2of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,60,False,False
TW::MOM_qb2of3__ACCRUAL_qb0of3__C10_EPS_DYN_qmax4__v0,TW_wf_2007-01_2023-12,3,87,False,False
TW::PS_qb0of3__MOM_qb2of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,42,False,False
TW::PB_qb0of3__DEBTRATIO_qb2of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,42,False,False
TW::P_IC_qb0of3__ROIC_qb2of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,TW_wf_2007-01_2023-12,4,120,False,True
TW::EV_S_qb1of3__ACCRUAL_qb0of3__C11_EPS_DYN_qmax8__v0,TW_wf_2007-01_2023-12,5,124,False,False
TW::PS_qb0of3__EPS_qb1of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,60,False,False
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,TW_wf_2007-01_2023-12,4,120,False,False
TW::P_IC_qb0of3__ROIC_qb2of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,TW_wf_2007-01_2023-12,4,120,False,True
TW::P_IC_qb0of3__MOM_qb2of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,42,False,False
TW::P_IC_qb0of3__REVENUE_qb0of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,TW_wf_2007-01_2023-12,4,118,False,False
TW::P_IC_qb0of3__EV_S_qb0of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,42,False,False
TW::EV_S_qb0of3__OCF_E_qb1of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,43,False,False
TW::PB_qb0of3__REVENUE_qb0of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,65,False,False
TW::PB_qb0of3__PS_qb0of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,42,False,False
TW::P_IC_qb0of3__ROIC_qb2of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,TW_wf_2007-01_2023-12,4,120,False,False
TW::P_IC_qb0of3__ROE_qb2of3__C5_ROE_DYN_yoy__v0,TW_wf_2007-01_2023-12,4,117,False,False
TW::EV_S_qb0of3__EPS_qb1of3__C11_EPS_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,42,False,False
TW::PB_qb0of3__EV_S_qb0of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,42,False,False
TW::MOM_qb2of3__OCF_E_qb2of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,5,126,False,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C9_EPS_DYN_riseq2__v0,TW_wf_2007-01_2023-12,2,64,False,False
TW::P_IC_qb0of3__FCF_OI_qb1of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,43,False,False
TW::P_IC_qb0of3__OCF_E_qb2of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,40,False,True
TW::EV_S_qb0of3__ACCRUAL_qb0of3__C3_ROE_DYN_qmax4__v0,TW_wf_2007-01_2023-12,2,46,False,False
TW::EV_S_qb0of3__OCF_E_qb1of3__C11_EPS_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,43,False,False
TW::PB_qb0of3__REVENUE_qb0of3__C11_EPS_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,65,False,False
TW::P_IC_qb0of3__ROE_qb2of3__C12_EPS_DYN_yoy__v0,TW_wf_2007-01_2023-12,4,117,False,False
TW::EV_S_qb1of3__NETDEBT_EBITDA_qb2of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,5,125,False,True
TW::PS_qb0of3__EPS_qb1of3__C11_EPS_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,60,False,False
TW::OCF_E_qb2of3__FCF_P_qb0of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,5,127,False,True
TW::PS_qb0of3__OCF_E_qb1of3__C11_EPS_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,43,False,False
TW::P_IC_qb0of3__ROIC_qb2of3__C12_EPS_DYN_yoy__v0,TW_wf_2007-01_2023-12,4,119,False,False
TW::PS_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,40,False,False
TW::PB_qb0of3__EPS_qb1of3__C11_EPS_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,41,False,False
TW::P_IC_qb0of3__REVENUE_qb0of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,TW_wf_2007-01_2023-12,4,118,False,False
TW::P_IC_qb0of3__EPS_qb1of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,60,False,False
TW::EV_S_qb0of3__EPS_qb1of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,42,False,False
TW::P_IC_qb0of3__None__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,42,False,False
TW::P_IC_qb0of3__EV_EBITDA_qb0of3__C12_EPS_DYN_yoy__v0,TW_wf_2007-01_2023-12,4,117,False,True
TW::PB_qb0of3__ROIC_qb2of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,41,False,False
TW::P_IC_qb0of3__ROE_qb2of3__C4_ROE_DYN_qmax8__v0,TW_wf_2007-01_2023-12,2,41,False,False
TW::MOM_qb2of3__ACCRUAL_qb0of3__C11_EPS_DYN_qmax8__v0,TW_wf_2007-01_2023-12,5,124,False,False
TW::MOM_qb2of3__OCF_E_qb2of3__C10_EPS_DYN_qmax4__v0,TW_wf_2007-01_2023-12,3,87,True,False
