uid,as_of,F1_factor,F1_band,F1_nbands,F1_pass,F2_factor,F2_pass,C_source,C_rule,C_pass,V,V_pass,selected
TW::P_IC_qb1of3__VOL_qb0of3__C2_ROE_DYN_riseq2__v1,2023-12-31,P_IC,1,3,False,VOL,True,ROE,riseq2,False,v1,False,False
TW::P_IC_qb1of3__VOL_qb0of3__C2_ROE_DYN_riseq2__v1,2024-03-31,P_IC,1,3,False,VOL,True,ROE,riseq2,False,v1,False,False
TW::P_IC_qb1of3__VOL_qb0of3__C2_ROE_DYN_riseq2__v1,2024-06-30,P_IC,1,3,False,VOL,False,ROE,riseq2,True,v1,False,False
TW::P_IC_qb1of3__VOL_qb0of3__C2_ROE_DYN_riseq2__v1,2024-09-30,P_IC,1,3,False,VOL,False,ROE,riseq2,False,v1,False,False
TW::P_IC_qb1of3__VOL_qb0of3__C2_ROE_DYN_riseq2__v1,2024-12-31,P_IC,1,3,False,VOL,False,ROE,riseq2,True,v1,False,False
TW::P_IC_qb1of3__VOL_qb0of3__C2_ROE_DYN_riseq2__v1,2025-03-31,P_IC,1,3,False,VOL,False,ROE,riseq2,True,v1,False,False
TW::P_IC_qb1of3__VOL_qb0of3__C2_ROE_DYN_riseq2__v1,2025-06-30,P_IC,1,3,False,VOL,False,ROE,riseq2,False,v1,False,False
TW::P_IC_qb1of3__VOL_qb0of3__C2_ROE_DYN_riseq2__v1,2025-09-30,P_IC,1,3,False,VOL,True,ROE,riseq2,False,v1,True,False
TW::PB_qb1of3__VOL_qb0of3__C11_EPS_DYN_qmax8__v0,2023-12-31,PB,1,3,False,VOL,True,EPS,qmax8,False,v0,,False
TW::PB_qb1of3__VOL_qb0of3__C11_EPS_DYN_qmax8__v0,2024-03-31,PB,1,3,False,VOL,True,EPS,qmax8,False,v0,,False
TW::PB_qb1of3__VOL_qb0of3__C11_EPS_DYN_qmax8__v0,2024-06-30,PB,1,3,False,VOL,False,EPS,qmax8,False,v0,,False
TW::PB_qb1of3__VOL_qb0of3__C11_EPS_DYN_qmax8__v0,2024-09-30,PB,1,3,False,VOL,False,EPS,qmax8,False,v0,,False
TW::PB_qb1of3__VOL_qb0of3__C11_EPS_DYN_qmax8__v0,2024-12-31,PB,1,3,False,VOL,False,EPS,qmax8,True,v0,,False
TW::PB_qb1of3__VOL_qb0of3__C11_EPS_DYN_qmax8__v0,2025-03-31,PB,1,3,False,VOL,False,EPS,qmax8,True,v0,,False
TW::PB_qb1of3__VOL_qb0of3__C11_EPS_DYN_qmax8__v0,2025-06-30,PB,1,3,False,VOL,False,EPS,qmax8,False,v0,,False
TW::PB_qb1of3__VOL_qb0of3__C11_EPS_DYN_qmax8__v0,2025-09-30,PB,1,3,False,VOL,True,EPS,qmax8,True,v0,,False
TW::EV_S_qb0of3__ROIC_qb2of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,2023-12-31,EV_S,0,3,False,ROIC,True,ROE,ytdavg_gt_lyavg,False,v1,False,False
TW::EV_S_qb0of3__ROIC_qb2of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,2024-03-31,EV_S,0,3,False,ROIC,True,ROE,ytdavg_gt_lyavg,False,v1,False,False
TW::EV_S_qb0of3__ROIC_qb2of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,2024-06-30,EV_S,0,3,False,ROIC,True,ROE,ytdavg_gt_lyavg,False,v1,False,False
TW::EV_S_qb0of3__ROIC_qb2of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,2024-09-30,EV_S,0,3,False,ROIC,True,ROE,ytdavg_gt_lyavg,False,v1,False,False
TW::EV_S_qb0of3__ROIC_qb2of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,2024-12-31,EV_S,0,3,False,ROIC,True,ROE,ytdavg_gt_lyavg,False,v1,False,False
TW::EV_S_qb0of3__ROIC_qb2of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,2025-03-31,EV_S,0,3,False,ROIC,True,ROE,ytdavg_gt_lyavg,True,v1,False,False
TW::EV_S_qb0of3__ROIC_qb2of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,2025-06-30,EV_S,0,3,False,ROIC,True,ROE,ytdavg_gt_lyavg,True,v1,False,False
TW::EV_S_qb0of3__ROIC_qb2of3__C7_ROE_DYN_ytdavg_gt_lyavg__v1,2025-09-30,EV_S,0,3,False,ROIC,True,ROE,ytdavg_gt_lyavg,True,v1,True,False
TW::PB_qb1of3__VOL_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v1,2023-12-31,PB,1,3,False,VOL,True,EPS,ytdavg_gt_lyavg,True,v1,False,False
TW::PB_qb1of3__VOL_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v1,2024-03-31,PB,1,3,False,VOL,True,EPS,ytdavg_gt_lyavg,True,v1,False,False
TW::PB_qb1of3__VOL_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v1,2024-06-30,PB,1,3,False,VOL,False,EPS,ytdavg_gt_lyavg,True,v1,False,False
TW::PB_qb1of3__VOL_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v1,2024-09-30,PB,1,3,False,VOL,False,EPS,ytdavg_gt_lyavg,True,v1,False,False
TW::PB_qb1of3__VOL_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v1,2024-12-31,PB,1,3,False,VOL,False,EPS,ytdavg_gt_lyavg,True,v1,False,False
TW::PB_qb1of3__VOL_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v1,2025-03-31,PB,1,3,False,VOL,False,EPS,ytdavg_gt_lyavg,True,v1,False,False
TW::PB_qb1of3__VOL_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v1,2025-06-30,PB,1,3,False,VOL,False,EPS,ytdavg_gt_lyavg,True,v1,False,False
TW::PB_qb1of3__VOL_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v1,2025-09-30,PB,1,3,False,VOL,True,EPS,ytdavg_gt_lyavg,True,v1,True,False
TW::EV_S_qb0of3__ROE_qb2of3__C5_ROE_DYN_yoy__v1,2023-12-31,EV_S,0,3,False,ROE,True,ROE,yoy,False,v1,False,False
TW::EV_S_qb0of3__ROE_qb2of3__C5_ROE_DYN_yoy__v1,2024-03-31,EV_S,0,3,False,ROE,True,ROE,yoy,False,v1,False,False
TW::EV_S_qb0of3__ROE_qb2of3__C5_ROE_DYN_yoy__v1,2024-06-30,EV_S,0,3,False,ROE,True,ROE,yoy,False,v1,False,False
TW::EV_S_qb0of3__ROE_qb2of3__C5_ROE_DYN_yoy__v1,2024-09-30,EV_S,0,3,False,ROE,True,ROE,yoy,True,v1,False,False
TW::EV_S_qb0of3__ROE_qb2of3__C5_ROE_DYN_yoy__v1,2024-12-31,EV_S,0,3,False,ROE,True,ROE,yoy,True,v1,False,False
TW::EV_S_qb0of3__ROE_qb2of3__C5_ROE_DYN_yoy__v1,2025-03-31,EV_S,0,3,False,ROE,True,ROE,yoy,True,v1,False,False
TW::EV_S_qb0of3__ROE_qb2of3__C5_ROE_DYN_yoy__v1,2025-06-30,EV_S,0,3,False,ROE,True,ROE,yoy,True,v1,False,False
TW::EV_S_qb0of3__ROE_qb2of3__C5_ROE_DYN_yoy__v1,2025-09-30,EV_S,0,3,False,ROE,True,ROE,yoy,True,v1,True,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C10_EPS_DYN_qmax4__v0,2023-12-31,EV_S,0,3,False,REVENUE,False,EPS,qmax4,False,v0,,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C10_EPS_DYN_qmax4__v0,2024-03-31,EV_S,0,3,False,REVENUE,False,EPS,qmax4,False,v0,,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C10_EPS_DYN_qmax4__v0,2024-06-30,EV_S,0,3,False,REVENUE,False,EPS,qmax4,False,v0,,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C10_EPS_DYN_qmax4__v0,2024-09-30,EV_S,0,3,False,REVENUE,False,EPS,qmax4,True,v0,,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C10_EPS_DYN_qmax4__v0,2024-12-31,EV_S,0,3,False,REVENUE,False,EPS,qmax4,True,v0,,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C10_EPS_DYN_qmax4__v0,2025-03-31,EV_S,0,3,False,REVENUE,False,EPS,qmax4,True,v0,,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C10_EPS_DYN_qmax4__v0,2025-06-30,EV_S,0,3,False,REVENUE,False,EPS,qmax4,False,v0,,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C10_EPS_DYN_qmax4__v0,2025-09-30,EV_S,0,3,False,REVENUE,False,EPS,qmax4,True,v0,,False
TW::P_IC_qb0of3__OCF_E_qb2of3__C4_ROE_DYN_qmax8__v0,2023-12-31,P_IC,0,3,False,OCF_E,True,ROE,qmax8,False,v0,,False
TW::P_IC_qb0of3__OCF_E_qb2of3__C4_ROE_DYN_qmax8__v0,2024-03-31,P_IC,0,3,False,OCF_E,True,ROE,qmax8,False,v0,,False
TW::P_IC_qb0of3__OCF_E_qb2of3__C4_ROE_DYN_qmax8__v0,2024-06-30,P_IC,0,3,False,OCF_E,True,ROE,qmax8,False,v0,,False
TW::P_IC_qb0of3__OCF_E_qb2of3__C4_ROE_DYN_qmax8__v0,2024-09-30,P_IC,0,3,False,OCF_E,True,ROE,qmax8,False,v0,,False
TW::P_IC_qb0of3__OCF_E_qb2of3__C4_ROE_DYN_qmax8__v0,2024-12-31,P_IC,0,3,False,OCF_E,True,ROE,qmax8,False,v0,,False
TW::P_IC_qb0of3__OCF_E_qb2of3__C4_ROE_DYN_qmax8__v0,2025-03-31,P_IC,0,3,False,OCF_E,True,ROE,qmax8,True,v0,,False
TW::P_IC_qb0of3__OCF_E_qb2of3__C4_ROE_DYN_qmax8__v0,2025-06-30,P_IC,0,3,False,OCF_E,True,ROE,qmax8,False,v0,,False
TW::P_IC_qb0of3__OCF_E_qb2of3__C4_ROE_DYN_qmax8__v0,2025-09-30,P_IC,0,3,False,OCF_E,True,ROE,qmax8,False,v0,,False
TW::PB_qb0of3__ACCRUAL_qb0of3__C3_ROE_DYN_qmax4__v0,2023-12-31,PB,0,3,False,ACCRUAL,False,ROE,qmax4,False,v0,,False
TW::PB_qb0of3__ACCRUAL_qb0of3__C3_ROE_DYN_qmax4__v0,2024-03-31,PB,0,3,False,ACCRUAL,False,ROE,qmax4,False,v0,,False
TW::PB_qb0of3__ACCRUAL_qb0of3__C3_ROE_DYN_qmax4__v0,2024-06-30,PB,0,3,False,ACCRUAL,True,ROE,qmax4,False,v0,,False
TW::PB_qb0of3__ACCRUAL_qb0of3__C3_ROE_DYN_qmax4__v0,2024-09-30,PB,0,3,False,ACCRUAL,True,ROE,qmax4,False,v0,,False
TW::PB_qb0of3__ACCRUAL_qb0of3__C3_ROE_DYN_qmax4__v0,2024-12-31,PB,0,3,False,ACCRUAL,False,ROE,qmax4,True,v0,,False
TW::PB_qb0of3__ACCRUAL_qb0of3__C3_ROE_DYN_qmax4__v0,2025-03-31,PB,0,3,False,ACCRUAL,True,ROE,qmax4,True,v0,,False
TW::PB_qb0of3__ACCRUAL_qb0of3__C3_ROE_DYN_qmax4__v0,2025-06-30,PB,0,3,False,ACCRUAL,True,ROE,qmax4,False,v0,,False
TW::PB_qb0of3__ACCRUAL_qb0of3__C3_ROE_DYN_qmax4__v0,2025-09-30,PB,0,3,False,ACCRUAL,False,ROE,qmax4,False,v0,,False
TW::EV_S_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,2023-12-31,EV_S,0,3,False,ACCRUAL,False,ROE,qmax8,False,v0,,False
TW::EV_S_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,2024-03-31,EV_S,0,3,False,ACCRUAL,False,ROE,qmax8,False,v0,,False
TW::EV_S_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,2024-06-30,EV_S,0,3,False,ACCRUAL,True,ROE,qmax8,False,v0,,False
TW::EV_S_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,2024-09-30,EV_S,0,3,False,ACCRUAL,True,ROE,qmax8,False,v0,,False
TW::EV_S_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,2024-12-31,EV_S,0,3,False,ACCRUAL,False,ROE,qmax8,False,v0,,False
TW::EV_S_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,2025-03-31,EV_S,0,3,False,ACCRUAL,True,ROE,qmax8,True,v0,,False
TW::EV_S_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,2025-06-30,EV_S,0,3,False,ACCRUAL,True,ROE,qmax8,False,v0,,False
TW::EV_S_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,2025-09-30,EV_S,0,3,False,ACCRUAL,False,ROE,qmax8,False,v0,,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C11_EPS_DYN_qmax8__v0,2023-12-31,EV_S,0,3,False,REVENUE,False,EPS,qmax8,False,v0,,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C11_EPS_DYN_qmax8__v0,2024-03-31,EV_S,0,3,False,REVENUE,False,EPS,qmax8,False,v0,,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C11_EPS_DYN_qmax8__v0,2024-06-30,EV_S,0,3,False,REVENUE,False,EPS,qmax8,False,v0,,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C11_EPS_DYN_qmax8__v0,2024-09-30,EV_S,0,3,False,REVENUE,False,EPS,qmax8,False,v0,,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C11_EPS_DYN_qmax8__v0,2024-12-31,EV_S,0,3,False,REVENUE,False,EPS,qmax8,True,v0,,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C11_EPS_DYN_qmax8__v0,2025-03-31,EV_S,0,3,False,REVENUE,False,EPS,qmax8,True,v0,,False
