variant,uid,as_of,symbol,V,F1_factor,F1_band,F1_nbands,F1_pass,F2_factor,F2_pass,C_source,C_rule,C_pass,V_pass,selected
baseline,TW::P_IC_qb1of3__VOL_qb0of3__C2_ROE_DYN_riseq2__v1,2023-12-31,tsmc,v1,P_IC,1,3,False,VOL,True,ROE,riseq2,False,False,False
baseline,TW::P_IC_qb1of3__VOL_qb0of3__C2_ROE_DYN_riseq2__v1,2023-12-31,mtk,v1,P_IC,1,3,False,VOL,False,ROE,riseq2,False,False,False
baseline,TW::P_IC_qb1of3__VOL_qb0of3__C2_ROE_DYN_riseq2__v1,2024-03-31,tsmc,v1,P_IC,1,3,False,VOL,True,ROE,riseq2,False,False,False
baseline,TW::P_IC_qb1of3__VOL_qb0of3__C2_ROE_DYN_riseq2__v1,2024-03-31,mtk,v1,P_IC,1,3,False,VOL,False,ROE,riseq2,False,False,False
baseline,TW::P_IC_qb1of3__VOL_qb0of3__C2_ROE_DYN_riseq2__v1,2024-06-30,tsmc,v1,P_IC,1,3,False,VOL,False,ROE,riseq2,True,False,False
baseline,TW::P_IC_qb1of3__VOL_qb0of3__C2_ROE_DYN_riseq2__v1,2024-06-30,mtk,v1,P_IC,1,3,False,VOL,False,ROE,riseq2,True,False,False
baseline,TW::P_IC_qb1of3__VOL_qb0of3__C2_ROE_DYN_riseq2__v1,2024-09-30,tsmc,v1,P_IC,1,3,False,VOL,False,ROE,riseq2,False,False,False
baseline,TW::P_IC_qb1of3__VOL_qb0of3__C2_ROE_DYN_riseq2__v1,2024-09-30,mtk,v1,P_IC,1,3,False,VOL,False,ROE,riseq2,False,False,False
baseline,TW::P_IC_qb1of3__VOL_qb0of3__C2_ROE_DYN_riseq2__v1,2024-12-31,tsmc,v1,P_IC,1,3,False,VOL,False,ROE,riseq2,True,False,False
baseline,TW::P_IC_qb1of3__VOL_qb0of3__C2_ROE_DYN_riseq2__v1,2024-12-31,mtk,v1,P_IC,1,3,False,VOL,False,ROE,riseq2,False,False,False
baseline,TW::P_IC_qb1of3__VOL_qb0of3__C2_ROE_DYN_riseq2__v1,2025-03-31,tsmc,v1,P_IC,1,3,False,VOL,False,ROE,riseq2,True,False,False
baseline,TW::P_IC_qb1of3__VOL_qb0of3__C2_ROE_DYN_riseq2__v1,2025-03-31,mtk,v1,P_IC,1,3,False,VOL,False,ROE,riseq2,False,False,False
