strategy_uid,market,F1_factor,CAGR,max_drawdown,calmar,selects_tsmc
TW::MOM_qb2of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,TW,MOM,0.3378596230196247,-0.6967988948382731,0.484873936400318,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C11_EPS_DYN_qmax8__v0,TW,EV_S,0.3299155496454702,-0.5186409312678342,0.6361155276329256,False
TW::P_IC_qb0of3__REVENUE_qb0of3__C4_ROE_DYN_qmax8__v0,TW,P_IC,0.3294473975257908,-0.6580920708153704,0.5006098874852091,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C3_ROE_DYN_qmax4__v0,TW,EV_S,0.325116778447174,-0.3980082008018778,0.8168594963424183,False
TW::PS_qb0of3__REVENUE_qb0of3__C3_ROE_DYN_qmax4__v0,TW,PS,0.3198244946210331,-0.5394552266749292,0.5928656889513398,False
TW::PS_qb0of3__REVENUE_qb0of3__C10_EPS_DYN_qmax4__v0,TW,PS,0.3183408105677461,-0.5095585504298406,0.6247384334915157,False
TW::P_IC_qb0of3__REVENUE_qb0of3__C12_EPS_DYN_yoy__v0,TW,P_IC,0.312816385009707,-0.5284439300007195,0.5919575706154503,False
TW::P_IC_qb0of3__REVENUE_qb0of3__C5_ROE_DYN_yoy__v0,TW,P_IC,0.3077725287832775,-0.5438800570319016,0.5658830927960004,False
TW::PS_qb0of3__REVENUE_qb0of3__C12_EPS_DYN_yoy__v0,TW,PS,0.3028783467936937,-0.4278238197244883,0.707951107043882,False
TW::P_IC_qb0of3__VOL_qb2of3__C4_ROE_DYN_qmax8__v0,TW,P_IC,0.3027743579959168,-0.655088198905702,0.4621886923038591,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C10_EPS_DYN_qmax4__v0,TW,EV_S,0.3015628732576012,-0.3758720311080941,0.8023019759373294,False
TW::PB_qb0of3__NETDEBT_EBITDA_qb2of3__C4_ROE_DYN_qmax8__v0,TW,PB,0.2960547943493956,-0.5799146511179851,0.5105144244565093,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C4_ROE_DYN_qmax8__v0,TW,EV_S,0.2932509135068684,-0.5844217039766761,0.5017796421855198,False
TW::PS_qb0of3__OCF_E_qb1of3__C4_ROE_DYN_qmax8__v0,TW,PS,0.2920078892502189,-0.5437538128700279,0.5370222375250118,False
TW::EV_S_qb0of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,TW,EV_S,0.2914240151403815,-0.4048093908117312,0.7199042852143641,False
TW::EV_S_qb1of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,TW,EV_S,0.2889418604259293,-0.6573913733182118,0.43952791617493026,False
TW::PB_qb0of3__CROIC_qb1of3__C4_ROE_DYN_qmax8__v0,TW,PB,0.2887207707803805,-0.5779666092457787,0.4995457629587781,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C5_ROE_DYN_yoy__v0,TW,EV_S,0.2886630953633566,-0.3616684856749024,0.7981427931844494,False
TW::EV_S_qb0of3__MOM_qb2of3__C10_EPS_DYN_qmax4__v1,TW,EV_S,0.2881059677186015,-0.3762035263641931,0.7658247398768224,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C12_EPS_DYN_yoy__v0,TW,EV_S,0.2877908187407998,-0.3407189800884117,0.8446574319579209,False
TW::MOM_qb2of3__ACCRUAL_qb0of3__C3_ROE_DYN_qmax4__v0,TW,MOM,0.2869148837770288,-0.6074669527892151,0.47231356777458366,False
TW::P_IC_qb0of3__REVENUE_qb0of3__C11_EPS_DYN_qmax8__v0,TW,P_IC,0.2855514520940356,-0.594812027819478,0.4800700704403019,False
TW::PS_qb0of3__REVENUE_qb0of3__C5_ROE_DYN_yoy__v0,TW,PS,0.2843367365659983,-0.4432225567753806,0.641521358106547,False
TW::MOM_qb2of3__REV_G_qb2of3__C11_EPS_DYN_qmax8__v1,TW,MOM,0.282033253338273,-0.5037868355858244,0.5598265643648924,True
TW::P_IC_qb0of3__VOL_qb2of3__C5_ROE_DYN_yoy__v0,TW,P_IC,0.2812081540708633,-0.6045305538282946,0.465167810444094,False
TW::P_IC_qb0of3__REVENUE_qb0of3__C13_EPS_DYN_ytdavg_gt_lyytdavg__v0,TW,P_IC,0.2811406065512787,-0.5303760887257136,0.5300778306705901,False
TW::PB_qb0of3__FCF_OI_qb1of3__C4_ROE_DYN_qmax8__v0,TW,PB,0.2810347223233,-0.5675618354837952,0.4951614163481293,False
TW::P_IC_qb0of3__DEBTRATIO_qb0of3__C5_ROE_DYN_yoy__v0,TW,P_IC,0.280140428478292,-0.5920755895084142,0.4731497691213477,False
