ratio,n_pool,as_of,n_selected_tsmc
legacy,30,2023-12-31,0
legacy,30,2024-03-31,0
legacy,30,2024-06-30,0
legacy,30,2024-09-30,0
legacy,30,2024-12-31,0
legacy,30,2025-03-31,0
legacy,30,2025-06-30,0
legacy,30,2025-09-30,3
0.01,67,2023-12-31,0
0.01,67,2024-03-31,0
0.01,67,2024-06-30,0
0.01,67,2024-09-30,0
0.01,67,2024-12-31,1
0.01,67,2025-03-31,1
0.01,67,2025-06-30,0
0.01,67,2025-09-30,4
0.03,200,2023-12-31,0
0.03,200,2024-03-31,0
0.03,200,2024-06-30,0
0.03,200,2024-09-30,0
0.03,200,2024-12-31,3
0.03,200,2025-03-31,3
0.03,200,2025-06-30,0
0.03,200,2025-09-30,19
0.05,334,2023-12-31,0
0.05,334,2024-03-31,0
0.05,334,2024-06-30,0
0.05,334,2024-09-30,0
0.05,334,2024-12-31,7
0.05,334,2025-03-31,5
0.05,334,2025-06-30,1
0.05,334,2025-09-30,40
0.1,668,2023-12-31,0
0.1,668,2024-03-31,0
0.1,668,2024-06-30,0
0.1,668,2024-09-30,0
0.1,668,2024-12-31,16
0.1,668,2025-03-31,7
0.1,668,2025-06-30,2
0.1,668,2025-09-30,83
